t_s,num_ghosts,phase,px4_1_est_x,px4_1_est_y,px4_1_est_z,px4_1_gt_x,px4_1_gt_y,px4_1_gt_z,px4_1_error_m,px4_3_est_x,px4_3_est_y,px4_3_est_z,px4_3_gt_x,px4_3_gt_y,px4_3_gt_z,px4_3_error_m,px4_4_est_x,px4_4_est_y,px4_4_est_z,px4_4_gt_x,px4_4_gt_y,px4_4_gt_z,px4_4_error_m
0.163,3,warmup,,,,,,,,,,,,,,,,,,,,,
0.263,3,warmup,,,,,,,,,,,,,,,,,,,,,
0.365,3,warmup,,,,,,,,,,,,,,,,,,,,,
0.463,3,warmup,,,,,,,,,,,,,,,,,,,,,
0.563,3,warmup,,,,,,,,,,,,,,,,,,,,,
0.663,3,warmup,,,,,,,,,,,,,,,,,,,,,
0.763,3,warmup,,,,,,,,,,,,,,,,,,,,,
0.863,3,warmup,,,,,,,,,,,,,,,,,,,,,
0.963,3,warmup,,,,,,,,,,,,,,,,,,,,,
1.067,3,warmup,,,,,,,,,,,,,,,,,,,,,
1.166,3,warmup,,,,,,,,,,,,,,,,,,,,,
1.264,3,warmup,,,,,,,,,,,,,,,,,,,,,
1.363,3,warmup,,,,,,,,,,,,,,,,,,,,,
1.463,3,warmup,,,,,,,,,,,,,,,,,,,,,
1.565,3,warmup,,,,,,,,,,,,,,,,,,,,,
1.663,3,warmup,,,,,,,,,,,,,,,,,,,,,
1.763,3,warmup,,,,,,,,,,,,,,,,,,,,,
1.863,3,warmup,,,,,,,,,,,,,,,,,,,,,
1.963,3,warmup,,,,,,,,,,,,,,,,,,,,,
2.063,3,warmup,,,,,,,,,,,,,,,,,,,,,
2.163,3,warmup,,,,,,,,,,,,,,,,,,,,,
2.263,3,warmup,,,,,,,,,,,,,,,,,,,,,
2.363,3,warmup,,,,,,,,,,,,,,,,,,,,,
2.462,3,warmup,,,,,,,,,,,,,,,,,,,,,
2.576,3,warmup,-0.0000,0.0262,-0.4736,-0.0000,0.0000,-0.0130,0.4614,-0.0000,2.0796,-0.4764,-0.0000,2.0000,-0.0130,0.4701,-0.0000,3.1051,-0.4782,-0.0000,3.0000,-0.0130,0.4769
2.664,3,warmup,-0.0000,0.0803,-0.4746,-0.0000,0.0000,-0.0130,0.4685,-0.0000,2.0984,-0.4659,-0.0000,2.0000,-0.0130,0.4634,-0.0000,3.1128,-0.4801,-0.0000,3.0000,-0.0130,0.4805
2.765,3,warmup,-0.0000,0.1101,-0.4584,-0.0000,0.0000,-0.0130,0.4589,-0.0000,2.1034,-0.4743,-0.0000,2.0000,-0.0130,0.4728,-0.0000,3.0769,-0.4699,-0.0000,3.0000,-0.0130,0.4633
2.863,3,warmup,-0.0000,0.1126,-0.5015,-0.0000,0.0000,-0.0130,0.5013,-0.0000,2.0838,-0.4935,-0.0000,2.0000,-0.0130,0.4878,-0.0000,3.0597,-0.4665,-0.0000,3.0000,-0.0130,0.4574
2.963,3,warmup,-0.0000,0.0471,-0.4920,-0.0000,0.0000,-0.0130,0.4813,-0.0000,1.9865,-0.4983,-0.0000,2.0000,-0.0130,0.4855,-0.0000,3.0395,-0.4744,-0.0000,3.0000,-0.0130,0.4631
3.063,3,warmup,-0.0000,-0.0068,-0.4810,-0.0000,0.0000,-0.0130,0.4680,-0.0000,2.0280,-0.4876,-0.0000,2.0000,-0.0130,0.4754,-0.0000,2.9946,-0.4865,-0.0000,3.0000,-0.0130,0.4736
3.165,3,warmup,-0.0000,-0.0296,-0.4887,-0.0000,0.0000,-0.0130,0.4767,-0.0000,1.9411,-0.4925,-0.0000,2.0000,-0.0130,0.4831,-0.0000,2.9559,-0.4791,-0.0000,3.0000,-0.0130,0.4682
3.263,3,warmup,-0.0000,-0.0629,-0.4864,-0.0000,0.0000,-0.0130,0.4775,-0.0000,1.9711,-0.4933,-0.0000,2.0000,-0.0130,0.4812,-0.0000,2.9439,-0.4992,-0.0000,3.0000,-0.0130,0.4895
3.362,3,warmup,-0.0000,-0.0403,-0.4866,-0.0000,0.0000,-0.0130,0.4753,-0.0000,1.9295,-0.4959,-0.0000,2.0000,-0.0130,0.4881,-0.0000,2.9356,-0.4907,-0.0000,3.0000,-0.0130,0.4821
3.463,3,warmup,-0.0000,-0.0742,-0.4844,-0.0000,0.0000,-0.0130,0.4772,-0.0000,1.8907,-0.5027,-0.0000,2.0000,-0.0130,0.5018,-0.0000,2.9208,-0.5065,-0.0000,3.0000,-0.0130,0.4998
3.566,3,warmup,-0.0000,-0.1376,-0.4760,-0.0000,0.0000,-0.0130,0.4830,-0.0000,1.8164,-0.5006,-0.0000,2.0000,-0.0130,0.5211,-0.0000,2.8564,-0.4946,-0.0000,3.0000,-0.0130,0.5025
