t_s,phase,scale,true_dist_m,reported_dist_m,px4_1_est_x,px4_1_est_y,px4_1_est_z,px4_1_gt_x,px4_1_gt_y,px4_1_gt_z,px4_1_error_m,px4_3_est_x,px4_3_est_y,px4_3_est_z,px4_3_gt_x,px4_3_gt_y,px4_3_gt_z,px4_3_error_m,est_separation_m
0.197,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.210,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.246,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.285,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.325,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.365,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.405,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.445,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.485,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.525,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.565,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.605,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.645,warmup,0.050,0.0000,0.0000,,,,,,,,0.0000,4.3923,-0.6745,0.0000,4.0000,-0.0130,0.7691,0.0000
0.687,warmup,0.050,0.0000,0.0000,,,,,,,,0.0000,4.3923,-0.6745,0.0000,4.0000,-0.0130,0.7691,0.0000
0.726,warmup,0.050,0.0000,0.0000,,,,,,,,0.0000,4.4536,-0.6644,0.0000,4.0000,-0.0130,0.7938,0.0000
0.766,warmup,0.050,0.0000,0.0000,,,,,,,,0.0000,4.4536,-0.6644,0.0000,4.0000,-0.0130,0.7938,0.0000
0.806,warmup,0.050,0.0000,0.0000,,,,,,,,0.0000,4.3933,-0.6523,0.0000,4.0000,-0.0130,0.7506,0.0000
0.846,warmup,0.050,0.0000,0.0000,,,,,,,,0.0000,4.3933,-0.6523,0.0000,4.0000,-0.0130,0.7506,0.0000
0.890,warmup,0.050,0.0000,0.0000,,,,,,,,0.0000,4.3933,-0.6523,0.0000,4.0000,-0.0130,0.7506,0.0000
