approach,attack,mean_err_m,peak_err_m,rmse_m,std_m,mean_solve_ms,degradation_factor
WLS,baseline,0.2537,0.5914,0.2859,0.1319,0.0,1.0
WLS,sybil,0.2987,0.6751,0.3455,0.1735,0.0,1.18
WLS,replay,0.4197,0.8319,0.4671,0.2051,0.0,1.65
WLS,wormhole,6.4844,17.152,8.8519,6.0257,0.0,25.56
WLS,sybil_consistent,1.4514,2.1403,1.6451,0.7746,0.0,5.72
WLS,replay_gradual,0.2921,0.5085,0.3181,0.126,0.0,1.15
WLS,byzantine,18.2638,65.7571,27.9258,21.1254,0.0,71.99
WLS,timesync,0.3678,0.8228,0.4182,0.199,0.0,1.45
EKF,baseline,0.444,0.835,0.4972,0.2236,0.0,1.0
EKF,sybil,0.3749,0.6578,0.4155,0.1792,0.0,0.84
EKF,replay,0.3899,0.5649,0.4099,0.1265,0.0,0.88
EKF,wormhole,7.258,27.1196,11.3535,8.7306,0.0,16.35
EKF,sybil_consistent,1.2355,1.8452,1.3935,0.6444,0.0,2.78
EKF,replay_gradual,0.5342,0.9633,0.5792,0.224,0.0,1.2
EKF,byzantine,16.1309,58.4604,24.6959,18.6998,0.0,36.33
EKF,timesync,0.2321,0.5026,0.256,0.1082,0.0,0.52
WLS + Huber,baseline,0.3917,0.8299,0.4701,0.26,1.703,1.0
WLS + Huber,sybil,0.3195,0.5393,0.3435,0.1261,1.675,0.82
WLS + Huber,replay,0.4377,0.9212,0.4761,0.1873,1.7,1.12
WLS + Huber,wormhole,10.9074,29.4582,14.6792,9.8238,1.747,27.85
WLS + Huber,sybil_consistent,0.317,0.6898,0.347,0.1412,1.747,0.81
WLS + Huber,replay_gradual,0.5613,0.9405,0.6022,0.2181,1.672,1.43
WLS + Huber,byzantine,20.364,69.5356,30.3059,22.4445,1.809,51.99
WLS + Huber,timesync,0.3044,0.6068,0.3389,0.149,1.788,0.78
WLS + Tukey,baseline,0.24,0.5392,0.2574,0.0928,3.418,1.0
WLS + Tukey,sybil,0.3156,0.629,0.348,0.1465,3.213,1.32
WLS + Tukey,replay,0.3005,0.7148,0.3553,0.1895,3.18,1.25
WLS + Tukey,wormhole,0.5646,1.0731,0.645,0.3118,3.298,2.35
WLS + Tukey,sybil_consistent,0.4237,0.9156,0.4951,0.2561,3.283,1.77
WLS + Tukey,replay_gradual,0.3906,0.8923,0.4503,0.224,3.197,1.63
WLS + Tukey,byzantine,26.9535,88.6712,39.6093,29.0242,3.298,112.31
WLS + Tukey,timesync,0.2849,0.582,0.3159,0.1364,3.173,1.19
RANSAC,baseline,0.2546,0.5105,0.283,0.1236,11.971,1.0
RANSAC,sybil,0.5385,0.9887,0.6024,0.27,12.614,2.12
RANSAC,replay,0.3493,0.7734,0.4305,0.2516,12.055,1.37
RANSAC,wormhole,0.5748,1.056,0.6409,0.2836,12.232,2.26
RANSAC,sybil_consistent,0.2289,0.501,0.2584,0.1201,12.329,0.9
RANSAC,replay_gradual,0.2699,0.6057,0.3143,0.1609,12.107,1.06
RANSAC,byzantine,1.7956,3.199,2.2384,1.3364,12.713,7.05
RANSAC,timesync,0.2686,0.57,0.3052,0.1448,13.058,1.05
EKF+χ²+Huber ★,baseline,0.0165,0.0269,0.0169,0.0036,0.621,1.0
EKF+χ²+Huber ★,sybil,0.0344,0.0544,0.0359,0.0105,0.587,2.08
EKF+χ²+Huber ★,replay,0.0162,0.04,0.0184,0.0089,0.6,0.98
EKF+χ²+Huber ★,wormhole,0.0334,0.0556,0.0351,0.011,0.579,2.02
EKF+χ²+Huber ★,sybil_consistent,0.0317,0.058,0.0355,0.0159,0.608,1.92
EKF+χ²+Huber ★,replay_gradual,0.0197,0.0322,0.0202,0.0041,0.63,1.19
EKF+χ²+Huber ★,byzantine,0.4357,0.729,0.5368,0.3136,0.618,26.41
EKF+χ²+Huber ★,timesync,0.0336,0.0536,0.0351,0.0101,0.609,2.04
