approach,attack,pattern,mean_err_m,peak_err_m,rmse_m,std_m,mean_solve_ms
WLS,baseline,hover,1.2810,5.5880,1.6739,1.0774,0.000
WLS,sybil,hover,3.3723,8.1372,3.5773,1.1936,0.000
WLS,replay,hover,5.8696,19.9925,6.7589,3.3513,0.000
WLS,wormhole,hover,2.8037,10.3734,4.4245,3.4228,0.000
WLS,sybil_consistent,hover,2.2142,6.2968,2.6590,1.4724,0.000
WLS,replay_gradual,hover,6.4508,18.8677,8.1552,4.9894,0.000
WLS,byzantine,hover,12.7858,43.2161,17.6210,12.1253,0.000
WLS,timesync,hover,4.6450,6.1303,4.7896,1.1679,0.000
WLS,targeted_ramp,hover,3.4493,5.1953,3.6609,1.2263,0.000
WLS,targeted_osc,hover,1.2684,11.6298,2.3299,1.9544,0.000
WLS,targeted_two_drone,hover,1.5762,5.5474,2.5989,2.0664,0.000
EKF,baseline,hover,4.0188,10.9071,4.2986,1.5255,0.000
EKF,sybil,hover,21.1156,51.3496,26.9255,16.7067,0.000
EKF,replay,hover,4.2933,6.5525,4.4926,1.3234,0.000
EKF,wormhole,hover,33.6885,219.6624,61.2686,51.1755,0.000
EKF,sybil_consistent,hover,4.6136,12.0115,4.8090,1.3567,0.000
EKF,replay_gradual,hover,58.6303,73.8076,63.2645,23.7672,0.000
EKF,byzantine,hover,8.5893,23.3155,9.7326,4.5769,0.000
EKF,timesync,hover,6.4996,21.6513,8.7830,5.9073,0.000
EKF,targeted_ramp,hover,0.4284,6.0794,1.4835,1.4203,0.000
EKF,targeted_osc,hover,1.4195,16.0060,2.4614,2.0109,0.000
EKF,targeted_two_drone,hover,2.9185,18.5262,3.3489,1.6423,0.000
WLS + Huber,baseline,hover,5.3013,6.0821,5.3120,0.3371,0.926
WLS + Huber,sybil,hover,9.7267,14.2826,10.7560,4.5915,1.498
WLS + Huber,replay,hover,13.7110,28.3964,16.7268,9.5810,1.900
WLS + Huber,wormhole,hover,2.9859,6.7411,3.6109,2.0306,1.894
WLS + Huber,sybil_consistent,hover,5.2170,6.9601,5.3843,1.3317,1.679
WLS + Huber,replay_gradual,hover,6.2004,12.0560,7.0426,3.3398,2.638
WLS + Huber,byzantine,hover,3.6814,5.2401,4.0156,1.6039,2.222
WLS + Huber,timesync,hover,4.2349,7.7375,4.6986,2.0354,2.261
WLS + Huber,targeted_ramp,hover,3.6610,6.0601,4.0703,1.7788,2.459
WLS + Huber,targeted_osc,hover,4.2832,7.5267,4.6794,1.8844,2.251
WLS + Huber,targeted_two_drone,hover,2.0870,10.0422,2.9723,2.1163,1.226
WLS + Tukey,baseline,hover,2.0912,7.3597,2.2002,0.6839,2.284
WLS + Tukey,sybil,hover,5.7472,10.9868,7.1228,4.2075,2.958
WLS + Tukey,replay,hover,4.3706,5.7297,4.5836,1.3812,2.629
WLS + Tukey,wormhole,hover,2.7204,4.6219,3.2270,1.7358,3.093
WLS + Tukey,sybil_consistent,hover,1.9313,4.3745,2.3817,1.3937,3.412
WLS + Tukey,replay_gradual,hover,1.6586,5.6722,1.9868,1.0937,2.388
WLS + Tukey,byzantine,hover,2.9996,5.2057,3.5521,1.9025,2.366
WLS + Tukey,timesync,hover,5.3397,6.0924,5.3681,0.5517,2.800
WLS + Tukey,targeted_ramp,hover,1.8804,4.2592,2.2900,1.3070,2.358
WLS + Tukey,targeted_osc,hover,4.8603,6.5863,5.0363,1.3197,2.580
WLS + Tukey,targeted_two_drone,hover,3.3392,5.4551,3.8095,1.8334,2.418
RANSAC,baseline,hover,6.0452,13.0330,7.1258,3.7727,9.813
RANSAC,sybil,hover,3.8714,7.7895,4.2775,1.8192,10.464
RANSAC,replay,hover,6.2432,11.6521,6.6405,2.2624,9.435
RANSAC,wormhole,hover,2.0711,14.5828,3.3118,2.5844,10.244
RANSAC,sybil_consistent,hover,4.5415,8.4896,5.4458,3.0053,9.303
RANSAC,replay_gradual,hover,5.6446,8.2760,6.0934,2.2954,9.082
RANSAC,byzantine,hover,9.2386,12.6002,9.5241,2.3145,10.263
RANSAC,timesync,hover,8.3199,9.3892,8.3562,0.7786,9.866
RANSAC,targeted_ramp,hover,7.4085,9.8462,7.5867,1.6345,9.123
RANSAC,targeted_osc,hover,8.2917,9.9724,8.3930,1.2998,10.397
RANSAC,targeted_two_drone,hover,9.6409,12.1345,9.7496,1.4515,9.515
EKF+chi2+Huber *,baseline,hover,6.3804,6.5746,6.3823,0.1585,0.403
EKF+chi2+Huber *,sybil,hover,4.1083,5.1729,4.4497,1.7094,0.414
EKF+chi2+Huber *,replay,hover,4.7149,5.6293,4.9022,1.3422,0.403
EKF+chi2+Huber *,wormhole,hover,3.9221,5.0327,4.3882,1.9680,0.435
EKF+chi2+Huber *,sybil_consistent,hover,5.4548,5.6181,5.4574,0.1680,0.456
EKF+chi2+Huber *,replay_gradual,hover,4.6811,5.5693,4.9362,1.5664,0.347
EKF+chi2+Huber *,byzantine,hover,5.0665,5.1638,5.0671,0.0798,0.402
EKF+chi2+Huber *,timesync,hover,5.4895,6.0654,5.5024,0.3775,0.415
EKF+chi2+Huber *,targeted_ramp,hover,5.5162,6.1160,5.5352,0.4578,0.422
EKF+chi2+Huber *,targeted_osc,hover,3.9117,5.0826,4.3901,1.9930,0.414
EKF+chi2+Huber *,targeted_two_drone,hover,4.4407,5.5839,4.7145,1.5831,0.366
