t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
0.704,-0.0053,-0.0034,0.0134,2.916,4,0,0.029703
0.803,-0.0146,-0.0061,0.0078,0.874,4,0,0.015001
0.902,0.0038,-0.0017,0.0054,0.731,4,0,0.010133
1.001,-0.0094,-0.0064,0.0039,0.514,4,0,0.007741
1.101,-0.0052,-0.0018,-0.0016,0.581,4,0,0.006341
1.201,-0.0102,-0.0038,0.0009,0.564,4,0,0.005437
1.301,-0.0044,-0.0009,0.0007,0.519,4,0,0.004816
1.402,-0.0011,0.0003,0.0045,0.454,4,0,0.004371
1.501,-0.0009,0.0008,0.0042,0.521,4,0,0.004042
1.601,0.0012,0.0023,0.0030,0.601,4,0,0.003793
1.702,0.0021,0.0010,0.0046,0.633,4,0,0.003601
1.802,0.0005,0.0008,0.0033,0.573,4,0,0.003452
1.901,0.0046,0.0003,0.0023,0.523,4,0,0.003335
2.001,0.0066,-0.0007,-0.0006,0.518,4,0,0.003242
2.101,0.0096,0.0009,0.0006,0.450,4,0,0.003168
2.202,0.0135,0.0039,0.0003,0.919,4,0,0.003109
2.301,0.0149,0.0047,-0.0036,0.306,4,0,0.003061
2.402,0.0132,0.0035,-0.0044,0.585,4,0,0.003022
2.504,0.0108,0.0021,-0.0065,1.999,4,0,0.002991
2.603,0.0082,0.0013,-0.0046,0.644,4,0,0.002966
2.704,0.0052,-0.0003,-0.0035,1.730,4,0,0.002945
2.802,0.0057,-0.0004,-0.0034,1.141,4,0,0.002928
2.901,0.0055,-0.0012,-0.0009,0.522,4,0,0.002915
3.001,0.0088,0.0001,-0.0012,0.470,4,0,0.002904
3.102,0.0070,-0.0006,-0.0009,0.428,4,0,0.002895
3.201,0.0065,-0.0005,-0.0011,0.357,4,0,0.002887
3.303,0.0065,-0.0004,0.0005,0.641,4,0,0.002881
3.401,-0.0002,-0.0021,0.0027,0.412,4,0,0.002876
3.502,-0.0017,-0.0028,0.0042,0.569,4,0,0.002872
3.601,-0.0023,-0.0034,0.0031,0.485,4,0,0.002869
3.703,-0.0045,-0.0029,0.0044,0.483,4,0,0.002866
3.802,-0.0054,-0.0042,0.0023,0.603,4,0,0.002864
3.901,-0.0035,-0.0041,0.0007,0.526,4,0,0.002862
4.003,-0.0039,-0.0049,-0.0011,1.659,4,0,0.002860
4.104,-0.0052,-0.0045,-0.0004,0.562,4,0,0.002859
4.201,-0.0045,-0.0049,-0.0011,0.481,4,0,0.002858
4.302,-0.0071,-0.0061,-0.0016,0.531,4,0,0.002857
4.405,-0.0039,-0.0065,-0.0039,0.592,4,0,0.002857
4.501,-0.0025,-0.0059,-0.0038,0.514,4,0,0.002856
4.606,-0.0043,-0.0058,-0.0033,1.048,4,0,0.002856
4.701,-0.0044,-0.0040,-0.0032,0.520,4,0,0.002855
4.803,-0.0049,-0.0029,-0.0027,0.775,4,0,0.002855
4.904,-0.0053,-0.0040,-0.0014,1.010,4,0,0.002855
5.001,-0.0056,-0.0042,-0.0020,0.634,4,0,0.002855
5.101,-0.0056,-0.0056,-0.0045,0.619,4,0,0.002854
5.205,-0.0091,-0.0068,-0.0043,3.352,4,0,0.002854
5.302,-0.0099,-0.0074,-0.0029,0.867,4,0,0.002854
5.401,-0.0088,-0.0071,-0.0051,0.381,4,0,0.002854
5.501,-0.0039,-0.0065,-0.0042,0.500,4,0,0.002854
5.603,-0.0037,-0.0073,-0.0038,0.507,4,0,0.002854
5.701,-0.0041,-0.0068,-0.0041,0.499,4,0,0.002854
5.801,-0.0063,-0.0069,-0.0045,0.428,4,0,0.002854
5.901,-0.0045,-0.0059,-0.0070,0.482,4,0,0.002854
6.002,-0.0025,-0.0051,-0.0078,0.485,4,0,0.002854
6.103,-0.0026,-0.0054,-0.0088,1.547,4,0,0.002854
6.203,-0.0004,-0.0048,-0.0084,0.574,4,0,0.002854
6.302,-0.0022,-0.0051,-0.0081,0.745,4,0,0.002854
6.402,0.0007,-0.0045,-0.0081,1.062,4,0,0.002854
6.502,-0.0017,-0.0070,-0.0072,0.734,4,0,0.002854
6.601,-0.0073,-0.0090,-0.0058,0.390,4,0,0.002854
6.702,-0.0081,-0.0089,-0.0066,0.597,4,0,0.002854
6.802,-0.0050,-0.0070,-0.0083,0.752,4,0,0.002854
6.903,-0.0067,-0.0068,-0.0057,0.574,4,0,0.002854
7.001,-0.0047,-0.0066,-0.0052,0.634,4,0,0.002854
7.101,-0.0078,-0.0071,-0.0059,0.392,4,0,0.002854
7.201,-0.0058,-0.0072,-0.0041,0.579,4,0,0.002854
7.302,-0.0053,-0.0082,-0.0046,0.703,4,0,0.002854
7.402,-0.0074,-0.0083,-0.0034,0.799,4,0,0.002854
7.501,-0.0082,-0.0076,-0.0038,0.432,4,0,0.002854
7.601,-0.0022,-0.0061,-0.0037,0.426,4,0,0.002854
7.701,-0.0047,-0.0057,-0.0065,0.567,4,0,0.002854
7.802,-0.0104,-0.0073,-0.0037,0.753,4,0,0.002854
7.902,-0.0105,-0.0069,-0.0031,1.168,4,0,0.002854
8.001,-0.0100,-0.0069,-0.0029,0.542,4,0,0.002854
8.102,-0.0094,-0.0062,-0.0017,0.410,4,0,0.002854
8.201,-0.0063,-0.0052,-0.0030,0.352,4,0,0.002854
8.301,-0.0095,-0.0055,-0.0002,0.453,4,0,0.002854
8.401,-0.0105,-0.0054,-0.0015,0.426,4,0,0.002854
8.502,-0.0100,-0.0057,0.0000,0.506,4,0,0.002854
8.602,-0.0031,-0.0026,0.0012,0.537,4,0,0.002854
8.701,-0.0006,-0.0012,0.0008,0.458,4,0,0.002854
8.801,-0.0034,-0.0007,0.0018,0.521,4,0,0.002854
8.903,-0.0041,-0.0014,0.0023,0.488,4,0,0.002854
9.001,-0.0019,-0.0014,0.0012,0.408,4,0,0.002854
9.102,0.0006,-0.0016,0.0004,0.737,4,0,0.002854
9.202,-0.0048,-0.0028,0.0004,0.563,4,0,0.002854
9.303,-0.0051,-0.0014,-0.0010,0.558,4,0,0.002854
9.402,-0.0029,-0.0002,-0.0001,0.582,4,0,0.002854
9.501,-0.0035,-0.0020,-0.0006,0.449,4,0,0.002854
9.602,-0.0020,-0.0013,-0.0002,0.507,4,0,0.002854
9.707,-0.0038,-0.0024,-0.0014,1.835,4,0,0.002854
9.803,-0.0029,-0.0024,-0.0003,0.604,4,0,0.002854
9.902,-0.0032,-0.0024,0.0005,0.587,4,0,0.002854
10.002,-0.0018,-0.0024,-0.0028,0.618,4,0,0.002854
10.101,-0.0010,-0.0019,-0.0017,0.441,4,0,0.002854
10.204,0.0006,-0.0008,-0.0045,0.479,4,0,0.002854
10.302,-0.0001,-0.0017,-0.0072,0.803,4,0,0.002854
10.404,-0.0031,-0.0028,-0.0059,0.556,4,0,0.002854
10.503,-0.0010,-0.0039,-0.0086,0.655,4,0,0.002854
10.601,-0.0027,-0.0041,-0.0083,0.474,4,0,0.002854
10.701,-0.0051,-0.0048,-0.0076,0.522,4,0,0.002854
10.802,-0.0039,-0.0040,-0.0034,0.426,4,0,0.002854
10.902,-0.0036,-0.0045,-0.0048,1.041,4,0,0.002854
11.001,0.0005,-0.0024,-0.0069,0.548,4,0,0.002854
11.105,0.0036,-0.0003,-0.0065,0.421,4,0,0.002854
11.202,0.0029,-0.0014,-0.0071,1.212,4,0,0.002854
11.301,0.0035,-0.0017,-0.0074,0.484,4,0,0.002854
11.402,0.0033,-0.0013,-0.0078,0.562,4,0,0.002854
11.502,0.0042,-0.0008,-0.0074,0.481,4,0,0.002854
11.604,0.0034,-0.0023,-0.0088,0.472,4,0,0.002854
11.701,0.0051,-0.0000,-0.0073,0.728,4,0,0.002854
11.805,0.0058,-0.0002,-0.0079,2.571,4,0,0.002854
11.904,0.0037,0.0010,-0.0075,0.664,4,0,0.002854
12.002,0.0057,0.0013,-0.0068,0.685,4,0,0.002854
12.102,0.0054,0.0010,-0.0070,0.796,4,0,0.002854
12.204,0.0069,0.0014,-0.0047,0.686,4,0,0.002854
12.303,0.0067,0.0016,-0.0081,0.882,4,0,0.002854
12.403,0.0066,0.0011,-0.0083,0.485,4,0,0.002854
12.507,0.0065,0.0001,-0.0106,0.579,4,0,0.002854
12.604,0.0074,0.0002,-0.0105,0.880,4,0,0.002854
12.702,0.0000,-0.0006,-0.0127,0.676,4,0,0.002854
12.801,0.0017,0.0017,-0.0108,0.406,4,0,0.002854
12.902,0.0022,0.0025,-0.0104,0.679,4,0,0.002854
13.006,0.0022,0.0034,-0.0095,0.787,4,0,0.002854
13.101,0.0008,0.0017,-0.0090,0.414,4,0,0.002854
13.201,-0.0024,0.0019,-0.0124,0.563,4,0,0.002854
13.301,-0.0014,0.0018,-0.0097,0.419,4,0,0.002854
