t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
0.404,0.0134,0.0257,0.0043,3.207,4,0,0.029703
0.503,-0.0004,0.0097,0.0040,0.538,4,0,0.015001
0.601,-0.0173,0.0086,-0.0092,0.717,4,0,0.010133
0.702,-0.0211,0.0091,-0.0083,0.513,4,0,0.007741
0.801,-0.0165,0.0101,-0.0088,0.534,4,0,0.006341
0.902,-0.0138,0.0116,-0.0041,0.564,4,0,0.005437
1.001,-0.0178,0.0112,-0.0020,0.399,4,0,0.004816
1.102,-0.0199,0.0113,-0.0017,0.572,4,0,0.004371
1.202,-0.0203,0.0101,-0.0008,0.853,4,0,0.004042
1.301,-0.0118,0.0127,-0.0020,0.539,4,0,0.003793
1.402,-0.0142,0.0144,-0.0031,0.664,4,0,0.003601
1.501,-0.0088,0.0157,-0.0035,0.600,4,0,0.003452
1.601,-0.0051,0.0172,-0.0007,0.492,4,0,0.003335
1.702,-0.0056,0.0177,0.0022,0.513,4,0,0.003242
1.801,-0.0078,0.0164,0.0031,0.486,4,0,0.003168
1.901,-0.0062,0.0171,0.0014,0.611,4,0,0.003109
2.001,-0.0097,0.0154,0.0022,0.573,4,0,0.003061
2.101,-0.0112,0.0144,-0.0001,0.438,4,0,0.003022
2.202,-0.0110,0.0139,-0.0003,1.237,4,0,0.002991
2.301,-0.0146,0.0129,0.0010,0.528,4,0,0.002966
2.401,-0.0160,0.0128,0.0012,0.442,4,0,0.002945
2.502,-0.0153,0.0121,0.0017,0.888,4,0,0.002928
2.601,-0.0178,0.0109,0.0013,0.410,4,0,0.002915
2.701,-0.0182,0.0120,0.0049,0.425,4,0,0.002904
2.802,-0.0159,0.0132,0.0043,0.657,4,0,0.002895
2.901,-0.0166,0.0130,0.0040,0.464,4,0,0.002887
3.001,-0.0167,0.0128,0.0050,0.372,4,0,0.002881
3.101,-0.0152,0.0131,0.0024,0.513,4,0,0.002876
3.201,-0.0107,0.0142,0.0008,0.467,4,0,0.002872
3.301,-0.0096,0.0131,0.0050,0.486,4,0,0.002869
3.401,-0.0088,0.0133,0.0072,0.497,4,0,0.002866
3.501,-0.0099,0.0151,0.0055,0.427,4,0,0.002864
3.601,-0.0090,0.0152,0.0036,0.548,4,0,0.002862
3.701,-0.0087,0.0154,0.0034,0.448,4,0,0.002860
3.801,-0.0111,0.0147,0.0027,0.672,4,0,0.002859
3.902,-0.0112,0.0143,0.0032,1.328,4,0,0.002858
4.001,-0.0109,0.0136,0.0047,0.442,4,0,0.002857
4.101,-0.0122,0.0133,0.0021,0.493,4,0,0.002857
4.201,-0.0137,0.0130,-0.0006,0.611,4,0,0.002856
4.301,-0.0148,0.0133,0.0015,0.533,4,0,0.002856
4.401,-0.0189,0.0118,0.0022,0.492,4,0,0.002855
4.502,-0.0158,0.0123,0.0022,0.584,4,0,0.002855
4.602,-0.0140,0.0129,0.0022,0.815,4,0,0.002855
4.701,-0.0134,0.0131,0.0042,0.426,4,0,0.002855
4.804,-0.0114,0.0134,0.0025,0.679,4,0,0.002854
4.901,-0.0163,0.0130,0.0017,0.534,4,0,0.002854
5.002,-0.0165,0.0130,0.0008,0.667,4,0,0.002854
5.101,-0.0158,0.0116,0.0036,0.457,4,0,0.002854
5.201,-0.0160,0.0104,0.0011,0.524,4,0,0.002854
5.302,-0.0113,0.0128,0.0025,0.720,4,0,0.002854
5.401,-0.0114,0.0117,0.0025,0.495,4,0,0.002854
5.502,-0.0106,0.0114,0.0016,0.904,4,0,0.002854
5.602,-0.0098,0.0111,0.0016,0.681,4,0,0.002854
5.702,-0.0078,0.0118,0.0044,0.574,4,0,0.002854
5.801,-0.0036,0.0129,0.0040,0.436,4,0,0.002854
5.902,-0.0081,0.0129,0.0052,0.556,4,0,0.002854
6.004,-0.0078,0.0128,0.0039,0.604,4,0,0.002854
6.102,-0.0043,0.0154,0.0049,0.551,4,0,0.002854
6.201,-0.0040,0.0165,0.0043,0.407,4,0,0.002854
6.302,-0.0033,0.0167,0.0059,0.553,4,0,0.002854
6.402,-0.0013,0.0168,0.0063,1.094,4,0,0.002854
6.501,0.0016,0.0156,0.0057,0.363,4,0,0.002854
6.603,-0.0047,0.0132,0.0047,1.042,4,0,0.002854
6.701,-0.0060,0.0125,0.0030,0.542,4,0,0.002854
6.802,-0.0087,0.0112,0.0019,0.570,4,0,0.002854
6.901,-0.0064,0.0121,0.0010,0.507,4,0,0.002854
7.003,-0.0070,0.0107,0.0010,0.378,4,0,0.002854
7.102,-0.0058,0.0105,0.0013,0.388,4,0,0.002854
7.201,-0.0071,0.0101,0.0010,0.547,4,0,0.002854
7.301,-0.0076,0.0099,0.0016,0.491,4,0,0.002854
7.402,-0.0054,0.0105,0.0016,1.229,4,0,0.002854
7.501,-0.0083,0.0114,0.0025,0.376,4,0,0.002854
7.603,-0.0078,0.0133,0.0045,1.023,4,0,0.002854
7.701,-0.0073,0.0148,0.0079,0.369,4,0,0.002854
7.801,-0.0087,0.0147,0.0079,0.284,4,0,0.002854
7.901,-0.0083,0.0151,0.0057,0.749,4,0,0.002854
8.003,-0.0077,0.0148,0.0067,0.603,4,0,0.002854
8.101,-0.0072,0.0146,0.0055,0.446,4,0,0.002854
8.201,-0.0088,0.0128,0.0062,0.295,4,0,0.002854
8.301,-0.0068,0.0123,0.0071,0.392,4,0,0.002854
8.402,-0.0042,0.0128,0.0076,1.432,4,0,0.002854
8.501,-0.0050,0.0128,0.0081,0.287,4,0,0.002854
8.601,-0.0085,0.0123,0.0099,0.423,4,0,0.002854
8.702,-0.0083,0.0139,0.0120,0.456,4,0,0.002854
8.802,-0.0102,0.0138,0.0147,0.612,4,0,0.002854
8.901,-0.0099,0.0135,0.0114,0.440,4,0,0.002854
9.002,-0.0098,0.0142,0.0088,0.691,4,0,0.002854
9.101,-0.0110,0.0148,0.0089,0.350,4,0,0.002854
9.203,-0.0115,0.0136,0.0085,0.448,4,0,0.002854
9.301,-0.0113,0.0138,0.0068,0.535,4,0,0.002854
9.402,-0.0137,0.0124,0.0034,0.516,4,0,0.002854
9.501,-0.0120,0.0139,0.0032,0.409,4,0,0.002854
9.602,-0.0121,0.0143,0.0022,0.725,4,0,0.002854
9.703,-0.0117,0.0149,0.0023,0.977,4,0,0.002854
9.801,-0.0130,0.0143,0.0027,0.602,4,0,0.002854
9.902,-0.0134,0.0135,0.0031,0.449,4,0,0.002854
10.002,-0.0162,0.0124,0.0032,0.430,4,0,0.002854
10.103,-0.0146,0.0130,0.0015,0.678,4,0,0.002854
10.201,-0.0135,0.0116,0.0028,0.434,4,0,0.002854
10.303,-0.0111,0.0114,0.0051,0.983,4,0,0.002854
10.401,-0.0135,0.0115,0.0043,0.472,4,0,0.002854
10.501,-0.0123,0.0107,0.0050,0.524,4,0,0.002854
10.601,-0.0104,0.0117,0.0040,0.527,4,0,0.002854
10.702,-0.0129,0.0107,0.0012,0.417,4,0,0.002854
10.802,-0.0090,0.0117,0.0004,0.531,4,0,0.002854
10.902,-0.0082,0.0105,0.0016,0.883,4,0,0.002854
11.002,-0.0080,0.0101,0.0035,0.554,4,0,0.002854
11.101,-0.0090,0.0093,0.0032,0.313,4,0,0.002854
11.202,-0.0054,0.0115,0.0041,0.434,4,0,0.002854
11.301,-0.0027,0.0116,0.0048,0.464,4,0,0.002854
11.401,-0.0036,0.0101,0.0046,0.427,4,0,0.002854
11.502,-0.0026,0.0085,0.0030,0.429,4,0,0.002854
11.601,-0.0031,0.0072,0.0034,0.455,4,0,0.002854
11.701,-0.0026,0.0071,0.0005,0.633,4,0,0.002854
11.801,-0.0043,0.0068,-0.0010,0.316,4,0,0.002854
11.902,-0.0063,0.0094,0.0017,0.502,4,0,0.002854
12.002,-0.0042,0.0103,-0.0004,0.806,4,0,0.002854
12.108,-0.0060,0.0096,0.0007,1.901,4,0,0.002854
12.202,-0.0078,0.0090,-0.0006,0.633,4,0,0.002854
12.301,-0.0054,0.0103,-0.0009,0.409,4,0,0.002854
12.401,-0.0050,0.0106,-0.0029,0.411,4,0,0.002854
12.502,-0.0063,0.0110,-0.0028,0.640,4,0,0.002854
12.607,-0.0074,0.0122,-0.0033,5.225,4,0,0.002854
12.701,-0.0069,0.0124,0.0007,0.298,4,0,0.002854
12.801,-0.0068,0.0126,-0.0019,0.453,4,0,0.002854
12.902,-0.0059,0.0137,-0.0018,0.632,4,0,0.002854
13.001,-0.0062,0.0133,-0.0030,0.608,4,0,0.002854
13.104,-0.0078,0.0140,-0.0012,1.235,4,0,0.002854
13.202,-0.0046,0.0157,-0.0001,0.526,4,0,0.002854
13.301,-0.0071,0.0153,0.0005,0.525,4,0,0.002854
13.402,-0.0099,0.0157,0.0002,0.576,4,0,0.002854
13.502,-0.0111,0.0148,-0.0005,0.449,4,0,0.002854
13.601,-0.0118,0.0148,-0.0035,0.669,4,0,0.002854
13.704,-0.0130,0.0139,-0.0027,1.102,4,0,0.002854
13.804,-0.0139,0.0116,-0.0008,3.039,4,0,0.002854
13.901,-0.0103,0.0127,-0.0018,0.548,4,0,0.002854
14.003,-0.0100,0.0135,-0.0034,1.182,4,0,0.002854
14.101,-0.0105,0.0130,-0.0018,0.425,4,0,0.002854
14.202,-0.0096,0.0140,-0.0041,0.502,4,0,0.002854
14.301,-0.0097,0.0152,-0.0033,0.444,4,0,0.002854
14.401,-0.0088,0.0171,-0.0051,0.454,4,0,0.002854
14.502,-0.0062,0.0188,-0.0060,0.584,4,0,0.002854
14.602,-0.0051,0.0190,-0.0070,0.531,4,0,0.002854
14.702,-0.0071,0.0171,-0.0040,0.439,4,0,0.002854
14.801,-0.0090,0.0165,-0.0036,0.625,4,0,0.002854
14.901,-0.0101,0.0151,-0.0027,0.425,4,0,0.002854
15.007,-0.0159,0.0140,-0.0014,0.768,4,0,0.002854
15.101,-0.0154,0.0140,-0.0009,0.562,4,0,0.002854
15.202,-0.0174,0.0117,0.0003,0.551,4,0,0.002854
15.301,-0.0150,0.0120,0.0019,0.571,4,0,0.002854
15.401,-0.0164,0.0115,0.0016,0.534,4,0,0.002854
15.502,-0.0140,0.0134,0.0028,1.476,4,0,0.002854
15.601,-0.0129,0.0143,0.0035,0.531,4,0,0.002854
15.703,-0.0108,0.0145,0.0031,0.574,4,0,0.002854
15.801,-0.0124,0.0142,0.0033,0.483,4,0,0.002854
15.901,-0.0083,0.0142,0.0004,0.529,4,0,0.002854
16.001,-0.0093,0.0137,-0.0018,0.508,4,0,0.002854
16.101,-0.0103,0.0115,-0.0039,0.591,4,0,0.002854
16.202,-0.0096,0.0109,-0.0032,1.114,4,0,0.002854
16.301,-0.0129,0.0091,-0.0022,0.480,4,0,0.002854
16.401,-0.0118,0.0084,-0.0004,0.512,4,0,0.002854
16.501,-0.0134,0.0086,-0.0018,0.467,4,0,0.002854
16.601,-0.0154,0.0079,-0.0010,0.492,4,0,0.002854
16.701,-0.0196,0.0062,-0.0023,0.375,4,0,0.002854
16.801,-0.0151,0.0078,-0.0022,0.400,4,0,0.002854
16.901,-0.0189,0.0065,-0.0013,0.557,4,0,0.002854
17.003,-0.0190,0.0067,-0.0018,0.530,4,0,0.002854
17.101,-0.0183,0.0071,-0.0014,0.368,4,0,0.002854
17.201,-0.0174,0.0072,-0.0006,0.545,4,0,0.002854
17.302,-0.0136,0.0089,-0.0014,0.505,4,0,0.002854
17.402,-0.0154,0.0078,-0.0012,0.325,4,0,0.002854
17.501,-0.0163,0.0072,-0.0021,0.552,4,0,0.002854
17.602,-0.0187,0.0068,-0.0035,0.487,4,0,0.002854
17.701,-0.0209,0.0063,-0.0039,0.561,4,0,0.002854
17.802,-0.0169,0.0081,-0.0039,0.622,4,0,0.002854
17.901,-0.0154,0.0093,-0.0043,0.535,4,0,0.002854
18.002,-0.0159,0.0092,-0.0030,0.558,4,0,0.002854
18.102,-0.0107,0.0098,-0.0028,0.544,4,0,0.002854
18.203,-0.0120,0.0110,-0.0025,0.691,4,0,0.002854
18.301,-0.0134,0.0110,-0.0049,0.313,4,0,0.002854
18.401,-0.0155,0.0103,-0.0048,0.468,4,0,0.002854
18.501,-0.0150,0.0109,-0.0017,0.514,4,0,0.002854
18.602,-0.0163,0.0093,-0.0012,0.584,4,0,0.002854
18.701,-0.0141,0.0103,-0.0021,0.402,4,0,0.002854
18.805,-0.0140,0.0110,-0.0043,0.482,4,0,0.002854
18.901,-0.0130,0.0115,-0.0029,0.548,4,0,0.002854
19.002,-0.0146,0.0114,-0.0041,0.427,4,0,0.002854
19.101,-0.0117,0.0119,-0.0037,0.370,4,0,0.002854
19.201,-0.0163,0.0117,-0.0024,0.428,4,0,0.002854
19.301,-0.0139,0.0122,-0.0003,0.622,4,0,0.002854
19.401,-0.0115,0.0144,-0.0013,0.591,4,0,0.002854
19.501,-0.0086,0.0144,-0.0021,0.546,4,0,0.002854
19.602,-0.0067,0.0138,-0.0033,0.594,4,0,0.002854
19.702,-0.0114,0.0131,-0.0023,0.502,4,0,0.002854
19.801,-0.0067,0.0141,-0.0014,0.410,4,0,0.002854
19.901,-0.0064,0.0142,-0.0062,0.458,4,0,0.002854
20.005,-0.0065,0.0146,-0.0066,0.699,4,0,0.002854
20.105,-0.0071,0.0154,-0.0069,0.684,4,0,0.002854
20.202,-0.0074,0.0141,-0.0076,1.191,4,0,0.002854
20.304,-0.0051,0.0154,-0.0066,0.585,4,0,0.002854
20.402,-0.0054,0.0141,-0.0058,0.699,4,0,0.002854
20.502,-0.0085,0.0128,-0.0061,0.532,4,0,0.002854
20.601,-0.0094,0.0123,-0.0066,0.429,4,0,0.002854
20.704,-0.0109,0.0114,-0.0042,2.182,4,0,0.002854
20.801,-0.0128,0.0116,-0.0039,0.504,4,0,0.002854
