t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
0.804,0.0000,0.0404,0.0019,1.749,1,3,0.007481
0.902,0.0000,0.0479,0.0016,0.501,1,3,0.003819
1.001,0.0000,0.0253,0.0039,0.496,1,3,0.002659
1.101,0.0000,0.0061,0.0029,0.497,1,3,0.002122
1.202,0.0000,0.0162,0.0010,0.531,1,3,0.001831
1.302,0.0000,0.0231,0.0029,0.426,1,3,0.001659
1.402,0.0000,0.0310,0.0025,0.453,1,3,0.001553
1.502,0.0000,0.0252,-0.0015,0.450,1,3,0.001486
1.603,0.0000,0.0123,-0.0007,0.635,1,3,0.001443
1.701,0.0000,0.0158,-0.0006,0.437,1,3,0.001414
1.801,0.0000,0.0152,-0.0009,0.357,1,3,0.001395
1.902,0.0000,0.0186,0.0001,0.371,1,3,0.001383
2.002,0.0000,0.0193,-0.0015,0.447,1,3,0.001374
2.101,0.0000,0.0322,0.0003,0.483,1,3,0.001369
2.202,0.0000,0.0173,-0.0007,1.006,1,3,0.001365
2.303,0.0000,0.0209,-0.0013,1.475,1,3,0.001363
2.402,0.0000,0.0143,-0.0025,0.545,1,3,0.001361
2.502,0.0000,0.0164,-0.0012,0.537,1,3,0.001360
2.602,0.0000,0.0099,-0.0012,0.502,1,3,0.001359
2.701,0.0000,0.0126,0.0014,0.330,2,2,0.001150
2.801,0.0000,0.0110,-0.0004,0.418,2,2,0.001046
2.901,0.0000,0.0207,-0.0023,0.550,2,2,0.000990
3.001,0.0000,0.0152,-0.0005,0.480,2,2,0.000960
3.102,0.0000,0.0105,0.0004,0.667,2,2,0.000943
3.202,0.0000,0.0030,0.0013,0.581,2,2,0.000934
3.302,0.0000,0.0021,0.0045,0.728,2,2,0.000928
3.402,0.0000,0.0109,0.0076,0.730,2,2,0.000925
3.503,0.0000,0.0184,0.0070,0.639,2,2,0.000923
3.602,0.0000,0.0210,0.0039,0.729,2,2,0.000923
3.703,0.0000,-0.0004,0.0033,0.773,2,2,0.000922
3.802,0.0000,0.0112,0.0009,0.498,2,2,0.000922
3.902,0.0000,0.0135,0.0054,0.401,2,2,0.000921
4.002,0.0000,0.0196,0.0056,0.748,2,2,0.000921
4.102,0.0000,0.0094,0.0020,0.607,2,2,0.000921
4.201,0.0000,0.0137,-0.0009,0.493,2,2,0.000921
6.783,0.0000,0.0277,0.0060,0.477,2,2,0.000921
6.883,0.0000,0.0231,0.0014,0.609,2,2,0.000921
6.983,0.0000,0.0286,-0.0035,0.678,2,2,0.000921
7.083,0.0000,0.0429,0.0025,0.402,2,2,0.000921
7.183,0.0000,0.0428,0.0054,0.419,2,2,0.000921
7.282,0.0000,0.0474,0.0088,0.411,2,2,0.000921
7.382,0.0000,0.0407,0.0043,0.380,2,2,0.000921
7.482,0.0000,0.0266,0.0065,0.448,2,2,0.000921
7.582,0.0000,0.0251,0.0065,0.453,2,2,0.000921
7.683,0.0000,0.0334,0.0041,0.543,2,2,0.000921
7.783,0.0000,0.0209,0.0036,0.487,2,2,0.000921
7.883,0.0000,0.0229,-0.0076,0.486,2,2,0.000921
7.983,0.0000,0.0406,-0.0076,0.973,2,2,0.000921
8.082,0.0000,0.0409,-0.0015,0.403,2,2,0.000921
8.183,0.0000,0.0274,0.0001,0.487,2,2,0.000921
8.283,0.0000,0.0162,0.0001,0.465,2,2,0.000921
8.384,0.0000,0.0170,0.0077,0.820,2,2,0.000921
8.483,0.0000,0.0259,0.0056,0.704,2,2,0.000921
8.583,0.0000,0.0233,0.0068,0.827,2,2,0.000921
8.682,0.0000,0.0220,0.0093,0.453,2,2,0.000921
8.783,0.0000,0.0145,0.0099,0.760,2,2,0.000921
8.884,0.0000,0.0152,0.0118,1.328,2,2,0.000921
8.983,0.0000,0.0254,0.0109,0.407,2,2,0.000921
9.083,0.0000,0.0229,0.0120,0.618,2,2,0.000921
9.183,0.0000,0.0180,0.0138,0.709,2,2,0.000921
9.284,0.0000,0.0254,0.0135,0.475,2,2,0.000921
9.383,0.0000,0.0171,0.0132,0.484,2,2,0.000921
9.483,0.0000,0.0274,0.0169,0.627,2,2,0.000921
9.583,0.0000,0.0340,0.0166,0.606,1,3,0.001050
9.683,0.0000,0.0189,0.0229,0.637,2,2,0.000993
9.783,0.0000,0.0091,0.0189,0.586,2,2,0.000961
9.882,0.0000,0.0110,0.0251,0.486,2,2,0.000944
9.995,0.0000,0.0088,0.0190,8.115,2,2,0.000934
10.087,0.0000,-0.0016,0.0177,4.652,2,2,0.000928
10.184,0.0000,-0.0121,0.0191,1.162,2,2,0.000925
10.282,0.0000,-0.0084,0.0126,0.548,2,2,0.000924
10.383,0.0000,-0.0089,0.0142,1.128,2,2,0.000923
10.482,0.0000,-0.0088,0.0158,0.448,2,2,0.000922
10.582,0.0000,-0.0114,0.0133,0.578,2,2,0.000922
10.682,0.0000,-0.0262,0.0098,0.332,2,2,0.000921
10.783,0.0000,-0.0260,0.0128,0.519,2,2,0.000921
10.883,0.0000,-0.0315,0.0152,0.998,1,3,0.001050
10.983,0.0000,-0.0200,0.0138,0.770,2,2,0.000993
11.083,0.0000,-0.0364,0.0150,0.542,2,2,0.000961
11.183,0.0000,-0.0369,0.0149,0.495,2,2,0.000944
11.283,0.0000,-0.0196,0.0134,0.515,2,2,0.000934
11.384,0.0000,-0.0166,0.0151,0.542,2,2,0.000929
11.484,0.0000,-0.0271,0.0058,1.262,2,2,0.000925
11.583,0.0000,-0.0247,0.0036,0.882,2,2,0.000924
11.683,0.0000,-0.0234,0.0072,0.519,2,2,0.000923
11.783,0.0000,-0.0301,0.0118,0.632,2,2,0.000922
11.882,0.0000,-0.0402,0.0156,0.434,2,2,0.000922
11.983,0.0000,-0.0337,0.0158,0.534,2,2,0.000921
12.083,0.0000,-0.0327,0.0189,0.543,2,2,0.000921
12.183,0.0000,-0.0370,0.0183,0.559,2,2,0.000921
12.283,0.0000,-0.0307,0.0212,0.479,2,2,0.000921
12.383,0.0000,-0.0449,0.0176,0.537,2,2,0.000921
12.483,0.0000,-0.0538,0.0214,0.487,2,2,0.000921
12.583,0.0000,-0.0512,0.0212,0.631,2,2,0.000921
12.683,0.0000,-0.0480,0.0213,1.123,2,2,0.000921
12.783,0.0000,-0.0527,0.0205,0.599,2,2,0.000921
12.882,0.0000,-0.0517,0.0257,0.653,2,2,0.000921
12.983,0.0000,-0.0395,0.0247,0.486,2,2,0.000921
13.083,0.0000,-0.0553,0.0234,0.432,2,2,0.000921
13.183,0.0000,-0.0622,0.0243,0.665,2,2,0.000921
13.282,0.0000,-0.0532,0.0148,0.463,2,2,0.000921
13.385,0.0000,-0.0576,0.0180,0.583,2,2,0.000921
13.483,0.0000,-0.0443,0.0154,0.579,2,2,0.000921
13.583,0.0000,-0.0393,0.0189,0.482,2,2,0.000921
13.683,0.0000,-0.0426,0.0185,0.458,2,2,0.000921
13.783,0.0000,-0.0353,0.0123,0.537,2,2,0.000921
13.883,0.0000,-0.0202,0.0160,0.805,2,2,0.000921
13.983,0.0000,-0.0225,0.0140,0.615,2,2,0.000921
14.083,0.0000,-0.0216,0.0110,0.518,2,2,0.000921
14.183,0.0000,-0.0318,0.0149,0.545,2,2,0.000921
14.283,0.0000,-0.0233,0.0133,0.645,2,2,0.000921
14.384,0.0000,-0.0249,0.0106,0.672,2,2,0.000921
14.483,0.0000,-0.0170,0.0142,0.904,2,2,0.000921
14.582,0.0000,-0.0277,0.0149,0.470,2,2,0.000921
14.683,0.0000,-0.0394,0.0178,0.519,2,2,0.000921
14.783,0.0000,-0.0323,0.0206,0.642,2,2,0.000921
14.883,0.0000,-0.0408,0.0172,0.620,2,2,0.000921
14.984,0.0000,-0.0472,0.0252,0.657,2,2,0.000921
15.083,0.0000,-0.0369,0.0259,0.496,2,2,0.000921
15.183,0.0000,-0.0392,0.0216,0.814,2,2,0.000921
15.283,0.0000,-0.0452,0.0272,0.412,2,2,0.000921
15.385,0.0000,-0.0440,0.0313,0.619,2,2,0.000921
15.483,0.0000,-0.0476,0.0314,0.890,2,2,0.000921
15.583,0.0000,-0.0525,0.0302,0.612,2,2,0.000921
15.684,0.0000,-0.0785,0.0275,0.505,2,2,0.000921
15.783,0.0000,-0.0874,0.0262,0.618,2,2,0.000921
15.884,0.0000,-0.0850,0.0227,0.777,2,2,0.000921
15.984,0.0000,-0.0764,0.0182,0.841,2,2,0.000921
16.083,0.0000,-0.0783,0.0181,0.550,2,2,0.000921
16.183,0.0000,-0.0730,0.0192,0.811,2,2,0.000921
16.283,0.0000,-0.0985,0.0293,0.623,2,2,0.000921
16.383,0.0000,-0.1119,0.0333,0.558,2,2,0.000921
16.483,0.0000,-0.1081,0.0323,0.424,2,2,0.000921
16.583,0.0000,-0.1136,0.0303,0.514,1,3,0.001050
16.683,0.0000,-0.1076,0.0316,0.523,2,2,0.000993
16.782,0.0000,-0.0930,0.0337,0.422,2,2,0.000961
16.884,0.0000,-0.0905,0.0314,0.700,2,2,0.000944
16.983,0.0000,-0.0816,0.0277,0.589,2,2,0.000934
17.083,0.0000,-0.0966,0.0282,0.362,2,2,0.000928
17.183,0.0000,-0.1078,0.0285,0.521,2,2,0.000925
17.283,0.0000,-0.0970,0.0319,0.584,2,2,0.000924
17.382,0.0000,-0.1005,0.0348,0.570,2,2,0.000923
17.483,0.0000,-0.1014,0.0322,0.475,2,2,0.000922
17.584,0.0000,-0.1112,0.0299,0.700,2,2,0.000922
17.683,0.0000,-0.1086,0.0243,0.407,2,2,0.000921
17.783,0.0000,-0.1219,0.0238,0.493,2,2,0.000921
17.883,0.0000,-0.1202,0.0266,0.677,2,2,0.000921
17.983,0.0000,-0.1137,0.0253,0.859,2,2,0.000921
