t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
0.102,-0.0174,0.0048,-0.0111,0.776,4,0,0.029703
0.201,-0.0221,-0.0015,-0.0044,0.529,4,0,0.015001
0.302,-0.0340,-0.0037,0.0025,0.715,4,0,0.010133
0.402,-0.0236,0.0003,0.0070,0.566,4,0,0.007741
0.502,-0.0229,-0.0009,0.0043,0.536,4,0,0.006341
0.601,-0.0180,-0.0009,0.0086,0.341,4,0,0.005437
0.701,-0.0163,-0.0035,0.0047,0.338,4,0,0.004816
0.802,-0.0140,-0.0025,0.0040,0.802,4,0,0.004371
0.902,-0.0064,0.0012,0.0035,0.980,4,0,0.004042
1.005,-0.0088,0.0003,0.0017,0.589,4,0,0.003793
1.104,-0.0064,-0.0009,0.0019,0.919,4,0,0.003601
1.201,-0.0056,-0.0016,0.0013,0.367,4,0,0.003452
1.301,-0.0045,-0.0036,0.0015,0.334,4,0,0.003335
1.401,-0.0071,-0.0033,0.0015,0.413,4,0,0.003242
1.503,-0.0055,-0.0017,0.0025,0.832,4,0,0.003168
1.606,-0.0037,-0.0007,0.0010,3.941,4,0,0.003109
1.703,-0.0086,-0.0045,0.0014,0.471,4,0,0.003061
1.801,-0.0118,-0.0040,0.0039,0.314,4,0,0.003022
1.901,-0.0106,-0.0032,0.0018,0.509,4,0,0.002991
2.002,-0.0120,-0.0036,0.0034,0.759,4,0,0.002966
2.101,-0.0146,-0.0036,0.0049,0.439,4,0,0.002945
2.203,-0.0158,-0.0038,0.0018,0.543,4,0,0.002928
2.301,-0.0160,-0.0048,-0.0027,0.390,4,0,0.002915
2.401,-0.0130,-0.0037,-0.0041,0.468,4,0,0.002904
2.501,-0.0131,-0.0034,-0.0033,0.574,4,0,0.002895
2.603,-0.0112,-0.0031,-0.0031,1.450,4,0,0.002887
2.702,-0.0152,-0.0047,-0.0015,0.567,4,0,0.002881
2.803,-0.0156,-0.0050,-0.0013,1.183,4,0,0.002876
2.901,-0.0128,-0.0053,-0.0006,0.511,4,0,0.002872
3.002,-0.0137,-0.0057,-0.0011,0.717,4,0,0.002869
3.103,-0.0116,-0.0052,-0.0003,2.165,4,0,0.002866
3.202,-0.0115,-0.0059,-0.0025,0.593,4,0,0.002864
3.302,-0.0116,-0.0062,-0.0008,0.698,4,0,0.002862
3.402,-0.0136,-0.0068,-0.0016,0.649,4,0,0.002860
3.502,-0.0132,-0.0072,-0.0015,0.447,4,0,0.002859
3.602,-0.0130,-0.0069,-0.0033,1.282,4,0,0.002858
3.702,-0.0125,-0.0070,-0.0047,0.899,4,0,0.002857
3.801,-0.0106,-0.0066,-0.0025,0.407,4,0,0.002857
3.901,-0.0122,-0.0075,-0.0021,0.320,4,0,0.002856
4.002,-0.0095,-0.0073,-0.0030,0.980,4,0,0.002856
4.102,-0.0070,-0.0065,-0.0029,0.548,4,0,0.002855
4.201,-0.0064,-0.0057,-0.0035,0.297,4,0,0.002855
4.301,-0.0078,-0.0068,-0.0029,0.466,4,0,0.002855
4.401,-0.0084,-0.0072,-0.0038,0.466,4,0,0.002855
4.502,-0.0079,-0.0066,-0.0016,0.598,4,0,0.002854
4.601,-0.0087,-0.0068,-0.0025,0.390,4,0,0.002854
4.703,-0.0073,-0.0052,-0.0022,0.458,4,0,0.002854
4.805,-0.0035,-0.0036,-0.0018,0.551,4,0,0.002854
4.902,-0.0047,-0.0051,0.0007,0.699,4,0,0.002854
5.002,-0.0057,-0.0057,0.0016,0.612,4,0,0.002854
5.102,-0.0061,-0.0040,0.0018,0.522,4,0,0.002854
5.202,-0.0068,-0.0041,0.0030,0.559,4,0,0.002854
5.301,-0.0102,-0.0055,0.0051,0.500,4,0,0.002854
5.402,-0.0102,-0.0051,0.0039,0.544,4,0,0.002854
5.502,-0.0078,-0.0037,0.0020,0.458,4,0,0.002854
5.601,-0.0074,-0.0034,0.0005,0.384,4,0,0.002854
5.704,-0.0050,-0.0035,-0.0004,0.761,4,0,0.002854
5.806,-0.0063,-0.0045,-0.0004,0.961,4,0,0.002854
5.901,-0.0067,-0.0050,-0.0020,0.435,4,0,0.002854
6.001,-0.0070,-0.0053,-0.0007,0.431,4,0,0.002854
6.104,-0.0063,-0.0052,-0.0023,1.142,4,0,0.002854
6.202,-0.0057,-0.0057,-0.0022,0.707,4,0,0.002854
6.302,-0.0036,-0.0051,-0.0012,0.643,4,0,0.002854
