t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
4.304,2.0284,0.0061,0.0158,3.329,4,0,0.029703
4.402,2.0081,-0.0025,0.0067,0.500,4,0,0.015001
4.501,2.0068,-0.0057,0.0034,0.631,4,0,0.010133
4.602,2.0006,-0.0001,0.0041,0.458,4,0,0.007741
4.702,2.0024,-0.0008,0.0069,0.620,4,0,0.006341
4.802,2.0066,0.0010,0.0036,0.721,4,0,0.005437
4.902,2.0087,-0.0008,0.0047,0.688,4,0,0.004816
5.002,2.0053,-0.0037,0.0083,0.623,4,0,0.004371
5.103,2.0032,-0.0052,0.0095,0.576,4,0,0.004042
5.203,1.9970,-0.0012,0.0104,0.809,4,0,0.003793
5.302,1.9960,-0.0014,0.0088,1.206,4,0,0.003601
5.403,1.9963,0.0009,0.0083,0.482,4,0,0.003452
5.501,1.9966,0.0025,0.0084,0.506,4,0,0.003335
5.602,2.0020,0.0048,0.0086,0.812,4,0,0.003242
5.702,2.0031,0.0064,0.0078,0.576,4,0,0.003168
5.802,2.0008,0.0042,0.0089,0.487,4,0,0.003109
5.902,2.0018,0.0047,0.0086,0.479,4,0,0.003061
6.006,1.9998,0.0022,0.0090,0.714,4,0,0.003022
6.102,2.0009,0.0052,0.0080,0.733,4,0,0.002991
6.202,2.0033,0.0048,0.0079,0.421,4,0,0.002966
6.302,2.0026,0.0054,0.0089,0.877,4,0,0.002945
6.402,2.0015,0.0031,0.0092,1.018,4,0,0.002928
6.504,2.0000,0.0016,0.0079,0.601,4,0,0.002915
6.601,2.0006,0.0016,0.0075,0.569,4,0,0.002904
6.702,2.0018,0.0024,0.0065,0.507,4,0,0.002895
6.802,2.0042,0.0055,0.0073,0.689,4,0,0.002887
6.904,2.0048,0.0056,0.0059,0.490,4,0,0.002881
7.002,2.0042,0.0060,0.0056,0.552,4,0,0.002876
7.102,2.0077,0.0057,0.0053,0.652,4,0,0.002872
7.202,2.0071,0.0082,0.0057,0.503,4,0,0.002869
7.302,2.0069,0.0085,0.0053,0.548,4,0,0.002866
7.404,2.0064,0.0104,0.0066,0.582,4,0,0.002864
7.502,2.0033,0.0080,0.0068,0.625,4,0,0.002862
7.603,2.0017,0.0063,0.0063,0.571,4,0,0.002860
7.702,1.9999,0.0053,0.0062,0.704,4,0,0.002859
7.803,1.9977,0.0051,0.0048,0.632,4,0,0.002858
7.902,1.9981,0.0025,0.0052,0.654,4,0,0.002857
8.003,1.9988,0.0002,0.0047,0.500,4,0,0.002857
8.104,1.9981,0.0027,0.0062,0.688,4,0,0.002856
8.203,1.9953,0.0023,0.0053,0.708,4,0,0.002856
8.302,1.9949,0.0020,0.0055,0.866,4,0,0.002855
8.402,1.9936,0.0001,0.0053,0.694,4,0,0.002855
8.502,1.9946,0.0014,0.0032,0.740,4,0,0.002855
8.602,1.9956,-0.0003,0.0026,0.717,4,0,0.002855
8.702,1.9977,0.0011,0.0011,0.784,4,0,0.002854
8.804,1.9982,0.0007,0.0012,3.244,4,0,0.002854
8.906,1.9974,-0.0029,0.0013,4.526,4,0,0.002854
9.005,1.9971,-0.0012,0.0023,4.648,4,0,0.002854
9.103,2.0001,-0.0029,0.0003,0.844,4,0,0.002854
9.201,1.9995,-0.0024,-0.0008,0.495,4,0,0.002854
9.302,2.0002,-0.0030,0.0003,0.942,4,0,0.002854
9.402,2.0013,-0.0047,0.0006,0.544,4,0,0.002854
9.502,2.0022,-0.0041,0.0004,1.078,4,0,0.002854
9.602,2.0040,-0.0004,-0.0001,0.734,4,0,0.002854
9.702,2.0023,-0.0002,0.0001,0.741,4,0,0.002854
9.802,2.0047,0.0011,0.0007,0.811,4,0,0.002854
