t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
4.806,2.0362,-0.0016,0.0003,5.159,4,0,0.029703
4.901,2.0166,0.0058,-0.0072,0.470,4,0,0.015001
5.002,2.0105,0.0057,-0.0055,0.772,4,0,0.010133
5.102,2.0058,0.0041,-0.0004,0.617,4,0,0.007741
5.203,2.0169,0.0089,-0.0011,0.711,4,0,0.006341
5.303,2.0053,0.0049,0.0014,0.820,4,0,0.005437
5.401,2.0064,0.0078,0.0038,0.472,4,0,0.004816
5.501,2.0052,0.0068,0.0039,0.605,4,0,0.004371
5.602,2.0063,0.0054,0.0013,0.599,4,0,0.004042
5.702,2.0067,0.0069,0.0004,0.631,4,0,0.003793
5.803,2.0061,0.0068,0.0016,0.497,4,0,0.003601
5.901,2.0087,0.0034,0.0027,0.474,4,0,0.003452
6.003,2.0071,0.0011,0.0018,2.283,4,0,0.003335
6.102,2.0086,0.0020,0.0023,0.595,4,0,0.003242
6.201,2.0101,-0.0030,0.0029,0.523,4,0,0.003168
6.302,2.0104,-0.0030,0.0023,0.670,4,0,0.003109
6.401,2.0127,-0.0034,0.0024,0.534,4,0,0.003061
6.501,2.0129,-0.0010,0.0034,0.467,4,0,0.003022
6.602,2.0123,-0.0006,0.0049,0.517,4,0,0.002991
6.702,2.0131,-0.0000,0.0033,0.619,4,0,0.002966
6.802,2.0129,-0.0001,0.0032,0.826,4,0,0.002945
6.902,2.0142,0.0003,0.0032,0.709,4,0,0.002928
7.001,2.0138,0.0024,0.0028,0.481,4,0,0.002915
7.103,2.0109,0.0007,0.0037,0.950,4,0,0.002904
7.203,2.0099,0.0000,0.0042,0.779,4,0,0.002895
7.302,2.0075,0.0012,0.0045,0.609,4,0,0.002887
7.401,2.0100,0.0008,0.0056,0.521,4,0,0.002881
7.504,2.0105,0.0013,0.0054,0.766,4,0,0.002876
7.601,2.0100,-0.0002,0.0038,0.560,4,0,0.002872
7.702,2.0101,0.0001,0.0032,0.877,4,0,0.002869
