t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
4.806,4.0148,0.0076,-0.0193,3.675,4,0,0.029703
4.901,3.9945,0.0273,-0.0099,0.468,4,0,0.015001
5.001,4.0007,0.0256,-0.0073,0.427,4,0,0.010133
5.101,4.0086,0.0241,-0.0073,0.571,4,0,0.007741
5.203,4.0084,0.0226,-0.0050,0.619,4,0,0.006341
5.303,4.0110,0.0178,-0.0071,0.611,4,0,0.005437
5.402,4.0069,0.0172,-0.0144,0.702,4,0,0.004816
5.505,4.0039,0.0170,-0.0129,0.658,4,0,0.004371
5.604,4.0027,0.0142,-0.0135,1.002,4,0,0.004042
5.701,4.0013,0.0145,-0.0123,0.403,4,0,0.003793
5.801,3.9997,0.0156,-0.0124,0.571,4,0,0.003601
5.901,4.0019,0.0153,-0.0103,0.609,4,0,0.003452
6.002,4.0012,0.0144,-0.0065,0.636,4,0,0.003335
6.102,4.0017,0.0155,-0.0065,0.544,4,0,0.003242
6.201,4.0030,0.0171,-0.0087,0.506,4,0,0.003168
6.303,4.0017,0.0192,-0.0077,1.041,4,0,0.003109
6.404,3.9997,0.0191,-0.0071,0.819,4,0,0.003061
6.502,3.9979,0.0162,-0.0084,0.464,4,0,0.003022
6.604,3.9988,0.0155,-0.0065,0.587,4,0,0.002991
6.701,3.9986,0.0152,-0.0073,0.525,4,0,0.002966
6.803,4.0019,0.0137,-0.0059,0.652,4,0,0.002945
6.902,4.0043,0.0140,-0.0066,0.484,4,0,0.002928
7.002,4.0019,0.0133,-0.0062,0.527,4,0,0.002915
7.102,4.0008,0.0145,-0.0050,0.680,4,0,0.002904
7.206,4.0011,0.0126,-0.0046,0.596,4,0,0.002895
7.305,3.9997,0.0116,-0.0050,1.080,4,0,0.002887
7.404,3.9984,0.0120,-0.0070,0.623,4,0,0.002881
7.502,4.0002,0.0111,-0.0070,1.053,4,0,0.002876
7.602,4.0011,0.0086,-0.0085,0.687,4,0,0.002872
7.703,4.0004,0.0064,-0.0090,0.730,4,0,0.002869
7.802,3.9984,0.0050,-0.0094,0.609,4,0,0.002866
7.902,3.9984,0.0043,-0.0073,0.565,4,0,0.002864
8.001,3.9989,0.0029,-0.0087,0.435,4,0,0.002862
8.102,3.9969,0.0036,-0.0085,0.631,4,0,0.002860
8.201,3.9984,0.0009,-0.0094,0.614,4,0,0.002859
8.303,3.9982,0.0000,-0.0075,1.490,4,0,0.002858
8.403,3.9982,0.0017,-0.0079,0.848,4,0,0.002857
8.502,4.0011,0.0026,-0.0084,0.826,4,0,0.002857
8.602,4.0018,0.0024,-0.0088,1.116,4,0,0.002856
8.703,3.9985,0.0032,-0.0091,0.926,4,0,0.002856
8.801,3.9978,0.0019,-0.0099,0.503,4,0,0.002855
8.907,4.0008,0.0014,-0.0092,0.873,4,0,0.002855
9.002,4.0017,0.0028,-0.0104,0.565,4,0,0.002855
9.103,4.0026,0.0057,-0.0099,1.325,4,0,0.002855
11.592,4.0041,0.0046,-0.0079,0.494,4,0,0.002854
11.696,4.0030,0.0049,-0.0081,1.306,4,0,0.002854
11.791,4.0021,0.0052,-0.0092,0.569,4,0,0.002854
11.896,4.0027,0.0053,-0.0088,3.430,4,0,0.002854
11.991,4.0017,0.0056,-0.0096,0.509,4,0,0.002854
12.093,4.0016,0.0052,-0.0106,0.466,4,0,0.002854
12.192,4.0009,0.0058,-0.0110,0.769,4,0,0.002854
12.291,3.9956,0.0070,-0.0108,0.698,4,0,0.002854
12.392,3.9972,0.0064,-0.0103,0.797,4,0,0.002854
12.491,4.0001,0.0078,-0.0116,0.717,4,0,0.002854
12.591,4.0008,0.0064,-0.0123,0.588,4,0,0.002854
12.691,4.0014,0.0055,-0.0116,0.655,4,0,0.002854
12.791,4.0031,0.0041,-0.0127,0.443,4,0,0.002854
12.891,4.0079,0.0032,-0.0134,0.475,4,0,0.002854
12.992,4.0106,0.0022,-0.0125,0.587,4,0,0.002854
13.094,4.0130,0.0011,-0.0127,1.759,4,0,0.002854
13.191,4.0094,0.0037,-0.0110,0.689,4,0,0.002854
13.291,4.0128,0.0015,-0.0098,0.471,4,0,0.002854
13.395,4.0094,0.0023,-0.0104,0.875,4,0,0.002854
13.492,4.0076,0.0038,-0.0110,0.697,4,0,0.002854
13.591,4.0086,0.0068,-0.0107,0.617,4,0,0.002854
13.692,4.0097,0.0059,-0.0120,1.748,4,0,0.002854
13.791,4.0072,0.0053,-0.0101,0.427,4,0,0.002854
13.891,4.0056,0.0045,-0.0098,0.633,4,0,0.002854
13.993,4.0050,0.0056,-0.0093,0.662,4,0,0.002854
14.097,4.0058,0.0052,-0.0099,0.574,4,0,0.002854
14.191,4.0083,0.0039,-0.0070,0.556,4,0,0.002854
14.291,4.0070,0.0039,-0.0073,0.616,4,0,0.002854
14.392,4.0052,0.0049,-0.0066,1.029,4,0,0.002854
14.492,4.0077,0.0038,-0.0071,0.877,4,0,0.002854
14.591,4.0093,0.0048,-0.0064,0.427,4,0,0.002854
14.691,4.0112,0.0033,-0.0059,0.503,4,0,0.002854
14.792,4.0069,0.0038,-0.0055,0.809,4,0,0.002854
14.900,4.0079,0.0037,-0.0069,1.012,4,0,0.002854
14.998,4.0085,0.0040,-0.0089,0.601,4,0,0.002854
15.092,4.0049,0.0052,-0.0102,0.748,4,0,0.002854
15.192,4.0010,0.0074,-0.0131,0.497,4,0,0.002854
15.291,4.0008,0.0079,-0.0128,0.490,4,0,0.002854
15.393,4.0052,0.0060,-0.0105,2.158,4,0,0.002854
15.492,4.0056,0.0066,-0.0091,0.768,4,0,0.002854
15.591,4.0095,0.0046,-0.0080,0.543,4,0,0.002854
15.700,4.0115,0.0039,-0.0062,0.735,4,0,0.002854
15.793,4.0099,0.0074,-0.0073,0.961,4,0,0.002854
15.894,4.0075,0.0108,-0.0082,0.701,4,0,0.002854
15.993,4.0053,0.0106,-0.0085,0.632,4,0,0.002854
16.091,4.0072,0.0089,-0.0079,0.666,4,0,0.002854
16.191,4.0075,0.0078,-0.0094,0.528,4,0,0.002854
16.303,4.0081,0.0070,-0.0097,0.653,4,0,0.002854
16.392,4.0076,0.0073,-0.0101,0.703,4,0,0.002854
16.493,4.0113,0.0097,-0.0097,0.634,4,0,0.002854
16.591,4.0097,0.0077,-0.0084,0.457,4,0,0.002854
16.694,4.0086,0.0090,-0.0093,1.008,4,0,0.002854
16.791,4.0063,0.0095,-0.0085,0.388,4,0,0.002854
16.892,4.0067,0.0073,-0.0090,0.723,4,0,0.002854
16.992,4.0086,0.0060,-0.0121,0.763,4,0,0.002854
17.092,4.0108,0.0057,-0.0111,0.730,4,0,0.002854
17.192,4.0096,0.0040,-0.0108,0.729,4,0,0.002854
17.291,4.0117,0.0044,-0.0099,0.570,4,0,0.002854
17.393,4.0087,0.0050,-0.0093,1.112,4,0,0.002854
17.491,4.0087,0.0030,-0.0104,0.597,4,0,0.002854
17.591,4.0090,0.0047,-0.0105,0.503,4,0,0.002854
17.691,4.0131,0.0026,-0.0102,0.529,4,0,0.002854
17.791,4.0105,0.0028,-0.0114,0.677,4,0,0.002854
17.891,4.0102,0.0055,-0.0123,0.593,4,0,0.002854
17.991,4.0072,0.0078,-0.0118,0.550,4,0,0.002854
18.092,4.0075,0.0076,-0.0129,0.640,4,0,0.002854
18.192,4.0085,0.0086,-0.0129,0.640,4,0,0.002854
18.292,4.0092,0.0068,-0.0141,0.476,4,0,0.002854
18.392,4.0093,0.0073,-0.0134,0.676,4,0,0.002854
18.491,4.0097,0.0060,-0.0140,0.514,4,0,0.002854
18.591,4.0119,0.0044,-0.0146,0.554,4,0,0.002854
18.692,4.0097,0.0038,-0.0140,0.767,4,0,0.002854
18.791,4.0095,0.0057,-0.0140,0.581,4,0,0.002854
18.891,4.0127,0.0034,-0.0129,0.784,4,0,0.002854
18.991,4.0145,0.0027,-0.0125,0.553,4,0,0.002854
19.092,4.0153,0.0048,-0.0128,0.913,4,0,0.002854
19.200,4.0121,0.0046,-0.0137,4.261,4,0,0.002854
19.297,4.0117,0.0056,-0.0120,0.572,4,0,0.002854
19.393,4.0099,0.0053,-0.0107,1.201,4,0,0.002854
19.496,4.0107,0.0031,-0.0076,0.436,4,0,0.002854
19.592,4.0098,0.0055,-0.0061,0.615,4,0,0.002854
19.691,4.0089,0.0057,-0.0062,0.590,4,0,0.002854
19.791,4.0078,0.0048,-0.0054,0.530,4,0,0.002854
19.892,4.0078,0.0044,-0.0065,0.903,4,0,0.002854
19.991,4.0107,0.0052,-0.0048,0.483,4,0,0.002854
20.091,4.0131,0.0074,-0.0029,0.560,4,0,0.002854
20.191,4.0107,0.0079,-0.0021,0.512,4,0,0.002854
20.291,4.0095,0.0053,-0.0015,0.424,4,0,0.002854
20.391,4.0087,0.0061,-0.0008,0.482,4,0,0.002854
20.493,4.0097,0.0035,-0.0007,1.119,4,0,0.002854
20.592,4.0107,0.0026,0.0004,0.620,4,0,0.002854
20.691,4.0127,0.0021,0.0020,0.632,4,0,0.002854
20.792,4.0106,-0.0004,0.0008,0.742,4,0,0.002854
20.891,4.0090,0.0024,-0.0007,0.516,4,0,0.002854
20.991,4.0091,0.0040,-0.0027,0.507,4,0,0.002854
21.091,4.0098,0.0046,-0.0054,0.766,4,0,0.002854
21.193,4.0127,0.0051,-0.0051,1.777,4,0,0.002854
21.293,4.0127,0.0034,-0.0062,1.772,4,0,0.002854
21.440,4.0138,0.0024,-0.0082,0.566,4,0,0.002854
21.495,4.0090,0.0014,-0.0084,0.724,4,0,0.002854
21.593,4.0069,0.0006,-0.0108,0.595,4,0,0.002854
21.691,4.0096,-0.0003,-0.0099,0.516,4,0,0.002854
21.791,4.0127,0.0003,-0.0076,0.408,4,0,0.002854
