t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
3.606,1.9949,1.9847,-0.0025,4.698,4,0,0.029703
3.702,1.9995,1.9869,-0.0014,0.535,4,0,0.015001
3.801,2.0030,1.9971,0.0017,0.392,4,0,0.010133
3.901,1.9974,2.0021,-0.0025,0.329,4,0,0.007741
4.001,2.0010,2.0006,-0.0040,0.424,4,0,0.006341
4.101,2.0000,1.9990,-0.0034,0.336,4,0,0.005437
4.202,2.0054,2.0024,-0.0025,0.585,4,0,0.004816
4.302,2.0085,1.9993,-0.0005,0.520,4,0,0.004371
4.401,2.0089,2.0021,0.0053,0.444,4,0,0.004042
4.501,2.0077,2.0049,0.0036,0.553,4,0,0.003793
4.601,2.0109,2.0034,0.0020,0.408,4,0,0.003601
4.702,2.0075,2.0062,0.0018,0.570,4,0,0.003452
4.801,2.0056,2.0073,0.0045,0.384,4,0,0.003335
4.902,2.0062,2.0064,0.0039,0.533,4,0,0.003242
5.001,2.0082,2.0052,0.0049,0.560,4,0,0.003168
5.101,2.0082,2.0069,0.0061,0.324,4,0,0.003109
5.201,2.0089,2.0052,0.0059,0.480,4,0,0.003061
5.302,2.0089,2.0043,0.0072,1.072,4,0,0.003022
5.401,2.0105,2.0021,0.0058,0.522,4,0,0.002991
5.501,2.0116,2.0032,0.0067,0.481,4,0,0.002966
5.604,2.0111,2.0030,0.0077,2.351,4,0,0.002945
5.701,2.0137,2.0025,0.0072,0.378,4,0,0.002928
5.801,2.0115,2.0008,0.0070,0.522,4,0,0.002915
5.902,2.0144,2.0010,0.0084,0.613,4,0,0.002904
6.001,2.0132,1.9997,0.0081,0.546,4,0,0.002895
6.102,2.0122,1.9999,0.0083,0.333,4,0,0.002887
6.201,2.0128,2.0005,0.0088,0.589,4,0,0.002881
6.302,2.0127,1.9991,0.0060,0.732,4,0,0.002876
6.401,2.0137,1.9975,0.0068,0.471,4,0,0.002872
6.501,2.0157,1.9958,0.0066,0.418,4,0,0.002869
6.601,2.0120,1.9941,0.0077,0.534,4,0,0.002866
6.702,2.0106,1.9909,0.0056,0.763,4,0,0.002864
6.802,2.0137,1.9906,0.0067,0.613,4,0,0.002862
6.901,2.0146,1.9899,0.0063,0.510,4,0,0.002860
7.003,2.0138,1.9920,0.0051,0.593,4,0,0.002859
7.102,2.0139,1.9901,0.0046,0.443,4,0,0.002858
7.201,2.0137,1.9892,0.0047,0.444,4,0,0.002857
7.301,2.0128,1.9917,0.0048,0.533,4,0,0.002857
7.401,2.0110,1.9944,0.0065,0.607,4,0,0.002856
7.502,2.0105,1.9969,0.0064,0.583,4,0,0.002856
7.601,2.0109,1.9985,0.0051,0.495,4,0,0.002855
7.701,2.0096,1.9991,0.0039,0.384,4,0,0.002855
