t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
5.711,2.0077,1.9995,0.0171,3.918,4,0,0.029703
5.808,2.0080,1.9980,0.0022,0.474,4,0,0.015001
5.907,1.9983,1.9953,-0.0015,0.470,4,0,0.010133
6.009,1.9914,1.9950,0.0020,0.983,4,0,0.007741
6.119,1.9978,1.9983,-0.0012,0.597,4,0,0.006341
6.208,2.0044,2.0023,-0.0051,0.487,4,0,0.005437
6.312,2.0057,2.0018,-0.0030,0.626,4,0,0.004816
6.410,2.0049,2.0032,-0.0021,0.687,4,0,0.004371
6.512,2.0048,2.0071,-0.0014,0.741,4,0,0.004042
6.607,2.0046,2.0137,-0.0001,0.480,4,0,0.003793
6.708,2.0031,2.0100,-0.0030,0.889,4,0,0.003601
6.813,2.0037,2.0114,-0.0020,0.622,4,0,0.003452
6.909,2.0059,2.0120,-0.0002,0.455,4,0,0.003335
7.008,2.0041,2.0124,0.0015,0.702,4,0,0.003242
7.109,2.0022,2.0113,0.0030,0.758,4,0,0.003168
7.207,2.0061,2.0115,0.0011,0.463,4,0,0.003109
7.308,2.0051,2.0072,0.0010,0.517,4,0,0.003061
7.407,2.0040,2.0079,0.0003,0.640,4,0,0.003022
7.509,2.0037,2.0084,0.0003,1.668,4,0,0.002991
7.608,2.0032,2.0082,0.0002,0.636,4,0,0.002966
7.707,2.0023,2.0061,0.0005,0.606,4,0,0.002945
7.809,2.0025,2.0022,-0.0002,0.532,4,0,0.002928
7.908,2.0030,2.0005,-0.0007,0.934,4,0,0.002915
8.007,2.0045,2.0027,-0.0020,0.571,4,0,0.002904
8.107,2.0048,2.0062,-0.0020,0.511,4,0,0.002895
8.207,2.0043,2.0088,-0.0019,0.548,4,0,0.002887
8.307,2.0042,2.0113,-0.0019,0.353,4,0,0.002881
8.408,2.0024,2.0098,-0.0019,0.645,4,0,0.002876
8.510,2.0028,2.0081,-0.0010,0.439,4,0,0.002872
8.608,2.0016,2.0080,-0.0016,0.664,4,0,0.002869
8.708,2.0038,2.0107,-0.0025,0.470,4,0,0.002866
8.807,2.0028,2.0088,-0.0029,0.503,4,0,0.002864
8.908,2.0039,2.0068,-0.0012,0.472,4,0,0.002862
9.007,2.0024,2.0082,-0.0020,0.455,4,0,0.002860
9.107,2.0029,2.0105,-0.0026,0.468,4,0,0.002859
9.207,2.0054,2.0067,-0.0032,0.466,4,0,0.002858
9.308,2.0067,2.0051,-0.0016,0.781,4,0,0.002857
9.411,2.0074,2.0050,-0.0019,3.678,4,0,0.002857
9.507,2.0069,2.0054,-0.0018,0.476,4,0,0.002856
9.607,2.0063,2.0030,-0.0048,0.484,4,0,0.002856
9.707,2.0010,2.0029,-0.0044,0.501,4,0,0.002855
9.807,2.0019,2.0037,-0.0042,0.476,4,0,0.002855
9.907,2.0005,2.0043,-0.0046,0.404,4,0,0.002855
10.008,1.9984,2.0028,-0.0061,0.511,4,0,0.002855
10.107,1.9972,2.0035,-0.0062,0.588,4,0,0.002854
10.210,1.9976,2.0036,-0.0055,0.574,4,0,0.002854
10.307,1.9960,2.0031,-0.0057,0.484,4,0,0.002854
10.408,1.9934,2.0040,-0.0068,0.823,4,0,0.002854
10.507,1.9951,2.0044,-0.0077,0.404,4,0,0.002854
10.609,1.9942,2.0028,-0.0068,1.430,4,0,0.002854
10.709,1.9961,2.0014,-0.0070,0.588,4,0,0.002854
10.808,1.9980,2.0021,-0.0068,0.613,4,0,0.002854
10.912,1.9972,2.0022,-0.0065,0.673,4,0,0.002854
11.015,1.9980,2.0036,-0.0065,2.340,4,0,0.002854
11.107,1.9987,2.0035,-0.0070,0.548,4,0,0.002854
11.207,1.9977,2.0047,-0.0077,0.537,4,0,0.002854
11.307,1.9962,2.0018,-0.0071,0.487,4,0,0.002854
11.407,1.9948,1.9996,-0.0090,0.459,4,0,0.002854
11.509,1.9941,2.0051,-0.0086,0.655,4,0,0.002854
11.610,1.9947,2.0044,-0.0073,0.947,4,0,0.002854
