t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
4.403,2.0097,1.9817,-0.0113,1.755,4,0,0.029703
4.501,2.0110,1.9841,0.0008,0.501,4,0,0.015001
4.602,2.0044,1.9780,0.0006,0.696,4,0,0.010133
4.701,2.0066,1.9837,0.0068,0.412,4,0,0.007741
4.801,2.0124,1.9880,0.0023,0.390,4,0,0.006341
4.901,2.0177,1.9852,0.0030,0.299,4,0,0.005437
5.002,2.0192,1.9844,0.0015,0.657,4,0,0.004816
5.102,2.0165,1.9828,0.0040,0.617,4,0,0.004371
5.201,2.0147,1.9811,0.0036,0.327,4,0,0.004042
5.301,2.0117,1.9845,0.0055,0.470,4,0,0.003793
5.402,2.0109,1.9821,0.0038,0.503,4,0,0.003601
5.501,2.0088,1.9829,0.0044,0.516,4,0,0.003452
5.603,2.0076,1.9804,0.0049,0.678,4,0,0.003335
5.702,2.0087,1.9845,0.0046,0.554,4,0,0.003242
5.801,2.0094,1.9842,0.0068,0.688,4,0,0.003168
5.902,2.0106,1.9847,0.0068,0.742,4,0,0.003109
6.002,2.0124,1.9849,0.0078,0.508,4,0,0.003061
6.104,2.0115,1.9845,0.0064,0.466,4,0,0.003022
6.201,2.0102,1.9817,0.0062,0.410,4,0,0.002991
6.301,2.0095,1.9822,0.0056,0.446,4,0,0.002966
6.403,2.0070,1.9809,0.0048,0.928,4,0,0.002945
6.502,2.0073,1.9852,0.0052,0.703,4,0,0.002928
6.602,2.0056,1.9854,0.0041,0.577,4,0,0.002915
6.701,2.0030,1.9873,0.0031,0.466,4,0,0.002904
6.802,2.0029,1.9879,0.0042,0.554,4,0,0.002895
6.901,2.0040,1.9880,0.0028,0.512,4,0,0.002887
7.002,2.0032,1.9881,0.0020,0.776,4,0,0.002881
7.101,2.0027,1.9878,0.0025,0.629,4,0,0.002876
7.202,2.0069,1.9865,0.0029,0.715,4,0,0.002872
7.301,2.0065,1.9855,0.0023,0.448,4,0,0.002869
7.401,2.0078,1.9883,0.0017,0.464,4,0,0.002866
7.506,2.0079,1.9886,0.0022,2.034,4,0,0.002864
7.602,2.0055,1.9882,0.0036,0.829,4,0,0.002862
7.701,2.0058,1.9899,0.0044,0.548,4,0,0.002860
7.805,2.0035,1.9919,0.0039,1.196,4,0,0.002859
7.902,2.0043,1.9902,0.0048,0.798,4,0,0.002858
8.002,2.0028,1.9948,0.0049,1.100,4,0,0.002857
8.101,2.0035,1.9943,0.0060,0.473,4,0,0.002857
8.202,2.0025,1.9924,0.0061,0.742,4,0,0.002856
8.302,2.0039,1.9917,0.0065,0.334,4,0,0.002856
8.401,2.0026,1.9946,0.0053,0.417,4,0,0.002855
8.501,2.0064,1.9935,0.0045,0.688,4,0,0.002855
8.602,2.0070,1.9906,0.0054,0.376,4,0,0.002855
8.701,2.0070,1.9944,0.0055,0.396,4,0,0.002855
8.801,2.0068,1.9965,0.0049,0.581,4,0,0.002854
8.902,2.0090,1.9982,0.0057,0.495,4,0,0.002854
9.001,2.0075,1.9927,0.0058,0.444,4,0,0.002854
9.101,2.0093,1.9924,0.0045,0.602,4,0,0.002854
9.202,2.0125,1.9921,0.0040,0.699,4,0,0.002854
9.301,2.0097,1.9926,0.0053,0.392,4,0,0.002854
9.403,2.0093,1.9911,0.0042,1.878,4,0,0.002854
9.501,2.0058,1.9917,0.0046,0.478,4,0,0.002854
9.602,2.0069,1.9922,0.0055,0.587,4,0,0.002854
9.702,2.0067,1.9943,0.0045,0.756,4,0,0.002854
9.801,2.0057,1.9943,0.0040,0.408,4,0,0.002854
9.902,2.0065,1.9931,0.0041,0.656,4,0,0.002854
10.001,2.0023,1.9928,0.0034,0.489,4,0,0.002854
10.101,2.0010,1.9924,0.0024,0.393,4,0,0.002854
10.201,2.0003,1.9931,0.0020,0.412,4,0,0.002854
10.301,2.0006,1.9943,0.0014,0.469,4,0,0.002854
10.401,1.9974,1.9947,0.0007,0.415,4,0,0.002854
10.501,2.0002,1.9963,-0.0006,0.302,4,0,0.002854
10.604,1.9985,1.9966,-0.0016,2.090,4,0,0.002854
10.702,2.0013,1.9935,-0.0007,0.350,4,0,0.002854
10.802,2.0010,1.9925,-0.0023,0.638,4,0,0.002854
10.901,2.0014,1.9926,-0.0001,0.433,4,0,0.002854
11.002,2.0029,1.9894,0.0009,0.592,4,0,0.002854
11.101,2.0017,1.9888,0.0017,0.401,4,0,0.002854
11.201,2.0015,1.9941,0.0024,0.334,4,0,0.002854
11.301,2.0016,1.9918,0.0023,0.519,4,0,0.002854
11.402,1.9990,1.9902,0.0002,0.597,4,0,0.002854
11.501,1.9990,1.9900,-0.0001,0.604,4,0,0.002854
11.602,1.9973,1.9901,-0.0009,0.624,4,0,0.002854
11.701,1.9962,1.9928,-0.0007,0.377,4,0,0.002854
11.802,1.9988,1.9934,-0.0009,1.185,4,0,0.002854
11.901,2.0007,1.9966,-0.0015,0.486,4,0,0.002854
12.002,2.0015,1.9976,-0.0018,0.595,4,0,0.002854
12.102,2.0003,1.9975,-0.0020,0.626,4,0,0.002854
12.201,1.9974,1.9968,-0.0011,0.374,4,0,0.002854
12.301,1.9991,1.9967,-0.0015,0.516,4,0,0.002854
12.402,2.0028,1.9953,-0.0022,0.548,4,0,0.002854
12.501,2.0036,1.9969,-0.0014,0.444,4,0,0.002854
12.602,2.0008,1.9956,-0.0008,0.706,4,0,0.002854
12.702,2.0020,1.9955,-0.0012,0.695,4,0,0.002854
12.802,2.0013,1.9961,-0.0010,0.587,4,0,0.002854
12.901,1.9991,1.9936,-0.0016,0.493,4,0,0.002854
13.002,1.9987,1.9938,-0.0014,0.470,4,0,0.002854
13.101,2.0026,1.9957,-0.0027,0.575,4,0,0.002854
