t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
3.515,4.0143,2.0031,-0.0259,9.410,4,0,0.029703
3.602,4.0101,2.0073,-0.0129,0.762,4,0,0.015001
3.701,4.0104,2.0119,-0.0028,0.466,4,0,0.010133
3.804,4.0018,2.0039,-0.0024,0.632,4,0,0.007741
3.901,4.0044,2.0026,-0.0053,0.804,4,0,0.006341
4.001,4.0046,2.0065,-0.0047,0.572,4,0,0.005437
4.101,4.0055,2.0078,-0.0047,0.426,4,0,0.004816
4.202,3.9991,2.0042,-0.0048,0.966,4,0,0.004371
4.307,3.9923,1.9988,-0.0057,3.337,4,0,0.004042
4.402,3.9870,1.9944,-0.0064,0.581,4,0,0.003793
4.506,3.9828,1.9909,-0.0068,3.579,4,0,0.003601
4.604,3.9829,1.9911,-0.0070,0.709,4,0,0.003452
4.703,3.9877,1.9946,-0.0033,0.860,4,0,0.003335
4.803,3.9908,1.9958,-0.0014,1.092,4,0,0.003242
4.903,3.9921,1.9975,-0.0022,0.455,4,0,0.003168
5.001,3.9923,1.9975,-0.0019,0.395,4,0,0.003109
5.102,3.9937,2.0003,-0.0039,0.535,4,0,0.003061
5.203,3.9953,1.9987,-0.0046,0.549,4,0,0.003022
5.302,3.9982,1.9997,-0.0043,0.722,4,0,0.002991
5.402,3.9977,1.9984,-0.0033,0.805,4,0,0.002966
5.502,3.9991,2.0005,-0.0012,0.689,4,0,0.002945
5.601,3.9997,2.0015,-0.0001,0.578,4,0,0.002928
5.710,4.0000,2.0032,-0.0004,4.593,4,0,0.002915
5.801,3.9992,2.0025,-0.0019,0.326,4,0,0.002904
5.902,3.9990,2.0026,-0.0011,0.717,4,0,0.002895
6.003,4.0002,2.0028,-0.0016,0.456,4,0,0.002887
6.102,4.0018,2.0035,-0.0004,0.577,4,0,0.002881
6.203,3.9974,2.0009,0.0011,0.722,4,0,0.002876
6.302,3.9973,2.0009,0.0003,0.586,4,0,0.002872
6.401,3.9936,1.9994,-0.0019,0.447,4,0,0.002869
6.501,3.9925,1.9982,0.0004,0.552,4,0,0.002866
6.603,3.9948,2.0008,0.0000,0.535,4,0,0.002864
6.701,3.9929,2.0007,-0.0013,0.675,4,0,0.002862
6.802,3.9895,1.9991,-0.0025,0.606,4,0,0.002860
6.910,3.9903,1.9988,-0.0015,2.363,4,0,0.002859
7.002,3.9942,2.0015,-0.0020,0.702,4,0,0.002858
7.101,3.9950,2.0040,-0.0036,0.432,4,0,0.002857
7.202,3.9971,2.0052,-0.0020,0.612,4,0,0.002857
