t_sec,x,y,z,solve_ms
12.5743,0.000000,0.000000,0.000000,0.000
12.6749,0.000000,0.000000,0.000000,0.000
12.7753,0.000000,0.000000,0.000000,0.000
12.8754,0.000000,0.000000,0.000000,0.000
12.9744,0.000000,0.000000,0.000000,0.000
13.0746,0.000000,0.000000,0.000000,0.000
13.1748,0.000000,0.000000,0.000000,0.000
13.2778,0.000000,0.000000,0.000000,0.000
13.3748,0.000000,0.000000,0.000000,0.000
13.4756,0.000000,0.000000,0.000000,0.000
13.5746,0.000000,0.000000,0.000000,0.000
13.6744,0.000000,0.000000,0.000000,0.000
13.7744,0.000000,0.000000,0.000000,0.000
13.8764,0.000000,0.000000,0.000000,0.000
13.9749,0.000000,0.000000,0.000000,0.000
14.0746,0.000000,0.000000,0.000000,0.000
14.1745,0.000000,0.000000,0.000000,0.000
14.2749,0.000000,0.000000,0.000000,0.000
14.3772,0.000000,0.000000,0.000000,0.000
14.4749,0.000000,0.000000,0.000000,0.000
14.5748,0.000000,0.000000,0.000000,0.000
14.6746,0.000000,0.000000,0.000000,0.000
14.7784,0.000000,0.000000,0.000000,0.000
14.8754,0.000000,0.000000,0.000000,0.000
14.9746,0.000000,0.000000,0.000000,0.000
15.0755,0.000000,0.000000,0.000000,0.000
15.1745,0.000000,0.000000,0.000000,0.000
15.2746,0.000000,0.000000,0.000000,0.000
15.3755,0.000000,0.000000,0.000000,0.000
15.4748,0.000000,0.000000,0.000000,0.000
15.5761,0.000000,0.000000,0.000000,0.000
15.6752,0.000000,0.000000,0.000000,0.000
15.7748,0.000000,0.000000,0.000000,0.000
15.8759,0.000000,0.000000,0.000000,0.000
15.9747,0.000000,0.000000,0.000000,0.000
16.0742,0.000000,0.000000,0.000000,0.000
16.1757,0.000000,0.000000,0.000000,0.000
16.2793,0.000000,0.000000,0.000000,0.000
16.3755,0.000000,0.000000,0.000000,0.000
16.4745,0.000000,0.000000,0.000000,0.000
16.5744,0.000000,0.000000,0.000000,0.000
16.6749,0.000000,0.000000,0.000000,0.000
16.7747,0.000000,0.000000,0.000000,0.000
16.8742,0.000000,0.000000,0.000000,0.000
16.9745,0.000000,0.000000,0.000000,0.000
17.0744,0.000000,0.000000,0.000000,0.000
17.1749,0.000000,0.000000,0.000000,0.000
17.2747,0.000000,0.000000,0.000000,0.000
17.3763,0.000000,0.000000,0.000000,0.000
17.4750,0.000000,0.000000,0.000000,0.000
17.5780,0.000000,0.000000,0.000000,0.000
17.6747,0.000000,0.000000,0.000000,0.000
17.7745,0.000000,0.000000,0.000000,0.000
17.8757,0.000000,0.000000,0.000000,0.000
