t_sec,x,y,z,solve_ms
0.1241,0.000000,0.000000,0.000000,0.000
0.2068,-0.030476,-0.015252,-0.031688,0.000
0.3058,-0.008245,-0.007795,0.015538,0.000
0.4044,0.008846,-0.013702,0.001357,0.000
0.5035,0.019029,-0.010295,-0.006639,0.000
0.6061,-0.024223,-0.030313,-0.017325,0.000
0.7041,-0.040470,-0.033628,-0.008980,0.000
0.8052,-0.003935,-0.031795,-0.024762,0.000
0.9052,-0.015565,-0.049720,-0.036205,0.000
1.0045,-0.007616,-0.050251,-0.033773,0.000
1.1039,0.001199,-0.058956,-0.027733,0.000
1.2035,-0.012991,-0.063184,-0.038497,0.000
1.3055,-0.025817,-0.065601,-0.021054,0.000
1.4042,-0.043443,-0.085134,-0.020961,0.000
1.5044,-0.033682,-0.098187,-0.023863,0.000
1.6048,-0.021171,-0.087498,-0.013404,0.000
1.7047,-0.054615,-0.090547,-0.026340,0.000
1.8049,-0.067705,-0.090678,-0.045597,0.000
1.9039,-0.028943,-0.076426,-0.045060,0.000
2.0042,-0.056032,-0.086860,-0.020180,0.000
2.1041,-0.056044,-0.086217,-0.057890,0.000
2.2083,-0.025570,-0.072549,-0.054069,0.000
2.3043,-0.015891,-0.066977,-0.052867,0.000
2.4043,-0.017636,-0.062733,-0.053825,0.000
2.5038,-0.053611,-0.079150,-0.068342,0.000
2.6036,-0.022031,-0.069200,-0.077119,0.000
2.7043,-0.029600,-0.060350,-0.091003,0.000
2.8058,-0.020122,-0.055399,-0.069708,0.000
2.9038,0.002753,-0.056003,-0.097202,0.000
3.0043,-0.006696,-0.065184,-0.104213,0.000
3.1057,0.016276,-0.052340,-0.109403,0.000
3.2057,0.023720,-0.036319,-0.093346,0.000
3.3080,0.015833,-0.044868,-0.111273,0.000
3.4041,0.031825,-0.050085,-0.113657,0.000
3.5034,0.052944,-0.033374,-0.109970,0.000
3.6064,0.039159,-0.029746,-0.112876,0.000
3.7048,0.040393,-0.028894,-0.088762,0.000
3.8062,0.015343,-0.020093,-0.095149,0.000
3.9037,0.007344,-0.014031,-0.098856,0.000
4.0045,0.021086,-0.024520,-0.099075,0.000
4.1039,0.012654,-0.035876,-0.103077,0.000
4.2043,0.009697,-0.035763,-0.114792,0.000
4.3035,-0.000005,-0.040342,-0.086453,0.000
4.4044,-0.005786,-0.034190,-0.085531,0.000
