t_sec,x,y,z,solve_ms
2.5336,2.000000,0.000000,0.000000,0.000
2.6334,2.000000,0.000000,0.000000,0.000
2.7299,2.000000,0.000000,0.000000,0.000
2.8306,2.000000,0.000000,0.000000,0.000
2.9296,2.000000,0.000000,0.000000,0.000
3.0321,2.000000,0.000000,0.000000,0.000
3.1304,2.000000,0.000000,0.000000,0.000
3.2293,2.000000,0.000000,0.000000,0.000
3.3292,2.000000,0.000000,0.000000,0.000
3.4305,2.000000,0.000000,0.000000,0.000
3.5307,2.000000,0.000000,0.000000,0.000
3.6324,2.000000,0.000000,0.000000,0.000
3.7299,2.000000,0.000000,0.000000,0.000
3.8321,2.000000,0.000000,0.000000,0.000
3.9308,2.000000,0.000000,0.000000,0.000
4.0311,2.000000,0.000000,0.000000,0.000
4.1290,2.000000,0.000000,0.000000,0.000
4.2305,2.000000,0.000000,0.000000,0.000
4.3318,2.000000,0.000000,0.000000,0.000
4.4302,1.964153,-0.020276,-0.000900,0.000
4.5324,2.026619,-0.018241,0.013687,0.000
4.6321,2.015589,-0.007532,0.003506,0.000
4.7320,2.019033,-0.012127,0.002213,0.000
4.8295,1.999304,-0.005489,0.005507,0.000
4.9297,2.023656,0.033694,0.006298,0.000
5.0332,2.025203,0.006400,0.013474,0.000
5.1295,2.024032,0.019960,0.020622,0.000
5.2308,2.055045,0.041092,0.022352,0.000
5.3330,2.046386,0.016315,0.023904,0.000
5.4292,2.028527,0.034063,0.023268,0.000
5.5308,2.029670,0.022891,-0.001936,0.000
5.6297,2.035711,0.034597,-0.012955,0.000
5.7329,2.056256,0.006119,-0.015919,0.000
5.8319,2.061594,0.014905,-0.030532,0.000
5.9313,2.029804,-0.012929,-0.025603,0.000
6.0304,2.071827,0.024859,-0.039940,0.000
6.1302,2.072667,0.021351,-0.022206,0.000
6.2332,2.070584,0.005795,-0.018481,0.000
6.3306,2.094978,-0.006679,-0.010227,0.000
6.4305,2.095683,-0.035213,-0.009471,0.000
6.7211,2.079098,-0.018680,-0.010112,0.000
6.7216,2.075451,-0.051563,-0.002980,0.000
6.7294,2.082490,-0.044387,-0.006976,0.000
6.8297,2.060408,-0.049360,-0.006428,0.000
6.9292,2.080649,-0.047207,-0.014859,0.000
7.0305,2.069729,-0.043062,-0.009906,0.000
7.1303,2.066075,-0.049292,-0.019807,0.000
7.2306,2.080746,-0.028000,-0.003845,0.000
7.3290,2.095961,-0.018372,-0.018756,0.000
7.4296,2.044793,-0.041262,-0.026165,0.000
7.5305,2.055513,-0.059682,-0.013719,0.000
7.6307,2.050011,-0.090970,-0.012803,0.000
7.7311,2.051234,-0.103903,-0.009909,0.000
7.8311,2.057844,-0.122542,-0.017701,0.000
7.9317,2.095024,-0.134792,-0.003593,0.000
8.0287,2.058576,-0.108694,-0.005559,0.000
8.1294,2.069237,-0.085902,0.001119,0.000
8.2328,2.068758,-0.089689,-0.003576,0.000
8.5340,2.093180,-0.072867,-0.012221,0.000
8.5346,2.102600,-0.063934,-0.008744,0.000
8.5351,2.062442,-0.065290,0.003648,0.000
8.6290,2.102895,-0.035936,-0.009481,0.000
8.7314,2.078924,-0.064409,-0.001927,0.000
8.8292,2.111035,-0.063044,-0.002414,0.000
8.9313,2.126837,-0.073750,-0.003801,0.000
9.0306,2.098417,-0.080340,-0.012643,0.000
9.1296,2.132413,-0.086998,-0.015116,0.000
9.2303,2.126433,-0.071780,-0.019879,0.000
9.3302,2.120694,-0.115046,-0.030482,0.000
9.4296,2.103409,-0.102534,-0.020607,0.000
9.5296,2.125163,-0.109746,-0.027795,0.000
9.6329,2.113846,-0.130596,-0.008397,0.000
9.7292,2.115063,-0.117896,-0.024491,0.000
9.8318,2.085531,-0.134369,-0.020945,0.000
9.9311,2.079783,-0.117364,-0.032840,0.000
10.0295,2.070973,-0.144345,-0.044153,0.000
10.1317,2.071378,-0.142597,-0.034917,0.000
10.2301,2.081177,-0.148478,-0.031606,0.000
10.3319,2.076065,-0.126109,-0.045793,0.000
10.4310,2.044439,-0.158212,-0.047797,0.000
10.5293,2.046987,-0.134181,-0.044514,0.000
10.6302,2.023948,-0.159961,-0.038489,0.000
10.7313,2.056821,-0.157439,-0.041374,0.000
10.8306,2.047022,-0.178367,-0.037888,0.000
10.9311,2.104528,-0.175402,-0.037354,0.000
11.0327,2.102579,-0.162527,-0.046798,0.000
11.1338,2.073099,-0.161721,-0.050828,0.000
11.2299,2.085584,-0.178364,-0.041355,0.000
11.3314,2.074890,-0.179503,-0.034236,0.000
11.4307,2.077457,-0.181739,-0.042224,0.000
11.5327,2.077521,-0.185236,-0.038501,0.000
11.6293,2.067324,-0.187603,-0.034269,0.000
11.7323,2.094793,-0.197274,-0.045775,0.000
11.8335,2.095610,-0.163541,-0.057828,0.000
11.9305,2.080874,-0.165174,-0.044275,0.000
12.0306,2.082055,-0.189955,-0.044686,0.000
14.5649,2.067874,-0.173232,-0.072406,0.000
14.6654,2.055026,-0.184076,-0.069227,0.000
14.7659,2.045445,-0.163140,-0.071566,0.000
14.8649,2.046617,-0.192860,-0.077331,0.000
14.9648,2.053885,-0.170710,-0.067893,0.000
15.0662,2.053176,-0.172499,-0.081484,0.000
15.1645,2.051756,-0.165579,-0.089835,0.000
15.2667,2.058147,-0.172981,-0.086509,0.000
15.3651,2.079451,-0.149124,-0.069579,0.000
15.4680,2.086734,-0.144454,-0.068963,0.000
15.5656,2.065914,-0.158692,-0.073863,0.000
15.6650,2.076395,-0.146246,-0.080310,0.000
15.7658,2.090848,-0.147739,-0.072929,0.000
15.8641,2.049982,-0.171460,-0.076539,0.000
15.9643,2.083404,-0.137484,-0.083761,0.000
16.0642,2.089192,-0.126766,-0.094829,0.000
16.1647,2.090749,-0.111443,-0.098003,0.000
16.2664,2.090707,-0.102844,-0.097219,0.000
16.3638,2.073656,-0.108338,-0.104958,0.000
16.4683,2.096728,-0.126724,-0.112363,0.000
16.5647,2.103097,-0.119677,-0.114213,0.000
16.6650,2.114800,-0.131266,-0.133344,0.000
16.7651,2.109055,-0.116994,-0.137978,0.000
16.8671,2.136763,-0.121040,-0.145863,0.000
16.9650,2.142143,-0.115713,-0.148654,0.000
17.0653,2.144300,-0.108800,-0.163139,0.000
17.1674,2.136948,-0.116980,-0.173094,0.000
17.2647,2.148513,-0.111264,-0.180919,0.000
17.3647,2.142721,-0.124612,-0.194813,0.000
17.4636,2.145067,-0.138495,-0.183377,0.000
17.5647,2.143911,-0.151180,-0.189861,0.000
17.6678,2.152173,-0.142791,-0.173930,0.000
17.7659,2.141039,-0.174764,-0.184782,0.000
17.8637,2.130904,-0.200152,-0.173187,0.000
17.9650,2.158512,-0.178197,-0.181521,0.000
18.0662,2.109876,-0.189828,-0.166596,0.000
18.1644,2.138745,-0.183512,-0.178162,0.000
18.2651,2.132177,-0.157934,-0.178582,0.000
18.3647,2.085154,-0.168412,-0.171209,0.000
18.4694,2.088517,-0.170587,-0.178627,0.000
18.5638,2.094751,-0.147954,-0.189474,0.000
