t_sec,x,y,z,solve_ms
1.4130,2.000000,0.000000,0.000000,0.000
1.5149,2.000000,0.000000,0.000000,0.000
1.6140,2.000000,0.000000,0.000000,0.000
1.7136,2.000000,0.000000,0.000000,0.000
1.8124,2.000000,0.000000,0.000000,0.000
1.9120,2.000000,0.000000,0.000000,0.000
2.0118,2.000000,0.000000,0.000000,0.000
2.1124,2.000000,0.000000,0.000000,0.000
2.2120,2.000000,0.000000,0.000000,0.000
2.3127,2.000000,0.000000,0.000000,0.000
2.4108,2.000000,0.000000,0.000000,0.000
2.5129,2.000000,0.000000,0.000000,0.000
2.6110,2.000000,0.000000,0.000000,0.000
2.7116,2.000000,0.000000,0.000000,0.000
2.8110,2.000000,0.000000,0.000000,0.000
2.9111,2.000000,0.000000,0.000000,0.000
3.0113,2.000000,0.000000,0.000000,0.000
3.1134,2.000000,0.000000,0.000000,0.000
3.2117,2.000000,0.000000,0.000000,0.000
3.3141,2.000000,0.000000,0.000000,0.000
3.4109,2.000000,0.000000,0.000000,0.000
3.5156,2.000000,0.000000,0.000000,0.000
3.6144,2.000000,0.000000,0.000000,0.000
3.7141,2.000000,0.000000,0.000000,0.000
3.8128,2.000000,0.000000,0.000000,0.000
3.9120,2.000000,0.000000,0.000000,0.000
4.0115,2.000000,0.000000,0.000000,0.000
4.1110,2.000000,0.000000,0.000000,0.000
4.2125,2.000000,0.000000,0.000000,0.000
4.3141,2.000000,0.000000,0.000000,0.000
4.4143,2.000000,0.000000,0.000000,0.000
4.5124,2.000000,0.000000,0.000000,0.000
4.6120,2.014360,0.016686,-0.002726,0.000
4.7121,2.023557,0.002621,-0.011126,0.000
4.8132,2.019134,0.023124,-0.012470,0.000
4.9125,1.990928,0.004764,-0.021120,0.000
5.0114,2.023235,0.025190,-0.010852,0.000
5.1119,1.998133,-0.006274,-0.012465,0.000
5.2124,1.988595,0.003920,-0.006990,0.000
5.3115,1.970583,0.004766,-0.001121,0.000
5.4113,1.987135,0.016598,0.016717,0.000
5.5132,1.997832,0.043505,0.010981,0.000
5.6119,1.972297,0.046512,0.003831,0.000
5.7131,1.973901,0.018941,0.003475,0.000
5.8122,1.991878,-0.002309,0.007154,0.000
5.9113,1.981597,0.030882,-0.000869,0.000
6.0131,2.001718,0.062973,0.010527,0.000
6.1112,1.990009,0.046214,0.005426,0.000
6.3315,1.978740,0.028662,0.007045,0.000
6.3321,2.023578,0.061820,0.002911,0.000
6.4113,2.020702,0.081843,-0.005412,0.000
6.5123,2.023860,0.090401,-0.011864,0.000
6.6182,2.025722,0.096082,-0.003797,0.000
6.7138,2.046567,0.100719,-0.000146,0.000
6.8127,2.059325,0.116101,-0.011039,0.000
6.9123,2.021049,0.117989,-0.016022,0.000
7.0113,2.003844,0.104769,-0.016805,0.000
7.1132,2.015000,0.107456,-0.028920,0.000
7.2127,1.993901,0.112556,-0.031039,0.000
7.3143,2.009474,0.126465,-0.035986,0.000
7.4111,1.997624,0.099270,-0.022583,0.000
7.5143,1.989551,0.119192,-0.030626,0.000
7.6147,1.978598,0.098074,-0.032842,0.000
7.7134,2.001919,0.143038,-0.035056,0.000
7.8120,1.988698,0.119854,-0.030218,0.000
7.9113,1.957047,0.076446,-0.022840,0.000
8.0121,1.982620,0.061889,-0.013579,0.000
8.1124,2.012421,0.087497,-0.006750,0.000
8.2130,1.976317,0.061018,-0.020946,0.000
8.3134,2.029543,0.059109,-0.009876,0.000
8.4142,2.026874,0.031023,0.008555,0.000
8.5151,2.010380,0.015745,-0.007569,0.000
8.6135,2.006485,0.014667,-0.001289,0.000
8.7142,2.005424,0.011695,0.007423,0.000
8.8132,1.995113,-0.007637,0.012285,0.000
8.9216,1.992324,-0.023834,0.004073,0.000
9.0138,1.995572,-0.025450,0.011219,0.000
9.1142,2.009195,-0.017592,0.006881,0.000
9.2166,2.009079,-0.012404,0.002337,0.000
9.3144,2.019309,-0.002523,-0.004330,0.000
9.4128,2.021170,0.003427,0.015446,0.000
9.5136,2.027578,-0.008541,0.030274,0.000
9.6131,2.039423,0.020594,0.035025,0.000
9.7115,2.044822,0.013017,0.037130,0.000
9.8129,2.045262,0.003935,0.030525,0.000
9.9126,2.061667,-0.007166,0.046038,0.000
10.0130,2.060827,-0.014799,0.032030,0.000
10.1115,2.075113,-0.020648,0.020717,0.000
10.2113,2.081587,-0.020719,0.014655,0.000
10.3133,2.070732,-0.023449,0.021983,0.000
10.4115,2.077016,-0.028521,0.031725,0.000
10.5116,2.098763,-0.000221,0.020655,0.000
10.6133,2.099328,0.002374,0.031131,0.000
10.7121,2.127779,0.002068,0.037078,0.000
10.8117,2.115399,0.002995,0.051635,0.000
10.9148,2.095484,-0.020866,0.045599,0.000
11.0136,2.095797,-0.029920,0.038384,0.000
11.1139,2.103631,-0.044286,0.029061,0.000
11.2130,2.090260,-0.048377,0.037020,0.000
11.3183,2.081693,-0.035527,0.050727,0.000
11.4126,2.078181,-0.045468,0.049419,0.000
11.5135,2.083166,-0.044575,0.050826,0.000
11.6134,2.098814,-0.063148,0.052943,0.000
11.7142,2.116704,-0.034699,0.055612,0.000
11.8117,2.083693,-0.049500,0.068123,0.000
11.9117,2.083660,-0.059094,0.069675,0.000
12.0151,2.097023,-0.048729,0.067556,0.000
12.1120,2.103818,-0.037463,0.065806,0.000
12.2135,2.073595,-0.057112,0.082114,0.000
12.3147,2.102255,-0.050880,0.088438,0.000
12.4119,2.103731,-0.052119,0.096322,0.000
12.5132,2.109181,-0.043228,0.089961,0.000
12.6117,2.119312,-0.026203,0.088521,0.000
12.7117,2.107934,-0.030148,0.086942,0.000
