t_sec,x,y,z,solve_ms
2.5968,4.000000,0.000000,0.000000,0.000
2.6990,4.000000,0.000000,0.000000,0.000
2.7968,4.000000,0.000000,0.000000,0.000
2.8987,4.000000,0.000000,0.000000,0.000
2.9970,4.000000,0.000000,0.000000,0.000
3.1001,4.000000,0.000000,0.000000,0.000
3.1971,4.000000,0.000000,0.000000,0.000
3.2989,4.000000,0.000000,0.000000,0.000
3.3962,4.000000,0.000000,0.000000,0.000
3.4971,4.000000,0.000000,0.000000,0.000
3.5965,4.000000,0.000000,0.000000,0.000
3.6964,4.000000,0.000000,0.000000,0.000
3.7967,4.000000,0.000000,0.000000,0.000
3.8987,4.000000,0.000000,0.000000,0.000
3.9972,4.000000,0.000000,0.000000,0.000
4.0966,4.000000,0.000000,0.000000,0.000
4.1988,4.000000,0.000000,0.000000,0.000
4.2966,4.000000,0.000000,0.000000,0.000
4.3977,4.000000,0.000000,0.000000,0.000
4.4975,4.000000,0.000000,0.000000,0.000
4.5985,4.000000,0.000000,0.000000,0.000
4.6992,4.000000,0.000000,0.000000,0.000
4.7993,4.004263,-0.034587,0.002744,0.000
4.8991,3.986309,0.027149,0.027560,0.000
4.9975,3.985483,-0.013013,0.062211,0.000
5.0970,4.016440,0.030954,0.047748,0.000
5.1989,4.050124,0.041282,0.031574,0.000
5.2964,4.049313,0.038664,0.029062,0.000
5.3970,4.063548,0.027053,0.028893,0.000
5.4965,4.047537,0.042134,0.024896,0.000
5.5972,4.024139,0.043787,0.036040,0.000
5.6975,4.009714,0.021286,0.040600,0.000
5.7983,4.019697,0.015057,0.036554,0.000
5.8970,4.022721,0.011493,0.023353,0.000
5.9970,4.020350,0.028874,0.011412,0.000
6.0977,3.996169,0.033100,0.038187,0.000
6.1974,4.019092,0.018151,0.031891,0.000
6.2978,3.982996,0.009278,0.028635,0.000
6.3988,3.963071,0.023980,0.002388,0.000
6.4966,3.979177,0.015176,-0.001435,0.000
6.5972,3.993541,0.009969,-0.003974,0.000
6.7013,4.005714,-0.012924,0.001141,0.000
7.0034,4.005238,-0.023857,-0.006570,0.000
7.0116,4.004836,-0.026782,-0.008840,0.000
7.0978,4.015820,-0.007367,0.006375,0.000
7.1975,3.997293,0.002222,-0.005357,0.000
7.2998,3.972842,0.015678,0.002674,0.000
7.3988,4.009728,-0.006910,-0.001044,0.000
7.5031,3.988341,-0.006567,-0.004201,0.000
7.5973,3.999326,0.009702,0.005976,0.000
7.6993,4.018843,-0.019264,0.015619,0.000
7.7974,4.027432,-0.001165,-0.006566,0.000
7.9019,3.973063,-0.001847,0.001719,0.000
7.9973,3.993687,-0.005610,0.001320,0.000
8.0988,4.009242,-0.033311,-0.017347,0.000
8.1975,3.959067,-0.004613,0.000007,0.000
8.2991,4.002554,-0.003135,0.002456,0.000
8.3969,3.987817,0.002225,0.000964,0.000
8.4999,3.995318,-0.003533,0.001074,0.000
8.5975,4.000923,-0.014508,0.004656,0.000
8.6986,3.993016,-0.003015,-0.009691,0.000
8.7998,4.014200,0.001626,0.003720,0.000
8.8996,3.982282,0.010130,0.020870,0.000
8.9970,3.977183,-0.017720,0.041330,0.000
9.0980,3.978068,-0.006531,0.039880,0.000
9.1970,3.998133,0.003504,0.053202,0.000
9.2976,3.997295,-0.004364,0.047711,0.000
9.4002,4.025979,0.010253,0.039283,0.000
9.4988,4.016812,0.012031,0.065881,0.000
9.5977,4.004967,0.013943,0.060943,0.000
9.6973,3.982279,0.031932,0.074853,0.000
9.7981,4.010272,0.034901,0.078328,0.000
9.8999,4.019467,0.019939,0.047486,0.000
9.9967,4.014943,0.031175,0.056803,0.000
10.0991,4.020239,0.019078,0.058219,0.000
10.1969,4.036810,0.013398,0.051123,0.000
10.2982,4.046539,0.033067,0.047324,0.000
10.3984,4.043324,0.045381,0.046754,0.000
10.4971,4.022919,0.047491,0.040166,0.000
10.6009,4.047897,0.037248,0.023334,0.000
10.6995,4.045215,0.044148,0.037690,0.000
10.7968,4.046314,0.048283,0.043991,0.000
10.8984,4.032706,0.033896,0.008124,0.000
10.9992,4.039441,0.050068,0.020251,0.000
11.1036,4.041965,0.050383,0.034858,0.000
11.1969,4.034214,0.045680,0.023115,0.000
11.2972,4.033493,0.054375,0.010094,0.000
11.3974,4.021010,0.045047,0.006379,0.000
11.4984,4.030041,0.034252,0.008693,0.000
11.5983,4.027140,0.017155,-0.009365,0.000
11.6976,4.012821,0.009475,-0.002050,0.000
11.8007,3.991199,0.009828,0.000372,0.000
11.8970,4.000179,-0.011629,0.001632,0.000
11.9979,4.001341,0.002535,-0.006706,0.000
12.0977,3.998078,-0.012255,-0.009720,0.000
12.1987,3.966213,-0.010666,-0.028665,0.000
