t_sec,x,y,z,solve_ms
2.6097,4.000000,0.000000,0.000000,0.000
2.7124,4.000000,0.000000,0.000000,0.000
2.8097,4.000000,0.000000,0.000000,0.000
2.9093,4.000000,0.000000,0.000000,0.000
3.0098,4.000000,0.000000,0.000000,0.000
3.1094,4.000000,0.000000,0.000000,0.000
3.2104,4.000000,0.000000,0.000000,0.000
3.3096,4.000000,0.000000,0.000000,0.000
3.4109,4.000000,0.000000,0.000000,0.000
3.5157,4.000000,0.000000,0.000000,0.000
3.6096,4.000000,0.000000,0.000000,0.000
3.7093,4.000000,0.000000,0.000000,0.000
3.8107,4.000000,0.000000,0.000000,0.000
3.9119,4.036661,0.012632,0.003822,0.000
4.0100,4.023453,0.013543,-0.011648,0.000
4.1102,4.013232,-0.035625,0.002187,0.000
4.2119,4.000506,-0.005587,0.006397,0.000
4.3097,3.986507,-0.037604,0.008098,0.000
4.4097,3.976745,0.004231,0.021779,0.000
4.5100,3.986032,-0.002362,0.017427,0.000
4.6099,4.000367,-0.031924,0.028256,0.000
4.7117,3.982698,-0.070085,0.025740,0.000
4.8109,3.979638,-0.103057,0.029373,0.000
4.9133,4.006173,-0.122254,0.018262,0.000
5.0097,3.997489,-0.115018,0.037055,0.000
5.1102,3.973120,-0.117725,0.035663,0.000
5.2104,3.954041,-0.105672,0.040186,0.000
5.3115,3.962017,-0.122518,0.023493,0.000
5.4115,3.941756,-0.100421,0.045104,0.000
5.5095,3.947098,-0.120766,0.042018,0.000
5.6092,3.977810,-0.136266,0.051737,0.000
5.7097,3.970070,-0.125886,0.055553,0.000
5.8139,3.956770,-0.094099,0.030134,0.000
5.9139,3.975342,-0.093201,0.052600,0.000
6.0103,3.967792,-0.090322,0.062837,0.000
6.1093,3.947371,-0.075029,0.066163,0.000
6.2103,3.968274,-0.077216,0.070460,0.000
6.3102,3.956142,-0.035715,0.076639,0.000
6.4100,3.931134,-0.038527,0.079739,0.000
6.5094,3.983732,-0.055024,0.075767,0.000
6.6125,4.015873,-0.059967,0.072573,0.000
6.7101,4.035618,-0.055041,0.084027,0.000
6.8104,4.022618,-0.041032,0.092925,0.000
6.9101,3.990534,-0.024829,0.094344,0.000
7.0111,3.984583,-0.043609,0.109311,0.000
7.1098,4.000294,-0.041947,0.094912,0.000
7.2093,3.975506,-0.040143,0.107330,0.000
7.3095,3.967695,-0.020285,0.122790,0.000
7.4093,3.991821,-0.040417,0.115881,0.000
7.5110,3.987685,-0.057060,0.121247,0.000
7.6133,3.986132,-0.022452,0.124630,0.000
7.7109,3.967996,-0.014333,0.145344,0.000
7.8117,3.982184,0.001082,0.144154,0.000
7.9103,3.989936,-0.017811,0.145839,0.000
8.0099,3.978345,-0.017588,0.140354,0.000
8.1100,3.973340,-0.010123,0.115546,0.000
8.2101,4.020452,-0.029488,0.070182,0.000
8.3096,3.982732,-0.023932,0.046179,0.000
8.4101,3.998774,-0.027150,0.040263,0.000
8.5122,3.992206,-0.038045,0.032091,0.000
8.6097,3.974238,-0.026778,0.036965,0.000
8.7119,3.974784,-0.031899,0.018407,0.000
8.8111,4.002932,-0.024957,0.032123,0.000
8.9105,3.997348,-0.016553,0.004309,0.000
9.0097,3.988217,-0.003580,0.012370,0.000
9.1101,3.997974,-0.001173,-0.000037,0.000
9.2100,4.001740,-0.017054,-0.001371,0.000
9.3107,3.983864,0.007359,-0.000207,0.000
9.4101,3.989798,0.026394,-0.011306,0.000
9.5134,3.957917,0.036833,-0.016917,0.000
9.6096,3.935715,0.039559,-0.002404,0.000
9.7094,3.951346,0.047299,-0.012441,0.000
9.8165,3.925250,0.061098,-0.019695,0.000
9.9109,3.945414,0.051188,-0.007963,0.000
10.0145,3.941566,0.054228,0.000079,0.000
10.1098,3.951007,0.069346,-0.023798,0.000
10.2100,3.962600,0.054267,-0.030068,0.000
10.3102,3.965783,0.046332,-0.032990,0.000
10.4102,3.941468,0.063342,-0.047074,0.000
10.5109,3.904870,0.066335,-0.053139,0.000
10.6099,3.885196,0.076333,-0.059925,0.000
10.7135,3.890305,0.077568,-0.076485,0.000
10.8143,3.890170,0.089846,-0.089369,0.000
10.9100,3.859356,0.089725,-0.093231,0.000
11.0094,3.891045,0.092617,-0.095275,0.000
11.1135,3.920604,0.089076,-0.104970,0.000
11.2098,3.914645,0.094188,-0.103021,0.000
11.3091,3.906605,0.083712,-0.125269,0.000
11.4132,3.936906,0.080393,-0.112182,0.000
11.5106,3.940666,0.077327,-0.119359,0.000
11.6103,3.941863,0.070054,-0.128199,0.000
11.7121,3.932344,0.073026,-0.138106,0.000
11.8121,3.944949,0.067644,-0.163686,0.000
11.9105,3.934644,0.075362,-0.173592,0.000
12.0097,3.946861,0.078614,-0.164442,0.000
12.1101,3.946479,0.085454,-0.172350,0.000
12.2100,3.939955,0.085419,-0.163855,0.000
12.3096,4.000736,0.084431,-0.186257,0.000
12.4126,3.986737,0.091737,-0.182694,0.000
12.5103,4.007625,0.105365,-0.187771,0.000
12.6101,4.022416,0.123946,-0.182176,0.000
12.7115,4.003557,0.112089,-0.183366,0.000
12.8105,4.011121,0.160915,-0.194666,0.000
