t_sec,x,y,z,solve_ms
2.2243,4.000000,0.000000,0.000000,0.000
2.3243,4.000000,0.000000,0.000000,0.000
2.4216,4.000000,0.000000,0.000000,0.000
2.5232,4.000000,0.000000,0.000000,0.000
2.6255,4.000000,0.000000,0.000000,0.000
2.7235,4.000000,0.000000,0.000000,0.000
2.8216,4.000000,0.000000,0.000000,0.000
2.9259,4.000000,0.000000,0.000000,0.000
3.0227,4.000000,0.000000,0.000000,0.000
3.1230,4.000000,0.000000,0.000000,0.000
3.2219,4.000000,0.000000,0.000000,0.000
3.3227,4.000000,0.000000,0.000000,0.000
3.4271,4.000000,0.000000,0.000000,0.000
3.5226,4.000000,0.000000,0.000000,0.000
3.6236,4.000000,0.000000,0.000000,0.000
3.7224,4.000000,0.000000,0.000000,0.000
4.1382,4.000000,0.000000,0.000000,0.000
4.1413,4.000000,0.000000,0.000000,0.000
4.2211,4.000000,0.000000,0.000000,0.000
4.3216,4.000000,0.000000,0.000000,0.000
4.4218,4.014059,-0.008721,0.000553,0.000
4.5218,3.970219,-0.006141,-0.005285,0.000
4.6232,3.968832,0.017713,0.008053,0.000
4.7217,3.996516,0.023952,-0.008560,0.000
4.8224,4.017328,0.023059,-0.018850,0.000
4.9214,4.007830,0.026182,-0.037158,0.000
5.0216,4.041166,0.000688,-0.037073,0.000
5.1227,4.039820,0.012571,-0.068556,0.000
5.2222,4.039507,0.031412,-0.078870,0.000
5.3226,4.037454,0.009706,-0.066803,0.000
5.4218,4.048125,0.020861,-0.087659,0.000
5.5235,4.077066,0.002475,-0.078619,0.000
5.6219,4.124455,0.005355,-0.083942,0.000
5.7219,4.140556,-0.012478,-0.063896,0.000
5.8236,4.143548,-0.001315,-0.088223,0.000
5.9224,4.128864,0.028882,-0.084504,0.000
6.0217,4.171884,0.007665,-0.094708,0.000
6.1216,4.180263,-0.042649,-0.102385,0.000
6.2214,4.160142,-0.060602,-0.107376,0.000
6.3214,4.184913,-0.075135,-0.089091,0.000
6.4218,4.196767,-0.071173,-0.082802,0.000
6.5226,4.225934,-0.103941,-0.097047,0.000
6.6224,4.243212,-0.094109,-0.091305,0.000
6.7234,4.230102,-0.113462,-0.094559,0.000
6.8220,4.231414,-0.082720,-0.093767,0.000
