t_sec,x,y,z,solve_ms
1.4932,2.000000,2.000000,0.000000,0.000
1.5972,2.000000,2.000000,0.000000,0.000
1.6939,2.000000,2.000000,0.000000,0.000
1.7931,2.000000,2.000000,0.000000,0.000
1.8931,2.000000,2.000000,0.000000,0.000
1.9933,2.000000,2.000000,0.000000,0.000
2.0936,2.000000,2.000000,0.000000,0.000
2.1941,2.000000,2.000000,0.000000,0.000
2.2938,2.000000,2.000000,0.000000,0.000
2.3935,2.000000,2.000000,0.000000,0.000
2.4934,2.000000,2.000000,0.000000,0.000
2.5936,2.000000,2.000000,0.000000,0.000
2.6934,2.000000,2.000000,0.000000,0.000
2.7932,2.000000,2.000000,0.000000,0.000
2.8938,2.000000,2.000000,0.000000,0.000
2.9934,2.000000,2.000000,0.000000,0.000
3.0934,2.000000,2.000000,0.000000,0.000
3.1940,2.000000,2.000000,0.000000,0.000
3.2939,2.000000,2.000000,0.000000,0.000
3.4001,2.000000,2.000000,0.000000,0.000
3.4933,2.000000,2.000000,0.000000,0.000
3.5933,2.000000,2.000000,0.000000,0.000
3.6934,2.000000,2.000000,0.000000,0.000
3.7998,2.000000,2.000000,0.000000,0.000
3.8933,2.000000,2.000000,0.000000,0.000
3.9932,2.000000,2.000000,0.000000,0.000
4.0939,3.333319,1.378974,0.012526,0.000
4.1940,3.335567,1.297626,-0.010206,0.000
4.2949,3.334579,1.345197,-0.000624,0.000
4.3942,3.334098,1.341728,0.006695,0.000
4.4958,3.333837,1.316340,-0.007623,0.000
4.5937,3.333679,1.356359,-0.004460,0.000
4.6929,3.333576,1.357328,-0.002623,0.000
4.7938,3.333506,1.358184,0.007335,0.000
4.8926,3.333456,1.379210,0.004167,0.000
4.9937,3.333422,1.335627,0.005040,0.000
5.0934,3.333397,1.321024,0.005292,0.000
5.1938,3.333379,1.316601,0.005336,0.000
5.2930,3.333366,1.315660,0.005318,0.000
5.3951,3.333357,1.328911,-0.006821,0.000
5.4938,3.333350,1.346426,-0.003013,0.000
5.5930,3.333345,1.354827,-0.010958,0.000
5.6934,3.333342,1.320925,-0.002477,0.000
5.7938,3.333340,1.329986,0.001282,0.000
5.8951,3.333338,1.304802,-0.002425,0.000
5.9930,3.333337,1.347842,-0.001839,0.000
6.0935,3.333336,1.358466,-0.001816,0.000
6.1945,3.333335,1.351529,0.001126,0.000
6.2973,3.333335,1.349891,0.001273,0.000
6.3929,3.333334,1.345954,-0.002562,0.000
6.4936,3.333334,1.319689,0.003301,0.000
6.5960,3.333334,1.355334,0.002396,0.000
6.6945,3.333334,1.362230,0.008503,0.000
6.7930,3.333334,1.354171,-0.002978,0.000
6.8946,3.333333,1.354777,-0.005844,0.000
6.9928,3.333333,1.310444,0.002379,0.000
7.0939,3.333333,1.357542,0.001070,0.000
7.1938,3.333333,1.361680,-0.005313,0.000
7.2935,3.333333,1.303432,-0.003974,0.000
7.3931,3.333333,1.303679,-0.006897,0.000
7.4946,2.675770,1.678866,0.011733,0.000
7.5931,2.504150,1.778506,0.008313,0.000
7.6932,2.464064,1.805515,-0.003460,0.000
7.7974,2.461864,1.754211,0.003118,0.000
7.8937,2.468663,1.803113,-0.006406,0.000
7.9995,2.476201,1.766786,0.008164,0.000
8.0943,2.482485,1.707258,-0.005380,0.000
8.1939,2.487219,1.716584,0.003411,0.000
8.2941,2.490732,1.738332,0.005738,0.000
8.3947,2.493293,1.793348,0.004982,0.000
8.4968,2.495155,1.792351,0.018855,0.000
8.5939,2.496505,1.753947,0.011280,0.000
