t_sec,x,y,z,solve_ms
3.1718,2.000000,2.000000,0.000000,0.000
3.2710,2.000000,2.000000,0.000000,0.000
3.3692,2.000000,2.000000,0.000000,0.000
3.4688,2.000000,2.000000,0.000000,0.000
3.5740,2.000000,2.000000,0.000000,0.000
3.6691,2.000000,2.000000,0.000000,0.000
3.7736,2.000000,2.000000,0.000000,0.000
3.8706,2.000000,2.000000,0.000000,0.000
3.9707,2.000000,2.000000,0.000000,0.000
4.0730,2.000000,2.000000,0.000000,0.000
4.1713,2.000000,2.000000,0.000000,0.000
4.2723,2.000000,2.000000,0.000000,0.000
4.3714,2.000000,2.000000,0.000000,0.000
4.4704,2.000000,2.000000,0.000000,0.000
4.5701,2.000000,2.000000,0.000000,0.000
4.6705,2.000000,2.000000,0.000000,0.000
4.7686,2.000000,2.000000,0.000000,0.000
4.8797,1.993012,2.030413,-0.001420,0.000
4.9763,1.950453,2.015594,-0.002477,0.000
5.0714,2.027913,2.003201,-0.012221,0.000
5.1691,2.017472,2.012788,-0.009644,0.000
5.2737,1.994198,2.042561,0.002875,0.000
5.3771,2.017810,2.008143,-0.010560,0.000
5.4709,2.045886,1.964459,0.001604,0.000
5.5726,2.041444,1.944999,0.006943,0.000
5.6703,2.037790,1.978434,0.010896,0.000
5.7692,2.049287,1.961691,0.011221,0.000
5.8712,2.030545,1.956176,0.010853,0.000
5.9703,2.027542,1.924361,0.027784,0.000
6.0700,2.027576,1.926783,0.028122,0.000
6.1689,2.030972,1.951407,0.036072,0.000
6.2687,2.015605,1.940347,0.041488,0.000
6.3742,2.010292,1.988300,0.033314,0.000
8.8898,2.020023,1.998870,0.046248,0.000
8.9890,2.024882,1.998528,0.050375,0.000
9.0914,2.029862,1.990878,0.034583,0.000
9.1914,2.012433,1.996792,0.031138,0.000
9.2904,2.018547,1.986986,0.040876,0.000
9.3893,2.024001,1.994045,0.017433,0.000
9.4987,2.027066,1.987442,0.032378,0.000
9.6009,2.042106,1.967520,0.040660,0.000
9.6971,2.054669,1.977713,0.023138,0.000
9.7903,2.063937,1.978957,0.033315,0.000
9.8908,2.050698,2.003547,0.040237,0.000
9.9896,2.049859,1.971718,0.041671,0.000
10.0894,2.059038,1.972788,0.044839,0.000
10.1906,2.053862,1.936422,0.046617,0.000
10.2898,2.076468,1.977129,0.031794,0.000
10.3911,2.065099,1.978764,0.034346,0.000
10.4905,2.071261,1.980548,0.027912,0.000
10.5955,2.088015,1.965020,0.005017,0.000
10.6959,2.041381,1.953702,0.007563,0.000
10.7922,2.076579,1.977032,0.008215,0.000
10.8929,2.068159,1.981340,-0.005074,0.000
11.0010,2.077417,1.981580,0.000512,0.000
11.0933,2.073740,1.965686,-0.017633,0.000
11.1921,2.074294,1.968620,-0.014687,0.000
11.2893,2.067648,1.966192,-0.001559,0.000
11.3901,2.054375,1.976201,0.003006,0.000
11.4901,2.064994,1.966932,0.020100,0.000
11.5905,2.048351,1.970524,0.012398,0.000
11.6943,2.043461,1.996259,0.010112,0.000
11.7926,2.050307,1.970211,-0.000560,0.000
11.8957,2.052615,1.986784,0.007096,0.000
11.9926,2.036161,1.999349,-0.002201,0.000
12.0904,2.030114,2.008382,0.002847,0.000
12.1963,2.041834,1.996127,-0.011238,0.000
12.2903,2.053822,2.002627,-0.012685,0.000
12.3895,2.045520,1.996841,-0.028077,0.000
12.4902,2.061864,1.976182,-0.043202,0.000
12.5911,2.028273,1.959418,-0.044725,0.000
12.6915,2.012237,1.943635,-0.041240,0.000
12.8029,2.025919,1.983055,-0.042512,0.000
12.8901,1.996602,1.991165,-0.030770,0.000
12.9911,1.992558,1.965602,-0.027323,0.000
13.0910,1.977736,1.967577,-0.028576,0.000
13.1977,1.960070,1.935603,-0.029604,0.000
13.2897,1.959366,1.971222,-0.031686,0.000
13.3937,1.953739,1.947280,-0.028743,0.000
13.4922,1.934791,1.946337,-0.025019,0.000
13.5909,1.939539,1.947514,-0.010479,0.000
13.6907,1.962160,1.968821,-0.023128,0.000
13.7913,1.974140,1.960231,-0.023490,0.000
13.9014,1.948771,1.971449,-0.022734,0.000
13.9901,1.964650,1.985306,0.003867,0.000
14.0928,1.980793,1.975955,-0.015987,0.000
14.1933,1.959175,1.981996,-0.023647,0.000
14.2917,1.947552,1.978284,0.006005,0.000
14.3907,1.971062,1.988222,0.012836,0.000
14.4931,1.954725,1.996926,-0.002078,0.000
14.5899,1.941080,2.000311,0.006092,0.000
14.6925,1.955585,1.977007,-0.002772,0.000
14.7902,1.933245,1.977803,-0.011434,0.000
14.8900,1.925619,1.954761,-0.012919,0.000
14.9913,1.907055,1.962279,0.002911,0.000
15.0898,1.909297,1.946305,-0.011642,0.000
15.1898,1.884718,1.962048,-0.010231,0.000
15.2922,1.886726,1.981426,-0.009214,0.000
15.3912,1.876044,1.982917,0.002910,0.000
15.4922,1.852522,1.958761,-0.006309,0.000
15.5897,1.861729,1.930445,-0.000607,0.000
15.6910,1.860298,1.926126,-0.013988,0.000
15.7897,1.878913,1.943229,-0.013341,0.000
15.8904,1.858804,1.937407,-0.017348,0.000
15.9927,1.856602,1.939731,-0.030238,0.000
16.0898,1.846158,1.938319,-0.026439,0.000
16.1894,1.829402,1.925901,-0.017828,0.000
16.2901,1.829894,1.940428,-0.022806,0.000
16.3913,1.824599,1.956454,-0.031137,0.000
16.4900,1.830648,1.943146,-0.030150,0.000
16.5904,1.814704,1.953623,-0.011344,0.000
16.6931,1.794285,1.963360,-0.004783,0.000
16.7895,1.791504,1.959459,0.006740,0.000
16.8904,1.781086,1.922271,-0.009672,0.000
16.9893,1.769388,1.929145,-0.013099,0.000
17.0955,1.763850,1.930916,-0.008716,0.000
17.1896,1.756024,1.943257,-0.010641,0.000
17.2904,1.725117,1.961760,-0.003033,0.000
17.3887,1.729723,1.950314,-0.011537,0.000
17.4903,1.716903,1.961783,-0.016424,0.000
17.5887,1.707403,1.962268,-0.001282,0.000
17.6892,1.712336,1.958449,0.006223,0.000
17.7931,1.697564,1.966166,0.025646,0.000
17.8917,1.669149,1.947943,0.005198,0.000
17.9914,1.708648,1.934268,-0.000554,0.000
18.0912,1.712888,1.931983,-0.011794,0.000
18.1951,1.727798,1.927308,-0.027857,0.000
18.2928,1.718475,1.963144,-0.022925,0.000
18.3939,1.735266,1.950567,-0.013743,0.000
18.4918,1.758338,1.957699,-0.010999,0.000
18.5911,1.742414,1.947428,-0.022060,0.000
18.6926,1.762691,1.945079,-0.012575,0.000
18.7906,1.768967,1.976681,-0.018965,0.000
18.8900,1.769207,1.963667,-0.017979,0.000
18.9895,1.785028,1.953040,-0.026244,0.000
19.0910,1.761750,1.962229,-0.035996,0.000
19.1981,1.735773,1.977872,-0.016529,0.000
19.2935,1.722468,1.959125,-0.023779,0.000
19.3950,1.731079,1.979339,-0.026289,0.000
19.4902,1.733791,1.977688,-0.035890,0.000
19.5905,1.739072,1.963985,-0.034379,0.000
19.7057,1.714393,1.964660,-0.037965,0.000
19.7990,1.701929,1.977942,-0.022374,0.000
19.8906,1.720177,1.986250,-0.017883,0.000
19.9959,1.740310,2.006923,-0.017806,0.000
20.0895,1.727726,1.991699,-0.009051,0.000
20.1922,1.715728,1.992386,-0.027160,0.000
20.2897,1.735672,2.014171,-0.037308,0.000
20.3903,1.721406,1.996816,-0.034067,0.000
20.4934,1.765002,1.983862,-0.026158,0.000
20.5909,1.773383,1.985372,-0.021627,0.000
20.6893,1.800209,1.984706,-0.021595,0.000
20.7944,1.809306,2.005727,-0.036541,0.000
20.8905,1.855397,2.006174,-0.007449,0.000
20.9900,1.852408,1.985308,-0.019000,0.000
21.0912,1.858742,1.999197,-0.005808,0.000
21.1946,1.871323,1.987170,0.007153,0.000
21.2957,1.887199,2.019515,0.008317,0.000
21.3947,1.898228,1.999638,0.012459,0.000
21.4927,1.896192,1.983246,0.008635,0.000
21.6006,1.953842,1.992794,0.023990,0.000
21.6948,1.970098,2.011057,0.033436,0.000
21.7910,1.997239,2.015766,0.029377,0.000
21.8935,1.986644,2.035604,0.033608,0.000
21.9923,2.005744,2.026740,0.027001,0.000
22.0909,2.013411,2.029599,0.024193,0.000
22.1909,2.008153,2.029934,0.029709,0.000
22.2913,1.977800,2.028012,0.040070,0.000
22.3898,2.012380,2.024549,0.024553,0.000
22.4924,2.004004,2.019421,0.017609,0.000
22.5905,2.007702,2.013843,0.010830,0.000
22.6925,1.992806,1.996415,0.013882,0.000
22.7931,2.009718,2.007613,0.021433,0.000
22.8935,2.007670,1.987488,0.010119,0.000
22.9935,2.000064,1.996200,0.012486,0.000
23.0951,2.000490,2.032176,0.010513,0.000
23.1892,1.980197,2.023554,-0.000474,0.000
23.2901,1.990871,2.005963,0.006820,0.000
23.3895,1.988024,2.010434,0.005970,0.000
23.4909,1.992803,2.009094,0.011104,0.000
23.5893,1.969562,2.009550,0.004125,0.000
23.6888,1.966586,2.005688,0.002629,0.000
23.7915,1.970372,2.021942,0.014159,0.000
23.8905,1.954068,2.026946,-0.000280,0.000
23.9902,1.958038,2.000408,0.017771,0.000
24.0899,1.972074,2.006871,0.004832,0.000
24.1898,1.998605,1.990493,-0.002434,0.000
24.2960,1.979967,2.005739,0.001601,0.000
24.3892,2.011466,2.005146,-0.019114,0.000
24.4920,1.994514,2.035772,-0.003484,0.000
24.6049,1.982155,1.990240,-0.005294,0.000
24.6923,2.011466,1.991922,-0.000839,0.000
24.7899,2.037043,1.986838,0.001362,0.000
24.8924,2.032129,2.007999,-0.004970,0.000
24.9926,1.984454,1.990108,-0.004802,0.000
25.0911,1.991474,1.978456,0.001023,0.000
25.1915,1.979947,1.985019,0.009544,0.000
25.2899,1.997744,2.005656,-0.004999,0.000
25.3900,1.995973,2.005097,-0.009649,0.000
25.4954,1.995667,2.004455,-0.012302,0.000
25.5926,2.032009,2.003196,-0.001285,0.000
25.6975,2.025470,2.003410,0.001335,0.000
25.7893,2.004084,1.997247,-0.015551,0.000
25.8946,2.012884,1.993738,-0.011964,0.000
25.9997,1.999088,2.004670,-0.002821,0.000
26.0998,1.991516,1.993036,-0.018810,0.000
26.1961,2.023416,2.007981,-0.006669,0.000
26.2906,2.017709,1.996505,-0.009422,0.000
26.3894,1.988115,1.972154,0.004420,0.000
26.4897,2.025614,1.976099,0.008312,0.000
26.5906,2.028055,1.982872,0.002744,0.000
26.6900,2.009221,1.975729,-0.007728,0.000
26.7898,2.004166,1.967030,0.008316,0.000
26.8898,2.020321,1.966566,0.003175,0.000
26.9914,2.039606,1.981811,-0.018646,0.000
27.0902,2.014814,1.987378,-0.020356,0.000
27.1925,2.020225,1.992159,-0.014765,0.000
27.2910,2.028307,1.972940,-0.016994,0.000
27.3894,2.020773,1.984335,-0.007584,0.000
27.4917,1.986532,1.983376,0.002740,0.000
27.5895,1.980877,1.966252,-0.001744,0.000
27.6929,1.995129,1.993788,-0.006134,0.000
27.7897,1.984799,1.975197,-0.002886,0.000
27.8916,2.025575,1.986878,-0.013162,0.000
27.9916,2.020983,1.964278,-0.004202,0.000
28.0913,1.994513,1.980684,0.022573,0.000
28.1911,1.997724,2.000163,0.006639,0.000
28.2890,2.029814,1.993591,0.002410,0.000
28.3894,2.019268,2.022594,0.000273,0.000
28.4908,2.008011,2.020409,-0.014011,0.000
28.5899,2.009216,2.012304,0.009725,0.000
28.6913,2.021174,1.987287,0.010174,0.000
28.7903,1.986951,1.990686,0.003393,0.000
28.8908,1.997281,1.978978,0.000285,0.000
28.9919,2.005835,2.013239,0.000060,0.000
29.0927,1.990913,1.989697,-0.003203,0.000
29.1940,1.972300,1.980683,-0.013576,0.000
29.2942,1.998870,1.970119,-0.026449,0.000
29.3917,2.005657,1.977480,-0.012109,0.000
29.4892,1.997457,1.975913,-0.010330,0.000
29.5919,1.986450,1.985535,-0.008757,0.000
29.6927,1.993984,1.974931,-0.024114,0.000
29.7895,2.000548,1.989133,0.000205,0.000
