t_sec,x,y,z,solve_ms
1.5318,4.000000,2.000000,0.000000,0.000
1.6353,4.000000,2.000000,0.000000,0.000
1.7343,4.000000,2.000000,0.000000,0.000
1.8341,4.000000,2.000000,0.000000,0.000
1.9319,4.000000,2.000000,0.000000,0.000
2.0333,4.000000,2.000000,0.000000,0.000
2.1318,4.000000,2.000000,0.000000,0.000
2.2321,4.000000,2.000000,0.000000,0.000
2.3345,4.000000,2.000000,0.000000,0.000
2.4329,4.000000,2.000000,0.000000,0.000
2.5332,4.000000,2.000000,0.000000,0.000
2.6330,4.000000,2.000000,0.000000,0.000
2.7323,4.000000,2.000000,0.000000,0.000
2.8345,4.000000,2.000000,0.000000,0.000
2.9333,4.000000,2.000000,0.000000,0.000
3.0320,4.000000,2.000000,0.000000,0.000
3.1317,4.000000,2.000000,0.000000,0.000
3.2330,4.000000,2.000000,0.000000,0.000
3.3327,4.000000,2.000000,0.000000,0.000
3.4318,4.000000,2.000000,0.000000,0.000
3.5329,4.000000,2.000000,0.000000,0.000
3.6328,4.000000,2.000000,0.000000,0.000
3.7346,4.000000,2.000000,0.000000,0.000
3.8320,4.000000,2.000000,0.000000,0.000
3.9353,4.000000,2.000000,0.000000,0.000
4.0331,4.000000,2.000000,0.000000,0.000
4.1347,4.000000,2.000000,0.000000,0.000
4.2324,4.000000,2.000000,0.000000,0.000
4.3319,4.000000,2.000000,0.000000,0.000
4.4320,4.000000,2.000000,0.000000,0.000
4.5321,4.000000,2.000000,0.000000,0.000
4.6348,4.000000,2.000000,0.000000,0.000
4.7339,4.000000,2.000000,0.000000,0.000
4.8322,4.000000,2.000000,0.000000,0.000
4.9325,4.000000,2.000000,0.000000,0.000
5.0325,4.000000,2.000000,0.000000,0.000
5.1333,3.965235,1.966434,-0.013711,0.000
5.2320,3.967416,1.957768,-0.018322,0.000
5.3342,3.994302,1.964993,-0.010623,0.000
5.4356,3.975769,1.969693,-0.008908,0.000
5.5340,3.974848,1.967444,0.012348,0.000
5.6355,3.968894,1.963440,0.013256,0.000
5.7328,3.975680,1.969602,-0.001396,0.000
5.8317,4.004487,1.931682,0.010833,0.000
5.9334,4.022588,1.947267,-0.002707,0.000
6.0320,3.996782,1.916704,0.001443,0.000
6.1342,4.015737,1.926107,-0.006647,0.000
6.2322,4.000985,1.966331,0.005571,0.000
6.3323,3.999922,1.961543,0.000852,0.000
6.4368,4.018852,1.958353,0.005427,0.000
6.5323,4.024725,1.974074,0.007318,0.000
6.6353,4.015077,1.991218,0.024667,0.000
6.7332,3.983734,2.003054,0.018686,0.000
6.8352,3.989827,2.002821,0.035601,0.000
6.9346,3.979938,2.028453,0.035742,0.000
7.0330,3.970692,2.021049,0.034968,0.000
7.1325,3.992734,2.013297,0.048736,0.000
7.2418,3.960089,2.002867,0.025043,0.000
7.3332,3.941928,2.004234,0.014868,0.000
7.4333,3.912374,2.003505,0.013415,0.000
7.5357,3.969422,1.988705,0.004220,0.000
7.6329,4.000218,2.001905,0.012826,0.000
7.7330,4.018440,2.015697,0.015378,0.000
7.8336,4.015743,1.976911,0.019839,0.000
7.9327,4.021810,2.019297,0.016266,0.000
8.0377,3.990333,1.995655,0.011260,0.000
8.1354,4.016409,2.004106,0.002264,0.000
8.2430,4.013431,1.996998,0.002022,0.000
8.3320,4.001996,1.971213,0.010987,0.000
8.4327,4.000482,2.000983,-0.016785,0.000
8.5373,3.985580,1.991616,-0.021046,0.000
8.6336,3.980179,1.988068,-0.011660,0.000
8.7334,3.963979,1.967925,-0.014042,0.000
8.8334,3.958419,1.983606,-0.034584,0.000
8.9361,3.935427,1.941774,-0.043357,0.000
9.0321,3.937663,1.951302,-0.046568,0.000
9.1320,3.952852,1.931761,-0.028248,0.000
9.2323,3.929818,1.951462,-0.020685,0.000
9.3342,3.937421,1.920750,-0.033425,0.000
9.4326,3.937796,1.918219,-0.028138,0.000
9.5317,3.909067,1.893183,-0.019861,0.000
9.6348,3.919394,1.879550,-0.043291,0.000
9.7338,3.950790,1.932473,-0.034675,0.000
9.8329,3.934934,1.920488,-0.045429,0.000
9.9331,3.901163,1.908467,-0.055862,0.000
10.0338,3.883763,1.902267,-0.044629,0.000
10.1356,3.891781,1.906753,-0.038691,0.000
10.2339,3.884773,1.890598,-0.041015,0.000
10.3394,3.873848,1.883700,-0.038456,0.000
10.4341,3.916283,1.894907,-0.052024,0.000
10.5372,3.860988,1.873286,-0.045383,0.000
