t_sec,x,y,z,solve_ms
2.1573,4.000000,2.000000,0.000000,0.000
2.2573,4.000000,2.000000,0.000000,0.000
2.3598,4.000000,2.000000,0.000000,0.000
2.4577,4.000000,2.000000,0.000000,0.000
2.5584,4.000000,2.000000,0.000000,0.000
2.6584,4.000000,2.000000,0.000000,0.000
2.7587,4.000000,2.000000,0.000000,0.000
2.8573,4.000000,2.000000,0.000000,0.000
2.9601,4.000000,2.000000,0.000000,0.000
3.0595,4.000000,2.000000,0.000000,0.000
3.1594,4.000000,2.000000,0.000000,0.000
3.2578,4.000000,2.000000,0.000000,0.000
3.3670,4.000000,2.000000,0.000000,0.000
3.4573,4.000000,2.000000,0.000000,0.000
3.5572,4.000000,2.000000,0.000000,0.000
3.6576,4.000000,2.000000,0.000000,0.000
3.7578,4.000000,2.000000,0.000000,0.000
3.8575,4.000000,2.000000,0.000000,0.000
3.9581,4.000000,2.000000,0.000000,0.000
4.0582,4.000000,2.000000,0.000000,0.000
4.1588,4.000000,2.000000,0.000000,0.000
4.2592,4.000000,2.000000,0.000000,0.000
4.3590,4.000000,2.000000,0.000000,0.000
4.4593,4.000000,2.000000,0.000000,0.000
4.5581,4.000000,2.000000,0.000000,0.000
4.6574,4.000000,2.000000,0.000000,0.000
4.7609,4.000000,2.000000,0.000000,0.000
4.8574,4.000000,2.000000,0.000000,0.000
4.9599,4.000000,2.000000,0.000000,0.000
5.0574,4.000000,2.000000,0.000000,0.000
5.1582,4.000000,2.000000,0.000000,0.000
5.2573,4.013555,1.983681,0.002180,0.000
5.3578,3.996534,2.011967,-0.005499,0.000
5.4576,3.946196,1.990971,-0.016097,0.000
5.5592,3.981155,2.014691,-0.008279,0.000
5.6598,3.986405,2.016003,-0.012682,0.000
5.7649,4.001823,2.024550,-0.018650,0.000
5.8584,4.000199,2.028821,-0.008014,0.000
5.9603,3.996872,2.048129,0.012419,0.000
6.0577,4.004639,2.045079,0.024487,0.000
6.1592,3.986282,2.005453,-0.005079,0.000
6.2572,4.015474,2.027403,0.013596,0.000
6.3590,4.021330,2.017892,0.026602,0.000
6.4578,4.034826,2.018411,0.013888,0.000
6.5653,4.008446,2.001691,0.016648,0.000
6.6625,4.016051,1.981696,0.021790,0.000
6.7584,4.006875,2.020781,0.021616,0.000
6.8609,4.001831,2.013366,0.006432,0.000
6.9588,4.001372,1.993914,-0.001286,0.000
7.0589,4.010878,1.991775,0.014512,0.000
7.1600,4.018270,2.007521,0.011337,0.000
7.2624,4.017734,2.017601,0.013529,0.000
7.3594,4.006765,2.020669,0.003868,0.000
7.4584,3.971592,1.986244,0.007842,0.000
7.5582,3.976292,2.002173,0.014172,0.000
7.6571,3.991021,2.026121,0.020539,0.000
7.7600,3.975028,1.996040,0.002565,0.000
7.8584,4.017213,2.009458,0.020431,0.000
