t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
9.553,0.0000,0.0000,0.0000,0.501,0,4,3.000300
15.061,0.0000,0.0000,0.0000,0.594,0,4,3.000600
20.571,0.0000,0.0000,0.0000,0.247,0,4,3.000900
20.573,0.0000,0.0000,0.0000,0.257,0,4,3.001200
26.081,0.0000,0.0000,0.0000,0.541,0,4,3.001500
31.598,0.0000,0.0000,0.0000,0.390,0,4,3.001800
37.112,0.0000,0.0000,0.0000,0.472,0,4,3.002100
42.621,0.3566,0.1182,-0.0949,0.332,2,2,0.062896
48.127,0.2656,0.1029,-0.0399,0.409,1,3,0.041396
53.639,0.2035,0.1041,-0.0329,0.325,1,3,0.030944
59.151,0.2035,0.1041,-0.0329,0.438,0,4,0.031244
64.667,0.1852,0.1027,-0.0420,0.365,1,3,0.024978
70.171,0.1281,0.0942,-0.0684,0.468,2,2,0.017785
75.677,0.1294,0.0936,-0.0630,0.312,1,3,0.015716
81.188,0.1294,0.0936,-0.0630,0.395,0,4,0.016016
86.688,0.1294,0.0936,-0.0630,0.287,0,4,0.016316
92.208,0.1294,0.0936,-0.0630,0.389,0,4,0.016616
97.716,0.1294,0.0936,-0.0630,0.234,0,4,0.016916
103.219,0.1294,0.0936,-0.0630,0.425,0,4,0.017216
108.728,0.1294,0.0936,-0.0630,0.488,0,4,0.017516
114.244,0.1294,0.0936,-0.0630,0.435,0,4,0.017816
119.763,0.1219,0.1043,-0.0730,0.419,1,3,0.015740
125.269,0.1208,0.1126,-0.0678,0.414,1,3,0.014149
130.773,0.1208,0.1126,-0.0678,0.418,0,4,0.014449
136.279,0.1208,0.1126,-0.0678,0.354,0,4,0.014749
