t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
1.203,0.0283,-0.0260,5.0085,1.883,3,1,0.039867
1.302,0.0118,-0.0255,4.9918,0.930,3,1,0.020042
1.402,0.0179,-0.0267,4.9777,0.644,3,1,0.013484
1.502,0.0209,-0.0290,4.9854,0.832,3,1,0.010252
1.601,0.0140,-0.0289,4.9902,0.415,3,1,0.008349
1.701,0.0149,-0.0262,4.9870,0.478,2,2,0.007559
1.802,0.0157,-0.0244,4.9828,0.944,3,1,0.006569
1.902,0.0169,-0.0232,4.9804,0.611,3,1,0.005862
2.001,0.0183,-0.0199,4.9755,0.467,3,1,0.005340
2.101,0.0216,-0.0180,4.9727,0.487,3,1,0.004943
2.202,0.0225,-0.0173,4.9726,0.527,3,1,0.004635
2.301,0.0239,-0.0151,4.9702,0.368,3,1,0.004393
2.401,0.0233,-0.0151,4.9722,0.309,3,1,0.004200
2.501,0.0244,-0.0132,4.9688,0.344,3,1,0.004045
2.601,0.0281,-0.0102,4.9664,0.349,3,1,0.003919
2.701,0.0268,-0.0102,4.9633,0.310,3,1,0.003817
2.801,0.0258,-0.0090,4.9574,0.564,3,1,0.003733
2.902,0.0278,-0.0063,4.9553,0.624,3,1,0.003663
3.001,0.0300,-0.0066,4.9534,0.453,3,1,0.003606
3.101,0.0295,-0.0067,4.9527,0.328,3,1,0.003559
3.201,0.0245,-0.0077,4.9509,0.492,3,1,0.003519
3.301,0.0214,-0.0080,4.9495,0.415,3,1,0.003486
3.402,0.0206,-0.0077,4.9520,0.558,3,1,0.003459
3.501,0.0195,-0.0082,4.9532,0.509,3,1,0.003436
3.602,0.0152,-0.0081,4.9511,0.585,3,1,0.003417
3.701,0.0148,-0.0080,4.9513,0.516,3,1,0.003401
3.801,0.0130,-0.0085,4.9530,0.643,3,1,0.003387
3.901,0.0120,-0.0082,4.9509,0.376,3,1,0.003376
4.002,0.0126,-0.0083,4.9495,0.619,3,1,0.003367
4.101,0.0173,-0.0071,4.9480,0.391,3,1,0.003359
4.202,0.0184,-0.0075,4.9449,0.622,3,1,0.003352
4.301,0.0225,-0.0060,4.9441,0.439,3,1,0.003347
4.401,0.0248,-0.0052,4.9430,0.444,3,1,0.003342
4.502,0.0290,-0.0052,4.9423,0.570,3,1,0.003338
4.601,0.0263,-0.0060,4.9434,0.535,3,1,0.003335
4.701,0.0246,-0.0069,4.9422,0.394,3,1,0.003332
4.802,0.0243,-0.0072,4.9425,0.671,3,1,0.003330
4.901,0.0241,-0.0073,4.9446,0.476,3,1,0.003328
5.001,0.0215,-0.0078,4.9452,0.444,3,1,0.003326
5.102,0.0271,-0.0073,4.9466,0.696,3,1,0.003325
5.201,0.0287,-0.0064,4.9469,0.430,3,1,0.003323
5.302,0.0304,-0.0057,4.9466,0.394,3,1,0.003323
5.401,0.0291,-0.0053,4.9479,0.382,3,1,0.003322
5.502,0.0304,-0.0047,4.9476,0.368,3,1,0.003321
5.601,0.0288,-0.0038,4.9487,0.398,3,1,0.003320
5.701,0.0292,-0.0022,4.9489,0.369,3,1,0.003320
5.801,0.0292,-0.0025,4.9489,0.346,3,1,0.003320
5.902,0.0291,-0.0032,4.9508,0.728,3,1,0.003319
6.002,0.0255,-0.0031,4.9508,0.758,3,1,0.003319
6.102,0.0285,-0.0021,4.9507,0.398,3,1,0.003319
6.201,0.0285,-0.0020,4.9523,0.463,3,1,0.003318
6.301,0.0286,-0.0016,4.9528,0.528,3,1,0.003318
6.401,0.0292,-0.0025,4.9536,0.402,3,1,0.003318
6.502,0.0243,-0.0041,4.9542,0.418,3,1,0.003318
6.602,0.0226,-0.0058,4.9578,0.740,3,1,0.003318
6.701,0.0231,-0.0063,4.9580,0.435,3,1,0.003318
6.801,0.0208,-0.0072,4.9576,0.415,3,1,0.003318
6.901,0.0189,-0.0086,4.9585,0.398,3,1,0.003318
7.001,0.0185,-0.0098,4.9592,0.656,3,1,0.003318
7.101,0.0156,-0.0115,4.9625,0.533,3,1,0.003318
7.202,0.0201,-0.0120,4.9630,0.814,3,1,0.003318
7.301,0.0195,-0.0132,4.9640,0.643,3,1,0.003318
7.402,0.0199,-0.0141,4.9642,0.757,3,1,0.003317
