t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
1.302,-0.0763,-0.0074,4.8349,0.921,3,1,0.039867
1.402,-0.0373,0.0005,4.8476,0.589,3,1,0.020042
1.501,-0.0442,0.0022,4.8458,0.539,3,1,0.013484
1.601,-0.0396,0.0023,4.8427,0.513,3,1,0.010252
1.701,-0.0378,0.0042,4.8378,0.391,3,1,0.008349
1.801,-0.0426,0.0048,4.8363,0.388,3,1,0.007111
1.901,-0.0415,0.0068,4.8277,0.345,3,1,0.006253
2.002,-0.0400,0.0071,4.8256,0.846,3,1,0.005630
2.101,-0.0385,0.0083,4.8276,0.473,3,1,0.005165
2.202,-0.0352,0.0095,4.8273,0.517,3,1,0.004808
2.301,-0.0326,0.0111,4.8261,0.484,3,1,0.004529
2.401,-0.0310,0.0115,4.8224,0.372,3,1,0.004309
2.501,-0.0310,0.0104,4.8199,0.483,3,1,0.004133
2.601,-0.0257,0.0103,4.8206,0.380,3,1,0.003991
2.701,-0.0232,0.0102,4.8206,0.336,3,1,0.003875
2.803,-0.0214,0.0108,4.8217,0.950,3,1,0.003780
2.902,-0.0230,0.0111,4.8240,0.653,3,1,0.003703
3.003,-0.0212,0.0116,4.8224,0.638,3,1,0.003639
3.103,-0.0208,0.0108,4.8184,1.071,3,1,0.003586
3.201,-0.0210,0.0115,4.8210,0.409,3,1,0.003542
3.301,-0.0241,0.0104,4.8180,0.295,3,1,0.003505
3.401,-0.0224,0.0115,4.8170,0.415,3,1,0.003474
3.501,-0.0181,0.0133,4.8149,0.580,3,1,0.003449
3.601,-0.0168,0.0140,4.8160,0.326,3,1,0.003428
3.701,-0.0162,0.0147,4.8151,0.335,3,1,0.003410
3.801,-0.0195,0.0161,4.8145,0.437,3,1,0.003395
3.902,-0.0232,0.0169,4.8140,0.605,3,1,0.003383
4.001,-0.0219,0.0172,4.8118,0.312,3,1,0.003372
4.102,-0.0204,0.0183,4.8110,0.484,3,1,0.003363
4.201,-0.0228,0.0191,4.8103,0.278,3,1,0.003356
4.301,-0.0214,0.0206,4.8123,0.283,3,1,0.003350
4.401,-0.0213,0.0221,4.8130,0.477,3,1,0.003345
4.501,-0.0180,0.0235,4.8130,0.315,3,1,0.003340
4.601,-0.0183,0.0237,4.8128,0.322,3,1,0.003337
4.702,-0.0183,0.0250,4.8144,0.361,3,1,0.003334
4.801,-0.0186,0.0255,4.8141,0.325,3,1,0.003331
4.901,-0.0167,0.0257,4.8152,0.575,3,1,0.003329
5.001,-0.0176,0.0266,4.8155,0.337,3,1,0.003327
5.102,-0.0156,0.0267,4.8144,0.673,3,1,0.003325
5.201,-0.0156,0.0261,4.8121,0.312,3,1,0.003324
5.301,-0.0163,0.0256,4.8140,0.284,3,1,0.003323
5.401,-0.0076,0.0262,4.8140,0.404,3,1,0.003322
5.501,-0.0053,0.0264,4.8147,0.287,3,1,0.003321
5.601,-0.0069,0.0273,4.8140,0.320,3,1,0.003321
5.701,-0.0016,0.0281,4.8146,0.275,3,1,0.003320
5.801,-0.0024,0.0273,4.8165,0.335,3,1,0.003320
5.901,-0.0015,0.0268,4.8179,0.272,3,1,0.003319
6.001,-0.0048,0.0259,4.8164,0.372,3,1,0.003319
6.101,-0.0034,0.0256,4.8168,0.636,3,1,0.003319
6.201,-0.0004,0.0263,4.8153,0.318,3,1,0.003319
6.301,-0.0028,0.0253,4.8151,0.533,3,1,0.003318
6.401,-0.0081,0.0239,4.8164,0.292,3,1,0.003318
6.501,-0.0098,0.0224,4.8174,0.524,3,1,0.003318
6.601,-0.0141,0.0206,4.8196,0.287,3,1,0.003318
6.701,-0.0181,0.0197,4.8211,0.291,3,1,0.003318
6.801,-0.0191,0.0194,4.8230,0.574,3,1,0.003318
6.901,-0.0209,0.0185,4.8239,0.404,3,1,0.003318
7.001,-0.0276,0.0177,4.8206,0.317,3,1,0.003318
7.101,-0.0271,0.0179,4.8241,0.320,3,1,0.003318
7.201,-0.0296,0.0175,4.8230,0.317,3,1,0.003318
7.301,-0.0312,0.0187,4.8254,0.370,3,1,0.003318
7.401,-0.0316,0.0190,4.8241,0.328,3,1,0.003317
7.502,-0.0320,0.0179,4.8245,0.729,3,1,0.003317
7.601,-0.0358,0.0170,4.8220,0.628,3,1,0.003317
7.702,-0.0334,0.0162,4.8207,0.572,3,1,0.003317
7.802,-0.0380,0.0156,4.8219,0.915,3,1,0.003317
7.902,-0.0366,0.0155,4.8203,0.731,3,1,0.003317
8.002,-0.0322,0.0156,4.8216,0.641,3,1,0.003317
8.102,-0.0298,0.0157,4.8207,0.739,3,1,0.003317
8.201,-0.0293,0.0155,4.8238,0.518,3,1,0.003317
8.301,-0.0306,0.0155,4.8205,0.290,3,1,0.003317
8.401,-0.0351,0.0153,4.8183,0.376,3,1,0.003317
8.501,-0.0349,0.0146,4.8165,0.420,3,1,0.003317
8.602,-0.0352,0.0144,4.8168,1.079,3,1,0.003317
8.702,-0.0383,0.0151,4.8169,0.532,3,1,0.003317
8.801,-0.0403,0.0149,4.8190,0.389,3,1,0.003317
8.901,-0.0418,0.0140,4.8174,0.299,3,1,0.003317
9.001,-0.0428,0.0146,4.8192,0.291,3,1,0.003317
9.101,-0.0489,0.0144,4.8182,0.324,3,1,0.003317
9.201,-0.0467,0.0142,4.8187,0.442,3,1,0.003317
9.301,-0.0431,0.0146,4.8209,0.312,3,1,0.003317
9.401,-0.0407,0.0153,4.8187,0.284,3,1,0.003317
9.501,-0.0401,0.0151,4.8179,0.285,3,1,0.003317
9.602,-0.0393,0.0147,4.8164,0.657,3,1,0.003317
9.702,-0.0356,0.0146,4.8163,0.924,3,1,0.003317
9.802,-0.0345,0.0136,4.8169,0.966,3,1,0.003317
9.902,-0.0328,0.0135,4.8174,0.897,3,1,0.003317
10.002,-0.0328,0.0126,4.8186,0.821,3,1,0.003317
10.102,-0.0295,0.0126,4.8226,0.901,3,1,0.003317
10.201,-0.0293,0.0124,4.8251,0.534,3,1,0.003317
10.301,-0.0291,0.0119,4.8265,0.286,3,1,0.003317
10.401,-0.0285,0.0122,4.8272,0.286,3,1,0.003317
10.501,-0.0298,0.0126,4.8256,0.361,3,1,0.003317
10.601,-0.0305,0.0143,4.8250,0.503,3,1,0.003317
10.701,-0.0314,0.0167,4.8254,0.298,3,1,0.003317
10.801,-0.0297,0.0188,4.8276,0.305,3,1,0.003317
10.901,-0.0272,0.0217,4.8285,0.499,3,1,0.003317
11.001,-0.0260,0.0241,4.8267,0.304,3,1,0.003317
11.101,-0.0255,0.0257,4.8286,0.410,3,1,0.003317
11.202,-0.0232,0.0271,4.8290,0.580,3,1,0.003317
11.301,-0.0230,0.0273,4.8292,0.293,3,1,0.003317
11.401,-0.0179,0.0282,4.8269,0.370,3,1,0.003317
11.501,-0.0163,0.0283,4.8256,0.325,3,1,0.003317
11.601,-0.0141,0.0274,4.8248,0.312,3,1,0.003317
11.701,-0.0083,0.0289,4.8248,0.283,3,1,0.003317
11.801,-0.0087,0.0293,4.8257,0.340,3,1,0.003317
11.901,-0.0082,0.0300,4.8242,0.477,3,1,0.003317
12.001,-0.0091,0.0295,4.8262,0.363,3,1,0.003317
12.101,-0.0073,0.0290,4.8276,0.306,3,1,0.003317
12.201,-0.0073,0.0280,4.8290,0.428,3,1,0.003317
12.301,-0.0102,0.0271,4.8309,0.340,3,1,0.003317
12.401,-0.0055,0.0272,4.8309,0.287,3,1,0.003317
12.501,-0.0043,0.0261,4.8285,0.322,3,1,0.003317
12.601,-0.0048,0.0251,4.8300,0.281,3,1,0.003317
12.701,-0.0061,0.0241,4.8311,0.364,3,1,0.003317
12.801,-0.0065,0.0226,4.8315,0.296,3,1,0.003317
12.902,-0.0049,0.0223,4.8325,0.565,3,1,0.003317
13.001,-0.0055,0.0211,4.8337,0.534,3,1,0.003317
13.102,-0.0020,0.0215,4.8312,0.697,3,1,0.003317
13.201,-0.0035,0.0205,4.8304,0.316,3,1,0.003317
13.302,-0.0046,0.0186,4.8319,0.620,3,1,0.003317
13.401,-0.0086,0.0172,4.8353,0.317,3,1,0.003317
13.501,-0.0094,0.0166,4.8353,0.278,3,1,0.003317
13.601,-0.0119,0.0142,4.8315,0.324,3,1,0.003317
13.702,-0.0127,0.0137,4.8323,0.313,3,1,0.003317
13.801,-0.0138,0.0126,4.8307,0.289,3,1,0.003317
13.901,-0.0137,0.0133,4.8323,0.343,3,1,0.003317
14.001,-0.0134,0.0131,4.8340,0.341,3,1,0.003317
14.102,-0.0163,0.0123,4.8353,0.592,3,1,0.003317
14.201,-0.0196,0.0122,4.8348,0.287,3,1,0.003317
14.302,-0.0244,0.0115,4.8350,0.776,3,1,0.003317
14.401,-0.0223,0.0128,4.8380,0.300,3,1,0.003317
14.501,-0.0269,0.0116,4.8377,0.319,3,1,0.003317
14.601,-0.0300,0.0117,4.8392,0.286,3,1,0.003317
14.701,-0.0300,0.0126,4.8408,0.287,3,1,0.003317
14.801,-0.0341,0.0114,4.8436,0.351,3,1,0.003317
14.901,-0.0367,0.0125,4.8413,0.293,3,1,0.003317
15.001,-0.0364,0.0128,4.8414,0.328,3,1,0.003317
15.101,-0.0371,0.0129,4.8407,0.398,3,1,0.003317
15.201,-0.0397,0.0130,4.8395,0.301,3,1,0.003317
15.301,-0.0428,0.0119,4.8410,0.291,3,1,0.003317
15.401,-0.0438,0.0110,4.8402,0.283,3,1,0.003317
15.501,-0.0453,0.0108,4.8408,0.385,3,1,0.003317
15.601,-0.0458,0.0095,4.8396,0.326,3,1,0.003317
15.701,-0.0429,0.0080,4.8407,0.292,3,1,0.003317
15.801,-0.0427,0.0072,4.8391,0.318,3,1,0.003317
15.901,-0.0408,0.0065,4.8389,0.341,3,1,0.003317
16.001,-0.0420,0.0048,4.8370,0.333,3,1,0.003317
16.101,-0.0419,0.0042,4.8377,0.264,3,1,0.003317
16.201,-0.0417,0.0037,4.8377,0.530,3,1,0.003317
16.301,-0.0429,0.0036,4.8365,0.280,3,1,0.003317
16.402,-0.0438,0.0037,4.8383,0.745,3,1,0.003317
16.501,-0.0409,0.0044,4.8372,0.434,3,1,0.003317
16.601,-0.0439,0.0050,4.8373,0.334,3,1,0.003317
16.702,-0.0442,0.0047,4.8373,0.522,3,1,0.003317
16.801,-0.0429,0.0048,4.8356,0.313,3,1,0.003317
16.901,-0.0411,0.0062,4.8354,0.340,3,1,0.003317
17.001,-0.0402,0.0067,4.8344,0.304,3,1,0.003317
17.101,-0.0393,0.0075,4.8355,0.298,3,1,0.003317
17.201,-0.0432,0.0076,4.8366,0.295,3,1,0.003317
17.301,-0.0439,0.0069,4.8351,0.304,3,1,0.003317
17.401,-0.0406,0.0079,4.8358,0.290,3,1,0.003317
17.501,-0.0411,0.0080,4.8339,0.281,3,1,0.003317
17.601,-0.0380,0.0074,4.8363,0.580,3,1,0.003317
17.702,-0.0371,0.0070,4.8375,0.745,3,1,0.003317
17.801,-0.0339,0.0070,4.8401,0.417,3,1,0.003317
17.901,-0.0335,0.0073,4.8390,0.606,3,1,0.003317
18.001,-0.0382,0.0063,4.8412,0.275,3,1,0.003317
18.101,-0.0373,0.0063,4.8407,0.271,3,1,0.003317
18.201,-0.0337,0.0076,4.8425,0.302,3,1,0.003317
18.301,-0.0306,0.0086,4.8439,0.280,3,1,0.003317
18.401,-0.0265,0.0098,4.8419,0.562,3,1,0.003317
18.501,-0.0230,0.0110,4.8419,0.384,3,1,0.003317
18.601,-0.0264,0.0125,4.8422,0.353,3,1,0.003317
18.702,-0.0281,0.0142,4.8427,1.368,3,1,0.003317
18.802,-0.0301,0.0165,4.8401,1.069,3,1,0.003317
18.901,-0.0332,0.0173,4.8405,0.297,3,1,0.003317
19.001,-0.0370,0.0188,4.8407,0.281,3,1,0.003317
19.101,-0.0359,0.0219,4.8410,0.283,3,1,0.003317
19.201,-0.0365,0.0246,4.8385,0.316,3,1,0.003317
19.301,-0.0363,0.0274,4.8376,0.292,3,1,0.003317
19.401,-0.0352,0.0301,4.8376,0.509,3,1,0.003317
19.501,-0.0301,0.0329,4.8401,0.519,3,1,0.003317
19.601,-0.0310,0.0353,4.8412,0.309,3,1,0.003317
19.701,-0.0328,0.0358,4.8417,0.380,3,1,0.003317
19.801,-0.0324,0.0370,4.8408,0.330,3,1,0.003317
19.901,-0.0346,0.0381,4.8381,0.382,3,1,0.003317
20.001,-0.0374,0.0373,4.8389,0.442,3,1,0.003317
20.101,-0.0380,0.0370,4.8365,0.489,3,1,0.003317
20.201,-0.0410,0.0364,4.8349,0.347,3,1,0.003317
20.301,-0.0412,0.0346,4.8341,0.320,3,1,0.003317
20.402,-0.0414,0.0341,4.8303,0.570,3,1,0.003317
20.501,-0.0384,0.0340,4.8298,0.596,3,1,0.003317
20.601,-0.0364,0.0328,4.8287,0.327,3,1,0.003317
20.701,-0.0375,0.0306,4.8288,0.567,3,1,0.003317
20.801,-0.0387,0.0292,4.8272,0.314,3,1,0.003317
