t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
2.944,11.2678,3.8155,4.8905,0.842,1,3,0.469847
3.043,11.3054,3.8144,4.8439,0.377,3,1,0.036864
3.143,11.3087,3.8185,4.8420,0.449,3,1,0.019265
3.244,11.3122,3.8221,4.8371,0.568,3,1,0.013139
3.344,11.3080,3.8259,4.8294,0.595,3,1,0.010059
3.444,11.3019,3.8285,4.8231,0.432,3,1,0.008228
3.543,11.3013,3.8284,4.8204,0.421,3,1,0.007029
3.643,11.3014,3.8318,4.8203,0.414,3,1,0.006194
3.744,11.2983,3.8354,4.8191,0.935,3,1,0.005587
3.843,11.2999,3.8357,4.8198,0.501,3,1,0.005132
3.943,11.2964,3.8339,4.8166,0.421,3,1,0.004782
4.043,11.2913,3.8312,4.8177,0.400,3,1,0.004509
4.144,11.2916,3.8280,4.8165,0.447,3,1,0.004293
4.243,11.2917,3.8270,4.8150,0.426,3,1,0.004120
4.343,11.2897,3.8217,4.8125,0.520,3,1,0.003980
4.443,11.2866,3.8200,4.8076,0.416,3,1,0.003867
4.543,11.2828,3.8173,4.8068,0.361,3,1,0.003773
4.643,11.2807,3.8104,4.8061,0.460,3,1,0.003697
4.747,11.2820,3.8049,4.8057,0.524,3,1,0.003634
4.843,11.2813,3.7993,4.8039,0.352,3,1,0.003582
4.943,11.2759,3.7982,4.8024,0.510,3,1,0.003538
5.044,11.2776,3.7980,4.8000,0.415,3,1,0.003502
5.143,11.2790,3.7907,4.7978,0.375,3,1,0.003472
5.243,11.2808,3.7839,4.7967,0.377,3,1,0.003447
5.345,11.2804,3.7787,4.7961,0.826,3,1,0.003426
5.443,11.2818,3.7764,4.7966,0.507,3,1,0.003409
5.544,11.2839,3.7748,4.7938,0.693,3,1,0.003394
5.645,11.2856,3.7753,4.7908,1.325,3,1,0.003382
5.743,11.2878,3.7745,4.7895,0.557,3,1,0.003371
5.844,11.2885,3.7754,4.7871,0.705,3,1,0.003363
5.944,11.2879,3.7766,4.7866,1.098,3,1,0.003355
6.043,11.2879,3.7769,4.7867,0.367,3,1,0.003349
6.143,11.2894,3.7770,4.7876,0.805,3,1,0.003344
6.244,11.2897,3.7787,4.7903,0.798,3,1,0.003340
6.343,11.2919,3.7781,4.7910,0.433,3,1,0.003336
6.444,11.2926,3.7768,4.7917,0.402,3,1,0.003333
6.544,11.2909,3.7772,4.7936,0.681,3,1,0.003331
6.644,11.2883,3.7768,4.7968,0.766,3,1,0.003329
6.743,11.2882,3.7760,4.7979,0.482,3,1,0.003327
6.845,11.2898,3.7766,4.8001,1.118,3,1,0.003325
6.944,11.2942,3.7787,4.8011,0.503,3,1,0.003324
7.044,11.2910,3.7781,4.8033,0.726,3,1,0.003323
7.143,11.2890,3.7775,4.8042,0.544,3,1,0.003322
7.244,11.2857,3.7756,4.8047,0.452,3,1,0.003321
7.343,11.2863,3.7732,4.8040,0.744,3,1,0.003321
7.446,11.2866,3.7721,4.8042,1.579,3,1,0.003320
7.543,11.2884,3.7706,4.8059,0.645,3,1,0.003320
7.644,11.2882,3.7680,4.8062,0.721,3,1,0.003319
7.743,11.2884,3.7679,4.8085,0.607,3,1,0.003319
7.843,11.2909,3.7663,4.8102,0.669,3,1,0.003319
