t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
1.302,1.9346,0.2051,9.4827,1.093,1,3,1.179743
1.401,1.9346,0.2051,9.4827,0.312,0,4,1.180043
1.502,1.9346,0.2051,9.4827,0.483,0,4,1.180343
1.602,1.9346,0.2051,9.4827,0.440,0,4,1.180643
1.701,1.9346,0.2051,9.4827,0.447,0,4,1.180943
1.802,1.9346,0.2051,9.4827,0.689,0,4,1.181243
1.901,1.9346,0.2051,9.4827,0.547,0,4,1.181543
2.001,1.9346,0.2051,9.4827,0.302,0,4,1.181843
2.101,1.9346,0.2051,9.4827,0.481,0,4,1.182143
2.201,1.9346,0.2051,9.4827,0.363,0,4,1.182443
2.302,1.9346,0.2051,9.4827,0.440,0,4,1.182743
2.401,1.9346,0.2051,9.4827,0.268,0,4,1.183043
2.501,1.9346,0.2051,9.4827,0.271,0,4,1.183343
2.602,1.9346,0.2051,9.4827,0.402,0,4,1.183643
2.701,1.9346,0.2051,9.4827,0.480,0,4,1.183943
2.801,1.9346,0.2051,9.4827,0.390,0,4,1.184243
2.901,1.9346,0.2051,9.4827,0.299,0,4,1.184543
3.002,1.9346,0.2051,9.4827,0.484,0,4,1.184843
3.101,1.9346,0.2051,9.4827,0.301,0,4,1.185143
3.201,1.9346,0.2051,9.4827,0.281,0,4,1.185443
3.301,1.9346,0.2051,9.4827,0.278,0,4,1.185743
3.401,1.9346,0.2051,9.4827,0.455,0,4,1.186043
3.501,1.9346,0.2051,9.4827,0.372,0,4,1.186343
3.601,1.9346,0.2051,9.4827,0.587,0,4,1.186643
3.702,1.9346,0.2051,9.4827,0.360,0,4,1.186943
3.801,1.9346,0.2051,9.4827,0.418,0,4,1.187243
3.901,1.9346,0.2051,9.4827,0.507,0,4,1.187543
4.001,1.9346,0.2051,9.4827,0.255,0,4,1.187843
4.101,1.9346,0.2051,9.4827,0.409,0,4,1.188143
4.201,1.9346,0.2051,9.4827,0.441,0,4,1.188443
4.302,1.9346,0.2051,9.4827,0.292,0,4,1.188743
4.401,1.9346,0.2051,9.4827,0.470,0,4,1.189043
4.501,1.9346,0.2051,9.4827,0.468,0,4,1.189343
4.602,1.9346,0.2051,9.4827,0.618,0,4,1.189643
4.702,1.9346,0.2051,9.4827,0.417,0,4,1.189943
4.801,1.9346,0.2051,9.4827,0.302,0,4,1.190243
4.901,1.9346,0.2051,9.4827,0.277,0,4,1.190543
5.002,1.9346,0.2051,9.4827,0.442,0,4,1.190843
5.101,1.9346,0.2051,9.4827,0.260,0,4,1.191143
5.201,1.9346,0.2051,9.4827,0.298,0,4,1.191443
5.301,1.9346,0.2051,9.4827,0.365,0,4,1.191743
5.401,1.9346,0.2051,9.4827,0.298,0,4,1.192043
5.502,1.9346,0.2051,9.4827,0.606,0,4,1.192343
5.602,1.9346,0.2051,9.4827,0.652,0,4,1.192643
5.702,1.9346,0.2051,9.4827,0.258,0,4,1.192943
5.802,1.9346,0.2051,9.4827,0.284,0,4,1.193243
5.901,1.9346,0.2051,9.4827,0.288,0,4,1.193543
6.001,1.9346,0.2051,9.4827,0.281,0,4,1.193843
6.102,1.9346,0.2051,9.4827,0.370,0,4,1.194143
6.201,1.9346,0.2051,9.4827,0.258,0,4,1.194443
6.301,1.9346,0.2051,9.4827,0.268,0,4,1.194743
6.401,1.9346,0.2051,9.4827,0.296,0,4,1.195043
6.502,1.9346,0.2051,9.4827,0.295,0,4,1.195343
6.602,1.9346,0.2051,9.4827,0.282,0,4,1.195643
6.702,1.9346,0.2051,9.4827,0.404,0,4,1.195943
6.801,1.9346,0.2051,9.4827,0.321,0,4,1.196243
6.901,1.9346,0.2051,9.4827,0.276,0,4,1.196543
7.002,1.9346,0.2051,9.4827,0.560,0,4,1.196843
7.102,1.9346,0.2051,9.4827,0.322,0,4,1.197143
7.201,1.9346,0.2051,9.4827,0.366,0,4,1.197443
7.301,1.9346,0.2051,9.4827,0.323,0,4,1.197743
7.401,1.9346,0.2051,9.4827,0.602,0,4,1.198043
7.502,1.9346,0.2051,9.4827,0.261,0,4,1.198343
7.602,1.9346,0.2051,9.4827,0.539,0,4,1.198643
7.701,1.9346,0.2051,9.4827,0.312,0,4,1.198943
7.802,1.9346,0.2051,9.4827,0.421,0,4,1.199243
7.901,1.9346,0.2051,9.4827,0.369,0,4,1.199543
8.001,1.9346,0.2051,9.4827,0.357,0,4,1.199843
8.101,1.9346,0.2051,9.4827,0.390,0,4,1.200143
8.202,1.9346,0.2051,9.4827,0.402,0,4,1.200443
8.301,1.9346,0.2051,9.4827,0.450,0,4,1.200743
8.402,1.9346,0.2051,9.4827,0.319,0,4,1.201043
8.501,1.9346,0.2051,9.4827,0.490,0,4,1.201343
8.601,1.9346,0.2051,9.4827,0.265,0,4,1.201643
8.701,1.9346,0.2051,9.4827,0.291,0,4,1.201943
8.802,1.9346,0.2051,9.4827,0.265,0,4,1.202243
8.902,1.9346,0.2051,9.4827,0.300,0,4,1.202543
9.001,1.9346,0.2051,9.4827,0.443,0,4,1.202843
9.101,1.9346,0.2051,9.4827,0.487,0,4,1.203143
9.201,1.9346,0.2051,9.4827,0.460,0,4,1.203443
9.302,1.9346,0.2051,9.4827,0.430,0,4,1.203743
9.402,1.9346,0.2051,9.4827,0.420,0,4,1.204043
9.502,1.9346,0.2051,9.4827,0.609,0,4,1.204343
9.601,1.9346,0.2051,9.4827,0.359,0,4,1.204643
9.702,1.9346,0.2051,9.4827,0.458,0,4,1.204943
9.801,1.9346,0.2051,9.4827,0.264,0,4,1.205243
9.902,1.9346,0.2051,9.4827,0.666,0,4,1.205543
10.002,1.9346,0.2051,9.4827,0.431,0,4,1.205843
10.101,1.9346,0.2051,9.4827,0.265,0,4,1.206143
10.202,1.9346,0.2051,9.4827,0.422,0,4,1.206443
10.301,1.9346,0.2051,9.4827,0.375,0,4,1.206743
10.401,1.9346,0.2051,9.4827,0.305,0,4,1.207043
10.502,1.9346,0.2051,9.4827,0.411,0,4,1.207343
10.601,1.9346,0.2051,9.4827,0.427,0,4,1.207643
10.701,1.9346,0.2051,9.4827,0.285,0,4,1.207943
10.802,1.9346,0.2051,9.4827,0.296,0,4,1.208243
10.901,1.9346,0.2051,9.4827,0.262,0,4,1.208543
11.002,1.9346,0.2051,9.4827,0.454,0,4,1.208843
11.102,1.9346,0.2051,9.4827,0.406,0,4,1.209143
11.201,1.9346,0.2051,9.4827,0.275,0,4,1.209443
11.301,1.9346,0.2051,9.4827,0.268,0,4,1.209743
11.401,1.9346,0.2051,9.4827,0.298,0,4,1.210043
11.502,1.9346,0.2051,9.4827,0.478,0,4,1.210343
11.601,1.9346,0.2051,9.4827,0.266,0,4,1.210643
11.701,1.9346,0.2051,9.4827,0.307,0,4,1.210943
11.801,1.9346,0.2051,9.4827,0.451,0,4,1.211243
11.901,1.9346,0.2051,9.4827,0.294,0,4,1.211543
12.001,1.9346,0.2051,9.4827,0.284,0,4,1.211843
12.102,1.9346,0.2051,9.4827,0.419,0,4,1.212143
12.202,1.9346,0.2051,9.4827,0.412,0,4,1.212443
12.303,1.9346,0.2051,9.4827,0.439,0,4,1.212743
12.402,1.9346,0.2051,9.4827,0.377,0,4,1.213043
12.501,1.9346,0.2051,9.4827,0.524,0,4,1.213343
12.601,1.9346,0.2051,9.4827,0.434,0,4,1.213643
12.701,1.9346,0.2051,9.4827,0.478,0,4,1.213943
12.801,1.9346,0.2051,9.4827,0.424,0,4,1.214243
12.901,1.9346,0.2051,9.4827,0.502,0,4,1.214543
13.001,1.9346,0.2051,9.4827,0.342,0,4,1.214843
13.101,1.9346,0.2051,9.4827,0.456,0,4,1.215143
13.201,1.9346,0.2051,9.4827,0.439,0,4,1.215443
13.301,1.9346,0.2051,9.4827,0.281,0,4,1.215743
13.401,1.9346,0.2051,9.4827,0.394,0,4,1.216043
13.501,1.9346,0.2051,9.4827,0.447,0,4,1.216343
13.601,1.9346,0.2051,9.4827,0.358,0,4,1.216643
13.701,1.9346,0.2051,9.4827,0.425,0,4,1.216943
13.801,1.9346,0.2051,9.4827,0.401,0,4,1.217243
13.901,1.9346,0.2051,9.4827,0.317,0,4,1.217543
14.001,1.9346,0.2051,9.4827,0.262,0,4,1.217843
14.101,1.9346,0.2051,9.4827,0.304,0,4,1.218143
14.201,1.9346,0.2051,9.4827,0.283,0,4,1.218443
14.301,1.9346,0.2051,9.4827,0.431,0,4,1.218743
14.401,1.9346,0.2051,9.4827,0.450,0,4,1.219043
14.502,1.9346,0.2051,9.4827,0.404,0,4,1.219343
14.601,1.9346,0.2051,9.4827,0.278,0,4,1.219643
14.702,1.9346,0.2051,9.4827,0.401,0,4,1.219943
14.802,1.9346,0.2051,9.4827,0.403,0,4,1.220243
14.901,1.9346,0.2051,9.4827,0.282,0,4,1.220543
15.001,1.9346,0.2051,9.4827,0.261,0,4,1.220843
15.101,1.9346,0.2051,9.4827,0.292,0,4,1.221143
15.201,1.9346,0.2051,9.4827,0.279,0,4,1.221443
15.302,1.9346,0.2051,9.4827,0.404,0,4,1.221743
15.403,1.9346,0.2051,9.4827,0.293,0,4,1.222043
15.501,1.9346,0.2051,9.4827,0.320,0,4,1.222343
18.367,1.9346,0.2051,9.4827,0.289,0,4,1.222643
18.467,1.9346,0.2051,9.4827,0.257,0,4,1.222943
18.567,1.9346,0.2051,9.4827,0.288,0,4,1.223243
18.667,1.9346,0.2051,9.4827,0.262,0,4,1.223543
18.767,1.9346,0.2051,9.4827,0.284,0,4,1.223843
18.867,1.9346,0.2051,9.4827,0.268,0,4,1.224143
18.968,1.9346,0.2051,9.4827,0.318,0,4,1.224443
19.067,1.9346,0.2051,9.4827,0.268,0,4,1.224743
19.168,1.9346,0.2051,9.4827,0.290,0,4,1.225043
19.267,1.9346,0.2051,9.4827,0.299,0,4,1.225343
19.367,1.9346,0.2051,9.4827,0.260,0,4,1.225643
19.468,1.9346,0.2051,9.4827,0.397,0,4,1.225943
19.567,1.9346,0.2051,9.4827,0.284,0,4,1.226243
19.667,1.9346,0.2051,9.4827,0.280,0,4,1.226543
19.767,1.9346,0.2051,9.4827,0.256,0,4,1.226843
19.867,1.9346,0.2051,9.4827,0.272,0,4,1.227143
19.967,1.9346,0.2051,9.4827,0.284,0,4,1.227443
20.067,1.9346,0.2051,9.4827,0.256,0,4,1.227743
20.167,1.9346,0.2051,9.4827,0.257,0,4,1.228043
20.267,1.9346,0.2051,9.4827,0.297,0,4,1.228343
20.367,1.9346,0.2051,9.4827,0.275,0,4,1.228643
20.468,1.9346,0.2051,9.4827,0.406,0,4,1.228943
20.568,1.9346,0.2051,9.4827,0.422,0,4,1.229243
20.667,1.9346,0.2051,9.4827,0.293,0,4,1.229543
20.767,1.9346,0.2051,9.4827,0.257,0,4,1.229843
20.867,1.9346,0.2051,9.4827,0.291,0,4,1.230143
20.967,1.9346,0.2051,9.4827,0.275,0,4,1.230443
21.067,1.9346,0.2051,9.4827,0.253,0,4,1.230743
21.167,1.9346,0.2051,9.4827,0.285,0,4,1.231043
21.267,1.9346,0.2051,9.4827,0.313,0,4,1.231343
21.367,1.9346,0.2051,9.4827,0.305,0,4,1.231643
21.467,1.9346,0.2051,9.4827,0.262,0,4,1.231943
21.567,1.9346,0.2051,9.4827,0.254,0,4,1.232243
21.668,1.9346,0.2051,9.4827,0.381,0,4,1.232543
21.767,1.9346,0.2051,9.4827,0.256,0,4,1.232843
21.867,1.9346,0.2051,9.4827,0.291,0,4,1.233143
21.967,1.9346,0.2051,9.4827,0.293,0,4,1.233443
22.068,1.9346,0.2051,9.4827,0.381,0,4,1.233743
22.167,1.9346,0.2051,9.4827,0.281,0,4,1.234043
22.268,1.9346,0.2051,9.4827,0.380,0,4,1.234343
22.367,1.9346,0.2051,9.4827,0.299,0,4,1.234643
22.467,1.9346,0.2051,9.4827,0.276,0,4,1.234943
22.567,1.9346,0.2051,9.4827,0.271,0,4,1.235243
22.667,1.9346,0.2051,9.4827,0.252,0,4,1.235543
22.767,1.9346,0.2051,9.4827,0.280,0,4,1.235843
22.867,1.9346,0.2051,9.4827,0.300,0,4,1.236143
22.967,1.9346,0.2051,9.4827,0.293,0,4,1.236443
23.067,1.9346,0.2051,9.4827,0.254,0,4,1.236743
23.167,1.9346,0.2051,9.4827,0.259,0,4,1.237043
23.268,1.9346,0.2051,9.4827,0.516,0,4,1.237343
23.367,1.9346,0.2051,9.4827,0.243,0,4,1.237643
23.467,1.9346,0.2051,9.4827,0.264,0,4,1.237943
23.567,1.9346,0.2051,9.4827,0.253,0,4,1.238243
23.667,1.9346,0.2051,9.4827,0.309,0,4,1.238543
23.767,1.9346,0.2051,9.4827,0.280,0,4,1.238843
23.867,1.9346,0.2051,9.4827,0.267,0,4,1.239143
23.967,1.9346,0.2051,9.4827,0.270,0,4,1.239443
24.067,1.9346,0.2051,9.4827,0.255,0,4,1.239743
24.167,1.9346,0.2051,9.4827,0.245,0,4,1.240043
24.267,1.9346,0.2051,9.4827,0.253,0,4,1.240343
24.368,1.9346,0.2051,9.4827,0.407,0,4,1.240643
24.467,1.9346,0.2051,9.4827,0.426,0,4,1.240943
24.567,1.9346,0.2051,9.4827,0.257,0,4,1.241243
24.667,1.9346,0.2051,9.4827,0.257,0,4,1.241543
24.767,1.9346,0.2051,9.4827,0.264,0,4,1.241843
24.867,1.9346,0.2051,9.4827,0.280,0,4,1.242143
24.968,1.9346,0.2051,9.4827,0.379,0,4,1.242443
25.067,1.9346,0.2051,9.4827,0.283,0,4,1.242743
25.167,1.9346,0.2051,9.4827,0.279,0,4,1.243043
25.268,1.9346,0.2051,9.4827,0.425,0,4,1.243343
25.367,1.9346,0.2051,9.4827,0.280,0,4,1.243643
25.467,1.9346,0.2051,9.4827,0.302,0,4,1.243943
25.568,1.9346,0.2051,9.4827,0.419,0,4,1.244243
25.668,1.9346,0.2051,9.4827,0.319,0,4,1.244543
25.768,1.9346,0.2051,9.4827,0.614,0,4,1.244843
25.868,1.9346,0.2051,9.4827,0.680,0,4,1.245143
25.968,1.9346,0.2051,9.4827,0.765,0,4,1.245443
26.068,1.9346,0.2051,9.4827,0.441,0,4,1.245743
26.168,1.9346,0.2051,9.4827,0.513,0,4,1.246043
26.267,1.9346,0.2051,9.4827,0.256,0,4,1.246343
26.368,1.9346,0.2051,9.4827,0.489,0,4,1.246643
26.467,1.9346,0.2051,9.4827,0.277,0,4,1.246943
26.568,1.9346,0.2051,9.4827,0.419,0,4,1.247243
26.668,1.9346,0.2051,9.4827,0.548,0,4,1.247543
26.768,1.9346,0.2051,9.4827,0.573,0,4,1.247843
26.867,1.9346,0.2051,9.4827,0.442,0,4,1.248143
26.967,1.9346,0.2051,9.4827,0.283,0,4,1.248443
27.067,1.9346,0.2051,9.4827,0.317,0,4,1.248743
27.168,1.9346,0.2051,9.4827,0.470,0,4,1.249043
27.267,1.9346,0.2051,9.4827,0.281,0,4,1.249343
27.367,1.9346,0.2051,9.4827,0.274,0,4,1.249643
27.467,1.9346,0.2051,9.4827,0.274,0,4,1.249943
27.567,1.9346,0.2051,9.4827,0.294,0,4,1.250243
27.667,1.9346,0.2051,9.4827,0.315,0,4,1.250543
27.767,1.9346,0.2051,9.4827,0.374,0,4,1.250843
27.867,1.9346,0.2051,9.4827,0.290,0,4,1.251143
27.967,1.9346,0.2051,9.4827,0.410,0,4,1.251443
28.069,1.9346,0.2051,9.4827,0.404,0,4,1.251743
28.167,1.9346,0.2051,9.4827,0.266,0,4,1.252043
28.267,1.9346,0.2051,9.4827,0.300,0,4,1.252343
28.367,1.9346,0.2051,9.4827,0.269,0,4,1.252643
28.467,1.9346,0.2051,9.4827,0.273,0,4,1.252943
28.567,1.9346,0.2051,9.4827,0.295,0,4,1.253243
28.667,1.9346,0.2051,9.4827,0.308,0,4,1.253543
28.768,1.9346,0.2051,9.4827,0.494,0,4,1.253843
28.867,1.9346,0.2051,9.4827,0.302,0,4,1.254143
28.968,1.9346,0.2051,9.4827,0.442,0,4,1.254443
29.068,1.9346,0.2051,9.4827,0.379,0,4,1.254743
29.168,1.9346,0.2051,9.4827,0.502,0,4,1.255043
29.267,1.9346,0.2051,9.4827,0.269,0,4,1.255343
29.367,1.9346,0.2051,9.4827,0.369,0,4,1.255643
29.467,1.9346,0.2051,9.4827,0.272,0,4,1.255943
29.568,1.9346,0.2051,9.4827,0.316,0,4,1.256243
29.667,1.9346,0.2051,9.4827,0.290,0,4,1.256543
29.767,1.9346,0.2051,9.4827,0.256,0,4,1.256843
29.867,1.9346,0.2051,9.4827,0.297,0,4,1.257143
29.967,1.9346,0.2051,9.4827,0.316,0,4,1.257443
30.068,1.9346,0.2051,9.4827,0.408,0,4,1.257743
30.167,1.9346,0.2051,9.4827,0.268,0,4,1.258043
30.268,1.9346,0.2051,9.4827,0.413,0,4,1.258343
30.368,1.9346,0.2051,9.4827,0.285,0,4,1.258643
30.467,1.9346,0.2051,9.4827,0.267,0,4,1.258943
30.567,1.9346,0.2051,9.4827,0.287,0,4,1.259243
30.668,1.9346,0.2051,9.4827,0.302,0,4,1.259543
30.768,1.9346,0.2051,9.4827,0.469,0,4,1.259843
30.867,1.9346,0.2051,9.4827,0.261,0,4,1.260143
30.968,1.9346,0.2051,9.4827,0.310,0,4,1.260443
31.068,1.9346,0.2051,9.4827,0.437,0,4,1.260743
31.167,1.9346,0.2051,9.4827,0.284,0,4,1.261043
31.267,1.9346,0.2051,9.4827,0.287,0,4,1.261343
31.368,1.9346,0.2051,9.4827,0.502,0,4,1.261643
31.467,1.9346,0.2051,9.4827,0.259,0,4,1.261943
31.568,1.9346,0.2051,9.4827,0.454,0,4,1.262243
31.667,1.9346,0.2051,9.4827,0.300,0,4,1.262543
31.767,1.9346,0.2051,9.4827,0.286,0,4,1.262843
31.868,1.9346,0.2051,9.4827,0.315,0,4,1.263143
31.967,1.9346,0.2051,9.4827,0.254,0,4,1.263443
32.067,1.9346,0.2051,9.4827,0.267,0,4,1.263743
32.167,1.9346,0.2051,9.4827,0.301,0,4,1.264043
32.267,1.9346,0.2051,9.4827,0.279,0,4,1.264343
32.368,1.9346,0.2051,9.4827,0.476,0,4,1.264643
32.468,1.9346,0.2051,9.4827,0.389,0,4,1.264943
32.567,1.9346,0.2051,9.4827,0.302,0,4,1.265243
32.668,1.9346,0.2051,9.4827,0.496,0,4,1.265543
32.767,1.9346,0.2051,9.4827,0.314,0,4,1.265843
32.867,1.9346,0.2051,9.4827,0.323,0,4,1.266143
32.968,1.9346,0.2051,9.4827,0.445,0,4,1.266443
33.068,1.9346,0.2051,9.4827,0.453,0,4,1.266743
33.167,1.9346,0.2051,9.4827,0.378,0,4,1.267043
33.267,1.9346,0.2051,9.4827,0.275,0,4,1.267343
33.368,1.9346,0.2051,9.4827,0.480,0,4,1.267643
33.468,1.9346,0.2051,9.4827,0.787,0,4,1.267943
33.568,1.9346,0.2051,9.4827,0.453,0,4,1.268243
33.667,1.9346,0.2051,9.4827,0.289,0,4,1.268543
33.768,1.9346,0.2051,9.4827,0.287,0,4,1.268843
33.867,1.9346,0.2051,9.4827,0.291,0,4,1.269143
33.968,1.9346,0.2051,9.4827,0.432,0,4,1.269443
34.068,1.9346,0.2051,9.4827,0.442,0,4,1.269743
34.168,1.9346,0.2051,9.4827,0.399,0,4,1.270043
34.268,1.9346,0.2051,9.4827,0.542,0,4,1.270343
34.367,1.9346,0.2051,9.4827,0.278,0,4,1.270643
34.467,1.9346,0.2051,9.4827,0.311,0,4,1.270943
34.567,1.9346,0.2051,9.4827,0.292,0,4,1.271243
34.668,1.9346,0.2051,9.4827,0.384,0,4,1.271543
34.768,1.9346,0.2051,9.4827,0.361,0,4,1.271843
34.868,1.9346,0.2051,9.4827,0.369,0,4,1.272143
34.968,1.9346,0.2051,9.4827,0.369,0,4,1.272443
35.067,1.9346,0.2051,9.4827,0.360,0,4,1.272743
35.168,1.9346,0.2051,9.4827,0.290,0,4,1.273043
35.268,1.9346,0.2051,9.4827,0.309,0,4,1.273343
35.368,1.9346,0.2051,9.4827,0.469,0,4,1.273643
35.468,1.9346,0.2051,9.4827,0.352,0,4,1.273943
35.568,1.9346,0.2051,9.4827,0.280,0,4,1.274243
35.668,1.9346,0.2051,9.4827,0.334,0,4,1.274543
35.768,1.9346,0.2051,9.4827,0.515,0,4,1.274843
35.868,1.9346,0.2051,9.4827,0.295,0,4,1.275143
35.968,1.9346,0.2051,9.4827,0.540,0,4,1.275443
36.068,1.9346,0.2051,9.4827,0.357,0,4,1.275743
36.167,1.9346,0.2051,9.4827,0.391,0,4,1.276043
36.267,1.9346,0.2051,9.4827,0.348,0,4,1.276343
36.368,1.9346,0.2051,9.4827,0.380,0,4,1.276643
36.468,1.9346,0.2051,9.4827,0.430,0,4,1.276943
36.567,1.9346,0.2051,9.4827,0.304,0,4,1.277243
36.668,1.9346,0.2051,9.4827,0.500,0,4,1.277543
36.771,1.9346,0.2051,9.4827,0.410,0,4,1.277843
36.868,1.9346,0.2051,9.4827,0.348,0,4,1.278143
36.968,1.9346,0.2051,9.4827,0.448,0,4,1.278443
37.068,1.9346,0.2051,9.4827,0.442,0,4,1.278743
37.168,1.9346,0.2051,9.4827,0.359,0,4,1.279043
37.268,1.9346,0.2051,9.4827,0.461,0,4,1.279343
37.368,1.9346,0.2051,9.4827,0.366,0,4,1.279643
37.469,1.9346,0.2051,9.4827,0.395,0,4,1.279943
37.568,1.9346,0.2051,9.4827,0.555,0,4,1.280243
37.667,1.9346,0.2051,9.4827,0.267,0,4,1.280543
