t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
4.026,2.2758,0.0000,0.0000,0.593,1,3,0.413799
9.026,2.5090,0.2704,0.0000,0.576,1,3,0.093039
9.125,2.4460,0.2277,-0.0277,0.298,1,3,0.052502
9.225,2.4358,0.2133,-0.0252,0.442,1,3,0.036667
9.324,2.4385,0.2053,-0.0144,0.304,1,3,0.028261
9.425,2.4373,0.2016,-0.0118,0.341,1,3,0.023070
9.525,2.4366,0.1992,-0.0097,0.371,1,3,0.019561
9.625,2.4332,0.1974,-0.0105,0.502,1,3,0.017040
9.725,2.4284,0.1955,-0.0123,0.337,1,3,0.015151
9.825,2.4282,0.1942,-0.0103,0.360,1,3,0.013689
9.924,2.4226,0.1918,-0.0107,0.338,1,3,0.012528
10.025,2.4223,0.1907,-0.0087,0.368,1,3,0.011589
10.125,2.4171,0.1880,-0.0075,0.551,1,3,0.010817
10.225,2.4207,0.1885,-0.0057,0.576,1,3,0.010175
10.325,2.4180,0.1867,-0.0039,0.345,1,3,0.009634
10.425,2.4165,0.1857,-0.0020,0.365,1,3,0.009174
10.525,2.4195,0.1863,-0.0012,0.347,1,3,0.008781
10.625,2.4223,0.1869,-0.0005,0.355,1,3,0.008442
10.725,2.4245,0.1874,-0.0000,0.490,1,3,0.008149
10.825,2.4217,0.1877,0.0021,0.345,1,3,0.007893
10.928,2.4178,0.1883,0.0045,0.624,1,3,0.007669
11.025,2.4194,0.1888,0.0049,0.702,1,3,0.007473
11.126,2.4219,0.1890,0.0046,0.368,1,3,0.007300
11.225,2.4242,0.1893,0.0044,0.349,1,3,0.007147
11.324,2.4224,0.1903,0.0060,0.311,1,3,0.007012
11.425,2.4235,0.1906,0.0061,0.612,1,3,0.006892
11.525,2.4205,0.1914,0.0086,0.473,1,3,0.006786
11.625,2.4224,0.1914,0.0081,0.315,1,3,0.006691
11.725,2.4232,0.1915,0.0083,0.356,1,3,0.006606
11.825,2.4239,0.1916,0.0084,0.411,1,3,0.006530
11.924,2.4254,0.1916,0.0080,0.297,1,3,0.006462
12.025,2.4241,0.1924,0.0091,0.763,1,3,0.006401
12.124,2.4256,0.1923,0.0086,0.307,1,3,0.006347
12.225,2.4244,0.1935,0.0093,0.352,1,3,0.006298
12.325,2.4257,0.1934,0.0089,0.557,1,3,0.006254
12.425,2.4260,0.1939,0.0088,0.414,1,3,0.006215
12.525,2.4254,0.1951,0.0089,0.491,1,3,0.006179
12.625,2.4257,0.1957,0.0086,0.358,1,3,0.006147
12.725,2.4250,0.1972,0.0085,0.493,1,3,0.006119
12.825,2.4256,0.1974,0.0081,0.495,1,3,0.006093
12.925,2.4262,0.1977,0.0077,0.339,1,3,0.006069
13.025,2.4279,0.1966,0.0073,0.588,1,3,0.006048
13.125,2.4295,0.1956,0.0069,0.542,1,3,0.006029
13.225,2.4295,0.1964,0.0063,0.402,1,3,0.006012
13.325,2.4306,0.1958,0.0060,0.753,1,3,0.005997
13.424,2.4323,0.1944,0.0058,0.316,1,3,0.005983
13.525,2.4327,0.1944,0.0055,0.506,1,3,0.005970
13.626,2.4323,0.1951,0.0052,0.493,1,3,0.005959
13.725,2.4338,0.1938,0.0051,0.518,1,3,0.005949
13.825,2.4338,0.1941,0.0047,0.548,1,3,0.005939
13.925,2.4352,0.1928,0.0047,0.445,1,3,0.005931
14.025,2.4347,0.1935,0.0039,0.440,1,3,0.005923
14.125,2.4353,0.1929,0.0034,0.376,1,3,0.005917
14.225,2.4343,0.1934,0.0013,0.528,1,3,0.005910
14.325,2.4357,0.1921,0.0016,0.555,1,3,0.005905
14.425,2.4334,0.1917,-0.0044,0.347,1,3,0.005900
14.525,2.4320,0.1904,-0.0108,0.357,1,3,0.005895
14.625,2.4334,0.1894,-0.0099,0.801,1,3,0.005891
14.724,2.4344,0.1877,-0.0126,0.432,1,3,0.005887
14.825,2.4356,0.1870,-0.0116,0.353,1,3,0.005884
14.924,2.4372,0.1849,-0.0164,0.308,1,3,0.005881
15.025,2.4387,0.1832,-0.0195,0.522,1,3,0.005878
15.125,2.4398,0.1824,-0.0197,0.518,1,3,0.005876
15.225,2.4414,0.1811,-0.0218,0.485,1,3,0.005873
15.325,2.4428,0.1802,-0.0231,0.334,1,3,0.005871
15.425,2.4437,0.1798,-0.0226,0.468,1,3,0.005869
15.525,2.4447,0.1793,-0.0227,0.355,1,3,0.005868
15.625,2.4449,0.1793,-0.0212,0.527,1,3,0.005866
15.725,2.4477,0.1777,-0.0252,0.807,1,3,0.005865
15.826,2.4479,0.1776,-0.0241,1.044,1,3,0.005864
15.924,2.4501,0.1756,-0.0273,0.336,1,3,0.005863
16.025,2.4508,0.1747,-0.0276,0.569,1,3,0.005862
16.127,2.4508,0.1747,-0.0263,0.412,1,3,0.005861
16.225,2.4515,0.1732,-0.0275,0.421,1,3,0.005860
16.325,2.4519,0.1723,-0.0278,0.503,1,3,0.005859
16.425,2.4529,0.1699,-0.0307,0.341,1,3,0.005858
16.525,2.4527,0.1701,-0.0297,0.353,1,3,0.005858
16.625,2.4522,0.1710,-0.0273,0.360,1,3,0.005857
16.725,2.4519,0.1713,-0.0263,0.369,1,3,0.005857
16.825,2.4521,0.1698,-0.0287,0.434,1,3,0.005856
16.925,2.4521,0.1687,-0.0303,0.451,1,3,0.005856
17.025,2.4519,0.1684,-0.0307,0.591,1,3,0.005855
17.125,2.4519,0.1667,-0.0337,0.696,1,3,0.005855
17.225,2.4515,0.1667,-0.0338,0.538,1,3,0.005855
17.325,2.4511,0.1656,-0.0361,0.500,1,3,0.005854
17.425,2.4507,0.1670,-0.0333,0.657,1,3,0.005854
17.525,2.4499,0.1646,-0.0380,0.366,1,3,0.005854
17.625,2.4496,0.1660,-0.0350,0.517,1,3,0.005854
17.725,2.4493,0.1668,-0.0333,0.588,1,3,0.005854
17.825,2.4489,0.1676,-0.0314,0.371,1,3,0.005853
17.925,2.4483,0.1679,-0.0305,0.426,1,3,0.005853
18.025,2.4470,0.1670,-0.0316,0.735,1,3,0.005853
18.125,2.4460,0.1669,-0.0317,0.734,1,3,0.005853
18.225,2.4448,0.1665,-0.0325,0.566,1,3,0.005853
18.325,2.4443,0.1671,-0.0315,0.647,1,3,0.005853
18.425,2.4427,0.1667,-0.0331,0.471,1,3,0.005853
18.525,2.4420,0.1672,-0.0329,0.469,1,3,0.005853
18.625,2.4412,0.1677,-0.0332,0.721,1,3,0.005853
18.725,2.4403,0.1678,-0.0346,0.337,1,3,0.005853
