t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
10.103,4.0000,0.0000,0.0000,0.614,0,4,3.000300
15.617,4.0000,0.0000,0.0000,0.289,0,4,3.000600
21.120,4.0000,0.0000,0.0000,0.206,0,4,3.000900
26.630,4.0000,0.0000,0.0000,0.475,0,4,3.001200
32.133,4.0000,0.0000,0.0000,0.217,0,4,3.001500
37.643,4.0000,0.0000,0.0000,0.362,0,4,3.001800
43.148,4.0000,0.0000,0.0000,0.485,0,4,3.002100
48.650,4.0000,0.0000,0.0000,0.331,0,4,3.002400
54.158,4.0000,0.0000,0.0000,0.356,0,4,3.002700
54.163,2.8508,1.8121,0.6338,0.343,1,3,0.536978
59.659,2.6567,2.1365,0.7421,0.271,1,3,0.098091
59.663,2.6974,2.0625,0.7430,0.518,1,3,0.054063
65.171,2.7365,2.0391,0.7439,0.392,1,3,0.037414
70.680,2.7474,2.0263,0.7443,0.516,1,3,0.028695
76.186,2.7593,2.0285,0.7432,0.441,1,3,0.023353
81.699,2.7593,2.0285,0.7432,0.348,0,4,0.023653
87.214,2.7593,2.0285,0.7432,0.351,0,4,0.023953
92.726,2.7593,2.0285,0.7432,0.408,0,4,0.024253
98.234,2.7593,2.0285,0.7432,0.383,0,4,0.024553
103.746,2.7593,2.0285,0.7432,0.418,0,4,0.024853
109.259,2.7593,2.0285,0.7432,0.213,0,4,0.025153
114.763,2.7593,2.0285,0.7432,0.485,0,4,0.025453
120.280,2.7593,2.0285,0.7432,0.681,0,4,0.025753
125.781,2.7572,2.0341,0.7176,0.287,1,3,0.021405
131.293,2.7462,2.0375,0.7177,0.465,1,3,0.018381
