t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
15.664,4.0253,0.0200,-0.0971,0.826,1,3,0.115385
21.176,4.0253,0.0200,-0.0971,0.259,0,4,0.115685
32.204,4.0253,0.0200,-0.0971,0.401,0,4,0.115985
37.710,4.0253,0.0200,-0.0971,0.223,0,4,0.116285
43.223,4.0253,0.0200,-0.0971,0.379,0,4,0.116585
48.730,4.0253,0.0200,-0.0971,0.313,0,4,0.116885
54.234,4.0113,0.0357,-0.0498,0.293,3,1,0.029821
59.746,4.0167,0.0340,-0.1208,0.284,3,1,0.017182
65.264,4.0181,0.0383,-0.1364,0.562,3,1,0.012165
70.762,4.0256,0.0399,-0.1474,0.473,3,1,0.009504
76.270,4.0290,0.0396,-0.1546,0.258,1,3,0.009063
81.779,4.0290,0.0396,-0.1546,0.408,0,4,0.009363
81.782,4.0290,0.0396,-0.1546,0.406,0,4,0.009663
87.286,4.0290,0.0396,-0.1546,0.359,0,4,0.009963
92.789,4.0290,0.0396,-0.1546,0.379,0,4,0.010263
98.299,4.0355,0.0363,-0.1669,0.367,2,2,0.008982
103.815,4.0364,0.0316,-0.1720,0.583,3,1,0.007534
109.322,4.0416,0.0322,-0.1722,0.304,3,1,0.006551
114.826,4.0419,0.0341,-0.1665,0.429,3,1,0.005849
120.338,4.0411,0.0343,-0.1621,0.545,3,1,0.005330
125.849,4.0398,0.0305,-0.1651,0.432,3,1,0.004935
131.363,4.0419,0.0313,-0.1648,0.325,3,1,0.004629
