t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
3.135,3.9905,0.0705,4.8572,1.090,3,1,0.056175
3.234,4.0122,0.0522,4.8670,0.365,3,1,0.023415
3.334,4.0119,0.0496,4.8767,0.407,3,1,0.014888
3.437,4.0036,0.0496,4.8754,0.389,3,1,0.011008
3.536,4.0125,0.0446,4.8710,1.476,3,1,0.008816
3.635,4.0076,0.0442,4.8694,1.114,3,1,0.007424
3.734,4.0083,0.0440,4.8713,0.453,3,1,0.006474
3.835,4.0057,0.0428,4.8721,0.796,3,1,0.005793
3.935,4.0071,0.0419,4.8740,0.719,3,1,0.005288
4.035,4.0084,0.0436,4.8734,0.477,3,1,0.004903
4.135,4.0090,0.0447,4.8734,0.739,3,1,0.004604
4.235,4.0110,0.0434,4.8750,0.432,3,1,0.004368
4.336,4.0138,0.0457,4.8746,2.330,3,1,0.004180
4.435,4.0121,0.0472,4.8757,0.372,3,1,0.004029
4.536,4.0107,0.0475,4.8768,0.517,3,1,0.003906
4.635,4.0109,0.0457,4.8817,0.879,3,1,0.003806
4.734,4.0115,0.0447,4.8825,0.760,3,1,0.003724
4.834,4.0121,0.0454,4.8851,0.349,3,1,0.003656
4.935,4.0126,0.0446,4.8877,0.552,3,1,0.003600
5.034,4.0132,0.0443,4.8872,0.390,3,1,0.003554
5.135,4.0088,0.0450,4.8872,0.422,3,1,0.003515
5.234,4.0096,0.0448,4.8891,0.625,3,1,0.003483
5.335,4.0115,0.0454,4.8885,0.585,3,1,0.003456
5.435,4.0107,0.0450,4.8888,0.663,3,1,0.003434
5.536,4.0081,0.0438,4.8896,1.893,3,1,0.003415
5.634,4.0092,0.0422,4.8919,0.430,3,1,0.003399
5.735,4.0124,0.0399,4.8949,0.730,3,1,0.003386
5.834,4.0130,0.0363,4.8957,0.371,3,1,0.003375
5.935,4.0100,0.0347,4.8959,0.629,3,1,0.003366
6.036,4.0111,0.0350,4.8983,0.851,3,1,0.003358
6.135,4.0113,0.0369,4.9009,0.569,3,1,0.003352
6.235,4.0092,0.0358,4.8999,0.390,3,1,0.003346
6.335,4.0069,0.0367,4.8968,0.769,3,1,0.003341
6.436,4.0057,0.0350,4.8967,1.203,3,1,0.003338
6.535,4.0041,0.0390,4.8992,0.595,3,1,0.003334
6.635,4.0045,0.0409,4.8985,0.691,3,1,0.003332
6.734,4.0028,0.0422,4.9010,0.471,3,1,0.003329
6.835,4.0019,0.0433,4.9026,0.646,3,1,0.003327
6.934,4.0019,0.0437,4.9039,0.646,3,1,0.003326
7.036,4.0033,0.0437,4.9057,0.899,3,1,0.003325
7.134,4.0000,0.0434,4.9095,0.456,3,1,0.003323
7.235,3.9973,0.0431,4.9142,0.680,3,1,0.003322
7.335,3.9937,0.0434,4.9178,1.013,3,1,0.003322
7.434,3.9931,0.0430,4.9209,0.428,3,1,0.003321
7.534,3.9943,0.0457,4.9242,0.459,3,1,0.003320
7.635,3.9925,0.0449,4.9281,0.928,3,1,0.003320
7.735,3.9913,0.0453,4.9312,0.829,3,1,0.003319
7.836,3.9915,0.0473,4.9351,0.441,3,1,0.003319
7.935,3.9926,0.0471,4.9391,0.822,3,1,0.003319
8.035,3.9912,0.0493,4.9421,0.429,3,1,0.003319
8.134,3.9876,0.0472,4.9472,0.411,3,1,0.003318
8.235,3.9851,0.0497,4.9483,0.893,3,1,0.003318
8.334,3.9873,0.0523,4.9512,0.588,3,1,0.003318
8.435,3.9857,0.0525,4.9542,0.652,3,1,0.003318
8.535,3.9833,0.0529,4.9581,0.562,3,1,0.003318
8.635,3.9875,0.0543,4.9569,0.974,3,1,0.003318
8.734,3.9879,0.0536,4.9594,0.601,3,1,0.003318
8.835,3.9900,0.0549,4.9624,0.602,3,1,0.003318
8.934,3.9920,0.0535,4.9663,0.572,3,1,0.003318
9.034,3.9931,0.0548,4.9691,0.383,3,1,0.003318
9.135,3.9952,0.0577,4.9699,0.843,3,1,0.003318
9.234,3.9953,0.0549,4.9724,0.439,3,1,0.003318
9.335,3.9980,0.0518,4.9757,0.578,3,1,0.003317
9.434,3.9983,0.0517,4.9758,0.562,3,1,0.003317
9.535,3.9993,0.0525,4.9774,0.714,3,1,0.003317
9.635,4.0002,0.0510,4.9771,0.684,3,1,0.003317
9.735,3.9988,0.0479,4.9780,0.524,3,1,0.003317
9.834,4.0009,0.0464,4.9811,0.526,3,1,0.003317
9.935,4.0016,0.0427,4.9822,0.827,3,1,0.003317
10.034,3.9988,0.0421,4.9824,0.604,3,1,0.003317
10.135,3.9970,0.0425,4.9825,0.590,3,1,0.003317
10.235,3.9928,0.0433,4.9854,0.617,3,1,0.003317
10.335,3.9948,0.0429,4.9856,0.743,3,1,0.003317
10.434,3.9931,0.0454,4.9846,0.687,3,1,0.003317
10.534,3.9919,0.0442,4.9853,0.413,3,1,0.003317
10.634,3.9886,0.0449,4.9845,0.508,3,1,0.003317
10.734,3.9842,0.0430,4.9852,0.595,3,1,0.003317
10.835,3.9826,0.0423,4.9866,0.668,3,1,0.003317
10.935,3.9828,0.0440,4.9881,0.992,3,1,0.003317
11.034,3.9860,0.0440,4.9887,0.763,3,1,0.003317
11.134,3.9881,0.0426,4.9886,0.690,3,1,0.003317
11.236,3.9905,0.0438,4.9881,0.717,3,1,0.003317
11.335,3.9921,0.0440,4.9897,1.029,3,1,0.003317
11.435,3.9946,0.0437,4.9895,0.776,3,1,0.003317
11.534,3.9944,0.0452,4.9904,0.495,3,1,0.003317
11.635,3.9949,0.0454,4.9904,0.389,3,1,0.003317
11.734,3.9989,0.0433,4.9880,0.681,3,1,0.003317
