t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
1.103,2.0000,2.0000,0.0000,1.259,0,4,3.000300
1.202,2.0000,2.0000,0.0000,0.528,0,4,3.000600
1.301,2.0000,2.0000,0.0000,0.485,0,4,3.000900
1.401,2.0000,2.0000,0.0000,0.268,0,4,3.001200
1.502,2.0000,2.0000,0.0000,0.423,0,4,3.001500
1.602,2.0000,2.0000,0.0000,0.634,0,4,3.001800
1.702,2.0000,2.0000,0.0000,0.979,0,4,3.002100
1.802,2.0000,2.0000,0.0000,1.221,0,4,3.002400
1.902,2.0000,2.0000,0.0000,0.651,0,4,3.002700
2.001,2.0000,2.0000,0.0000,0.489,0,4,3.003000
2.101,2.0000,2.0000,0.0000,0.453,0,4,3.003300
2.201,2.0000,2.0000,0.0000,0.409,0,4,3.003600
2.301,2.0000,2.0000,0.0000,0.243,0,4,3.003900
2.401,2.0000,2.0000,0.0000,0.361,0,4,3.004200
5.311,2.0000,2.0000,0.0000,0.355,0,4,3.004500
5.411,2.0000,2.0000,0.0000,0.242,0,4,3.004800
5.511,2.0000,2.0000,0.0000,0.246,0,4,3.005100
5.611,2.0000,2.0000,0.0000,0.328,0,4,3.005400
5.711,2.0000,2.0000,0.0000,0.266,0,4,3.005700
5.811,2.0000,2.0000,0.0000,0.324,0,4,3.006000
5.912,2.0000,2.0000,0.0000,0.700,0,4,3.006300
6.011,2.0000,2.0000,0.0000,0.276,0,4,3.006600
6.111,2.0000,2.0000,0.0000,0.459,0,4,3.006900
6.211,2.0000,2.0000,0.0000,0.534,0,4,3.007200
6.311,2.0000,2.0000,0.0000,0.254,0,4,3.007500
6.411,2.0000,2.0000,0.0000,0.494,0,4,3.007800
6.511,2.0000,2.0000,0.0000,0.257,0,4,3.008100
6.612,2.0000,2.0000,0.0000,0.399,0,4,3.008400
6.711,2.0000,2.0000,0.0000,0.270,0,4,3.008700
6.811,2.0000,2.0000,0.0000,0.256,0,4,3.009000
6.911,2.0000,2.0000,0.0000,0.272,0,4,3.009300
7.011,2.0000,2.0000,0.0000,0.359,0,4,3.009600
7.111,2.0000,2.0000,0.0000,0.245,0,4,3.009900
7.211,2.0000,2.0000,0.0000,0.252,0,4,3.010200
7.310,2.0000,2.0000,0.0000,0.257,0,4,3.010500
7.411,2.0000,2.0000,0.0000,0.274,0,4,3.010800
7.511,2.0000,2.0000,0.0000,0.257,0,4,3.011100
7.611,2.0000,2.0000,0.0000,0.463,0,4,3.011400
7.711,2.0000,2.0000,0.0000,0.271,0,4,3.011700
7.811,2.0000,2.0000,0.0000,0.425,0,4,3.012000
7.911,2.0000,2.0000,0.0000,0.346,0,4,3.012300
8.011,2.0000,2.0000,0.0000,0.407,0,4,3.012600
8.111,2.0000,2.0000,0.0000,0.290,0,4,3.012900
8.211,2.0000,2.0000,0.0000,0.343,0,4,3.013200
8.311,2.0000,2.0000,0.0000,0.279,0,4,3.013500
8.411,2.0000,2.0000,0.0000,0.463,0,4,3.013800
8.511,2.0000,2.0000,0.0000,0.372,0,4,3.014100
8.611,2.0000,2.0000,0.0000,0.490,0,4,3.014400
8.711,2.0000,2.0000,0.0000,0.343,0,4,3.014700
8.811,2.0000,2.0000,0.0000,0.828,0,4,3.015000
8.911,2.0000,2.0000,0.0000,0.374,0,4,3.015300
9.011,2.0000,2.0000,0.0000,0.290,0,4,3.015600
9.111,2.0000,2.0000,0.0000,0.296,0,4,3.015900
9.211,2.0000,2.0000,0.0000,0.838,0,4,3.016200
9.311,2.0000,2.0000,0.0000,0.355,0,4,3.016500
9.411,2.0000,2.0000,0.0000,0.608,0,4,3.016800
9.511,2.0000,2.0000,0.0000,0.317,0,4,3.017100
9.611,2.0000,2.0000,0.0000,0.323,0,4,3.017400
9.711,2.0000,2.0000,0.0000,0.500,0,4,3.017700
9.811,2.0000,2.0000,0.0000,0.304,0,4,3.018000
9.911,2.0000,2.0000,0.0000,0.385,0,4,3.018300
10.011,2.0000,2.0000,0.0000,0.439,0,4,3.018600
10.111,2.0000,2.0000,0.0000,0.257,0,4,3.018900
10.211,2.0000,2.0000,0.0000,0.242,0,4,3.019200
10.311,2.0000,2.0000,0.0000,0.251,0,4,3.019500
10.411,2.0000,2.0000,0.0000,0.389,0,4,3.019800
10.511,2.0000,2.0000,0.0000,0.249,0,4,3.020100
10.612,2.0000,2.0000,0.0000,0.733,0,4,3.020400
10.711,2.0000,2.0000,0.0000,0.541,0,4,3.020700
10.811,2.0000,2.0000,0.0000,0.528,0,4,3.021000
10.911,2.0000,2.0000,0.0000,0.370,0,4,3.021300
11.011,2.0000,2.0000,0.0000,0.732,0,4,3.021600
11.111,2.0000,2.0000,0.0000,0.302,0,4,3.021900
11.211,2.0000,2.0000,0.0000,0.601,0,4,3.022200
11.312,2.0000,2.0000,0.0000,0.426,0,4,3.022500
11.411,2.0000,2.0000,0.0000,0.494,0,4,3.022800
11.511,2.0000,2.0000,0.0000,0.462,0,4,3.023100
11.611,2.0000,2.0000,0.0000,0.296,0,4,3.023400
11.711,2.0000,2.0000,0.0000,0.450,0,4,3.023700
11.811,2.0000,2.0000,0.0000,0.262,0,4,3.024000
11.911,2.0000,2.0000,0.0000,0.628,0,4,3.024300
12.011,2.0000,2.0000,0.0000,0.447,0,4,3.024600
12.112,2.0000,2.0000,0.0000,0.489,0,4,3.024900
12.211,2.0000,2.0000,0.0000,0.598,0,4,3.025200
12.311,2.0000,2.0000,0.0000,0.639,0,4,3.025500
12.411,2.0000,2.0000,0.0000,0.401,0,4,3.025800
12.511,2.0000,2.0000,0.0000,0.799,0,4,3.026100
12.611,2.0000,2.0000,0.0000,0.341,0,4,3.026400
12.711,2.0000,2.0000,0.0000,0.694,0,4,3.026700
12.811,2.0000,2.0000,0.0000,0.314,0,4,3.027000
12.911,2.0000,2.0000,0.0000,0.273,0,4,3.027300
13.011,2.0000,2.0000,0.0000,0.333,0,4,3.027600
13.111,2.0000,2.0000,0.0000,0.286,0,4,3.027900
13.211,2.0000,2.0000,0.0000,0.293,0,4,3.028200
13.311,2.0000,2.0000,0.0000,0.248,0,4,3.028500
13.411,2.0000,2.0000,0.0000,0.266,0,4,3.028800
13.511,2.0000,2.0000,0.0000,0.277,0,4,3.029100
13.611,2.0000,2.0000,0.0000,0.297,0,4,3.029400
13.711,2.0000,2.0000,0.0000,0.644,0,4,3.029700
13.811,2.0000,2.0000,0.0000,0.279,0,4,3.030000
13.911,2.0000,2.0000,0.0000,0.425,0,4,3.030300
14.011,2.0000,2.0000,0.0000,0.271,0,4,3.030600
14.111,2.0000,2.0000,0.0000,0.763,0,4,3.030900
14.211,2.0000,2.0000,0.0000,0.308,0,4,3.031200
14.311,2.0000,2.0000,0.0000,0.279,0,4,3.031500
14.412,2.0000,2.0000,0.0000,0.756,0,4,3.031800
14.511,2.0000,2.0000,0.0000,0.336,0,4,3.032100
14.611,2.0000,2.0000,0.0000,0.278,0,4,3.032400
14.711,2.0000,2.0000,0.0000,0.262,0,4,3.032700
14.811,2.0000,2.0000,0.0000,0.262,0,4,3.033000
14.911,2.0000,2.0000,0.0000,0.619,0,4,3.033300
15.011,2.0000,2.0000,0.0000,0.403,0,4,3.033600
15.111,2.0000,2.0000,0.0000,0.426,0,4,3.033900
15.211,2.0000,2.0000,0.0000,0.294,0,4,3.034200
15.311,2.0000,2.0000,0.0000,0.320,0,4,3.034500
15.412,2.0000,2.0000,0.0000,0.866,0,4,3.034800
15.511,2.0000,2.0000,0.0000,0.279,0,4,3.035100
15.611,2.0000,2.0000,0.0000,0.416,0,4,3.035400
15.710,2.0000,2.0000,0.0000,0.261,0,4,3.035700
15.811,2.0000,2.0000,0.0000,0.282,0,4,3.036000
15.912,2.0000,2.0000,0.0000,0.451,0,4,3.036300
16.011,2.0000,2.0000,0.0000,0.265,0,4,3.036600
16.111,2.0000,2.0000,0.0000,0.248,0,4,3.036900
16.212,2.0000,2.0000,0.0000,1.064,0,4,3.037200
16.311,2.0000,2.0000,0.0000,0.282,0,4,3.037500
16.411,2.0000,2.0000,0.0000,0.513,0,4,3.037800
16.511,2.0000,2.0000,0.0000,0.275,0,4,3.038100
16.611,2.0000,2.0000,0.0000,0.579,0,4,3.038400
16.711,2.0000,2.0000,0.0000,0.267,0,4,3.038700
16.811,2.0000,2.0000,0.0000,0.282,0,4,3.039000
16.911,2.0000,2.0000,0.0000,0.259,0,4,3.039300
17.011,2.0000,2.0000,0.0000,0.322,0,4,3.039600
17.111,2.0000,2.0000,0.0000,0.273,0,4,3.039900
17.211,2.0000,2.0000,0.0000,0.268,0,4,3.040200
17.311,2.0000,2.0000,0.0000,0.370,0,4,3.040500
17.411,2.0000,2.0000,0.0000,0.437,0,4,3.040800
17.511,2.0000,2.0000,0.0000,0.434,0,4,3.041100
17.611,2.0000,2.0000,0.0000,0.329,0,4,3.041400
17.711,2.0000,2.0000,0.0000,0.319,0,4,3.041700
17.811,2.0000,2.0000,0.0000,0.321,0,4,3.042000
17.911,2.0000,2.0000,0.0000,0.270,0,4,3.042300
18.011,2.0000,2.0000,0.0000,0.338,0,4,3.042600
18.111,2.0000,2.0000,0.0000,0.288,0,4,3.042900
18.211,2.0000,2.0000,0.0000,0.477,0,4,3.043200
18.311,2.0000,2.0000,0.0000,0.360,0,4,3.043500
18.411,2.0000,2.0000,0.0000,0.326,0,4,3.043800
18.511,2.0000,2.0000,0.0000,0.268,0,4,3.044100
18.611,2.0000,2.0000,0.0000,0.298,0,4,3.044400
18.711,2.0000,2.0000,0.0000,0.272,0,4,3.044700
18.811,2.0000,2.0000,0.0000,0.380,0,4,3.045000
18.911,2.0000,2.0000,0.0000,0.356,0,4,3.045300
19.011,2.0000,2.0000,0.0000,0.310,0,4,3.045600
19.111,2.0000,2.0000,0.0000,0.280,0,4,3.045900
19.211,2.0000,2.0000,0.0000,0.337,0,4,3.046200
19.311,2.0000,2.0000,0.0000,0.267,0,4,3.046500
19.412,2.0000,2.0000,0.0000,0.737,0,4,3.046800
19.512,2.0000,2.0000,0.0000,0.488,0,4,3.047100
19.611,2.0000,2.0000,0.0000,0.317,0,4,3.047400
