t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
1.002,2.0000,2.0000,0.0000,0.881,0,4,3.000300
1.102,2.0000,2.0000,0.0000,0.504,0,4,3.000600
1.201,2.0000,2.0000,0.0000,0.309,0,4,3.000900
1.302,2.0000,2.0000,0.0000,0.470,0,4,3.001200
1.402,2.0000,2.0000,0.0000,0.325,0,4,3.001500
1.503,2.0000,2.0000,0.0000,0.520,0,4,3.001800
1.603,2.0000,2.0000,0.0000,0.479,0,4,3.002100
1.702,2.0000,2.0000,0.0000,0.515,0,4,3.002400
1.802,2.0000,2.0000,0.0000,0.552,0,4,3.002700
1.902,2.0000,2.0000,0.0000,0.475,0,4,3.003000
2.002,2.0000,2.0000,0.0000,0.461,0,4,3.003300
2.102,2.0000,2.0000,0.0000,0.767,0,4,3.003600
2.201,2.0000,2.0000,0.0000,0.421,0,4,3.003900
2.302,2.0000,2.0000,0.0000,0.579,0,4,3.004200
2.402,2.0000,2.0000,0.0000,0.982,0,4,3.004500
2.502,2.0000,2.0000,0.0000,0.462,0,4,3.004800
2.602,2.0000,2.0000,0.0000,0.494,0,4,3.005100
2.702,2.0000,2.0000,0.0000,0.443,0,4,3.005400
2.802,2.0000,2.0000,0.0000,0.496,0,4,3.005700
2.901,2.0000,2.0000,0.0000,0.389,0,4,3.006000
3.002,2.0000,2.0000,0.0000,0.659,0,4,3.006300
3.101,2.0000,2.0000,0.0000,0.454,0,4,3.006600
3.202,2.0000,2.0000,0.0000,0.465,0,4,3.006900
3.302,2.0000,2.0000,0.0000,0.324,0,4,3.007200
3.401,2.0000,2.0000,0.0000,0.375,0,4,3.007500
3.502,2.0000,2.0000,0.0000,0.323,0,4,3.007800
3.601,2.0000,2.0000,0.0000,0.427,0,4,3.008100
3.702,2.0000,2.0000,0.0000,0.468,0,4,3.008400
3.802,2.0000,2.0000,0.0000,0.344,0,4,3.008700
3.902,2.0000,2.0000,0.0000,0.516,0,4,3.009000
4.002,2.0000,2.0000,0.0000,0.731,0,4,3.009300
4.101,2.0000,2.0000,0.0000,0.367,0,4,3.009600
4.202,2.0000,2.0000,0.0000,0.440,0,4,3.009900
4.301,2.0000,2.0000,0.0000,0.491,0,4,3.010200
4.402,2.0000,2.0000,0.0000,0.567,0,4,3.010500
4.501,2.0000,2.0000,0.0000,0.488,0,4,3.010800
4.602,2.0000,2.0000,0.0000,0.470,0,4,3.011100
4.701,2.0000,2.0000,0.0000,0.591,0,4,3.011400
4.801,2.0000,2.0000,0.0000,0.448,0,4,3.011700
4.902,2.0000,2.0000,0.0000,0.688,0,4,3.012000
5.002,2.0000,2.0000,0.0000,0.680,0,4,3.012300
5.102,2.0000,2.0000,0.0000,0.319,0,4,3.012600
5.201,2.0000,2.0000,0.0000,0.568,0,4,3.012900
5.301,2.0000,2.0000,0.0000,0.345,0,4,3.013200
5.401,2.0000,2.0000,0.0000,0.399,0,4,3.013500
5.502,2.0000,2.0000,0.0000,0.714,0,4,3.013800
5.602,2.0000,2.0000,0.0000,0.359,0,4,3.014100
5.702,2.0000,2.0000,0.0000,0.315,0,4,3.014400
5.802,2.0000,2.0000,0.0000,0.656,0,4,3.014700
5.902,2.0000,2.0000,0.0000,0.362,0,4,3.015000
6.001,2.0000,2.0000,0.0000,0.386,0,4,3.015300
6.102,2.0000,2.0000,0.0000,0.438,0,4,3.015600
6.202,2.0000,2.0000,0.0000,0.627,0,4,3.015900
6.302,2.0000,2.0000,0.0000,0.518,0,4,3.016200
6.402,2.0000,2.0000,0.0000,0.567,0,4,3.016500
6.502,2.0000,2.0000,0.0000,0.530,0,4,3.016800
6.602,2.0000,2.0000,0.0000,0.728,0,4,3.017100
6.701,2.0000,2.0000,0.0000,0.403,0,4,3.017400
6.802,2.0000,2.0000,0.0000,0.365,0,4,3.017700
6.902,2.0000,2.0000,0.0000,0.329,0,4,3.018000
7.002,2.0000,2.0000,0.0000,0.667,0,4,3.018300
7.101,2.0000,2.0000,0.0000,0.327,0,4,3.018600
7.202,2.0000,2.0000,0.0000,0.441,0,4,3.018900
7.302,2.0000,2.0000,0.0000,0.393,0,4,3.019200
7.402,2.0000,2.0000,0.0000,0.682,0,4,3.019500
7.502,2.0000,2.0000,0.0000,0.935,0,4,3.019800
7.601,2.0000,2.0000,0.0000,0.393,0,4,3.020100
7.702,2.0000,2.0000,0.0000,0.367,0,4,3.020400
7.802,2.0000,2.0000,0.0000,1.120,0,4,3.020700
7.903,2.0000,2.0000,0.0000,0.520,0,4,3.021000
8.002,2.0000,2.0000,0.0000,0.566,0,4,3.021300
8.102,2.0000,2.0000,0.0000,0.515,0,4,3.021600
8.202,2.0000,2.0000,0.0000,0.432,0,4,3.021900
8.302,2.0000,2.0000,0.0000,0.546,0,4,3.022200
8.401,2.0000,2.0000,0.0000,0.386,0,4,3.022500
8.501,2.0000,2.0000,0.0000,0.478,0,4,3.022800
8.602,2.0000,2.0000,0.0000,0.433,0,4,3.023100
8.703,2.0000,2.0000,0.0000,0.481,0,4,3.023400
8.801,2.0000,2.0000,0.0000,0.471,0,4,3.023700
8.903,2.0000,2.0000,0.0000,0.386,0,4,3.024000
9.002,2.0000,2.0000,0.0000,0.349,0,4,3.024300
9.102,2.0000,2.0000,0.0000,0.470,0,4,3.024600
9.201,2.0000,2.0000,0.0000,0.340,0,4,3.024900
9.302,2.0000,2.0000,0.0000,0.608,0,4,3.025200
9.402,2.0000,2.0000,0.0000,0.830,0,4,3.025500
9.502,2.0000,2.0000,0.0000,0.314,0,4,3.025800
9.603,2.0000,2.0000,0.0000,0.645,0,4,3.026100
9.702,2.0000,2.0000,0.0000,0.700,0,4,3.026400
9.801,2.0000,2.0000,0.0000,0.390,0,4,3.026700
9.902,2.0000,2.0000,0.0000,0.859,0,4,3.027000
10.001,2.0000,2.0000,0.0000,0.493,0,4,3.027300
10.102,2.0000,2.0000,0.0000,0.486,0,4,3.027600
10.201,2.0000,2.0000,0.0000,0.445,0,4,3.027900
10.302,2.0000,2.0000,0.0000,0.354,0,4,3.028200
10.402,2.0000,2.0000,0.0000,0.349,0,4,3.028500
10.502,2.0000,2.0000,0.0000,0.336,0,4,3.028800
10.601,2.0000,2.0000,0.0000,0.429,0,4,3.029100
10.702,2.0000,2.0000,0.0000,0.467,0,4,3.029400
10.801,2.0000,2.0000,0.0000,0.529,0,4,3.029700
10.901,2.0000,2.0000,0.0000,0.347,0,4,3.030000
11.002,2.0000,2.0000,0.0000,0.651,0,4,3.030300
11.102,2.0000,2.0000,0.0000,0.503,0,4,3.030600
11.202,2.0000,2.0000,0.0000,0.441,0,4,3.030900
11.301,2.0000,2.0000,0.0000,0.362,0,4,3.031200
11.402,2.0000,2.0000,0.0000,0.297,0,4,3.031500
11.501,2.0000,2.0000,0.0000,0.283,0,4,3.031800
11.602,2.0000,2.0000,0.0000,0.342,0,4,3.032100
11.701,2.0000,2.0000,0.0000,0.313,0,4,3.032400
11.802,2.0000,2.0000,0.0000,0.555,0,4,3.032700
11.903,2.0000,2.0000,0.0000,0.481,0,4,3.033000
12.002,2.0000,2.0000,0.0000,0.382,0,4,3.033300
12.101,2.0000,2.0000,0.0000,0.418,0,4,3.033600
12.202,2.0000,2.0000,0.0000,0.613,0,4,3.033900
12.301,2.0000,2.0000,0.0000,0.293,0,4,3.034200
12.401,2.0000,2.0000,0.0000,0.429,0,4,3.034500
12.502,2.0000,2.0000,0.0000,0.336,0,4,3.034800
12.601,2.0000,2.0000,0.0000,0.325,0,4,3.035100
12.705,2.0000,2.0000,0.0000,2.932,0,4,3.035400
12.802,2.0000,2.0000,0.0000,0.352,0,4,3.035700
12.902,2.0000,2.0000,0.0000,0.304,0,4,3.036000
13.001,2.0000,2.0000,0.0000,0.279,0,4,3.036300
13.102,2.0000,2.0000,0.0000,0.337,0,4,3.036600
13.201,2.0000,2.0000,0.0000,0.414,0,4,3.036900
13.301,2.0000,2.0000,0.0000,0.334,0,4,3.037200
13.402,2.0000,2.0000,0.0000,0.365,0,4,3.037500
13.502,2.0000,2.0000,0.0000,0.385,0,4,3.037800
13.602,2.0000,2.0000,0.0000,0.405,0,4,3.038100
13.701,2.0000,2.0000,0.0000,0.439,0,4,3.038400
13.801,2.0000,2.0000,0.0000,0.540,0,4,3.038700
13.902,2.0000,2.0000,0.0000,0.355,0,4,3.039000
14.003,2.0000,2.0000,0.0000,0.646,0,4,3.039300
14.101,2.0000,2.0000,0.0000,0.455,0,4,3.039600
14.202,2.0000,2.0000,0.0000,0.324,0,4,3.039900
14.301,2.0000,2.0000,0.0000,0.316,0,4,3.040200
14.403,2.0000,2.0000,0.0000,0.651,0,4,3.040500
14.501,2.0000,2.0000,0.0000,0.330,0,4,3.040800
14.602,2.0000,2.0000,0.0000,0.413,0,4,3.041100
14.702,2.0000,2.0000,0.0000,0.454,0,4,3.041400
14.801,2.0000,2.0000,0.0000,0.487,0,4,3.041700
14.902,2.0000,2.0000,0.0000,0.348,0,4,3.042000
15.001,2.0000,2.0000,0.0000,0.378,0,4,3.042300
15.102,2.0000,2.0000,0.0000,0.478,0,4,3.042600
15.202,2.0000,2.0000,0.0000,0.463,0,4,3.042900
15.302,2.0000,2.0000,0.0000,0.346,0,4,3.043200
15.402,2.0000,2.0000,0.0000,0.485,0,4,3.043500
15.502,2.0000,2.0000,0.0000,0.487,0,4,3.043800
15.602,2.0000,2.0000,0.0000,0.474,0,4,3.044100
15.702,2.0000,2.0000,0.0000,0.650,0,4,3.044400
15.803,2.0000,2.0000,0.0000,0.704,0,4,3.044700
15.902,2.0000,2.0000,0.0000,0.370,0,4,3.045000
16.002,2.0000,2.0000,0.0000,0.369,0,4,3.045300
16.103,2.0000,2.0000,0.0000,1.506,0,4,3.045600
16.202,2.0000,2.0000,0.0000,0.711,0,4,3.045900
16.301,2.0000,2.0000,0.0000,0.486,0,4,3.046200
16.402,2.0000,2.0000,0.0000,0.319,0,4,3.046500
16.501,2.0000,2.0000,0.0000,0.332,0,4,3.046800
16.604,2.0000,2.0000,0.0000,0.462,0,4,3.047100
