t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
1.202,2.0000,2.0000,0.0000,1.189,0,4,3.000300
1.301,2.0000,2.0000,0.0000,0.349,0,4,3.000600
1.401,2.0000,2.0000,0.0000,0.338,0,4,3.000900
1.501,2.0000,2.0000,0.0000,0.357,0,4,3.001200
1.601,2.0000,2.0000,0.0000,0.444,0,4,3.001500
1.702,2.0000,2.0000,0.0000,0.452,0,4,3.001800
1.802,2.0000,2.0000,0.0000,0.348,0,4,3.002100
1.902,2.0000,2.0000,0.0000,0.438,0,4,3.002400
2.001,2.0000,2.0000,0.0000,0.325,0,4,3.002700
2.102,2.0000,2.0000,0.0000,0.293,0,4,3.003000
2.202,2.0000,2.0000,0.0000,0.656,0,4,3.003300
2.301,2.0000,2.0000,0.0000,0.299,0,4,3.003600
2.402,2.0000,2.0000,0.0000,0.413,0,4,3.003900
2.501,2.0000,2.0000,0.0000,0.470,0,4,3.004200
2.601,2.0000,2.0000,0.0000,0.590,0,4,3.004500
2.701,2.0000,2.0000,0.0000,0.318,0,4,3.004800
2.801,2.0000,2.0000,0.0000,0.395,0,4,3.005100
2.901,2.0000,2.0000,0.0000,0.415,0,4,3.005400
3.002,2.0000,2.0000,0.0000,0.288,0,4,3.005700
3.101,2.0000,2.0000,0.0000,0.364,0,4,3.006000
3.201,2.0000,2.0000,0.0000,0.405,0,4,3.006300
3.303,2.0000,2.0000,0.0000,0.274,0,4,3.006600
3.402,2.0000,2.0000,0.0000,0.549,0,4,3.006900
3.501,2.0000,2.0000,0.0000,0.356,0,4,3.007200
3.601,2.0000,2.0000,0.0000,0.456,0,4,3.007500
3.701,2.0000,2.0000,0.0000,0.288,0,4,3.007800
3.801,2.0000,2.0000,0.0000,0.250,0,4,3.008100
3.901,2.0000,2.0000,0.0000,0.367,0,4,3.008400
4.001,2.0000,2.0000,0.0000,0.343,0,4,3.008700
4.103,2.0000,2.0000,0.0000,0.464,0,4,3.009000
4.202,2.0000,2.0000,0.0000,0.289,0,4,3.009300
4.301,2.0000,2.0000,0.0000,0.313,0,4,3.009600
4.402,2.0000,2.0000,0.0000,0.306,0,4,3.009900
4.502,2.0000,2.0000,0.0000,0.408,0,4,3.010200
4.602,2.0000,2.0000,0.0000,0.328,0,4,3.010500
4.701,2.0000,2.0000,0.0000,0.463,0,4,3.010800
4.802,2.0000,2.0000,0.0000,0.265,0,4,3.011100
4.901,2.0000,2.0000,0.0000,0.336,0,4,3.011400
5.002,2.0000,2.0000,0.0000,0.391,0,4,3.011700
5.101,2.0000,2.0000,0.0000,0.315,0,4,3.012000
5.202,2.0000,2.0000,0.0000,0.446,0,4,3.012300
5.302,2.0000,2.0000,0.0000,0.277,0,4,3.012600
5.401,2.0000,2.0000,0.0000,0.254,0,4,3.012900
5.501,2.0000,2.0000,0.0000,0.271,0,4,3.013200
