t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
10.133,4.0055,1.7180,-0.0599,0.429,1,3,0.115385
15.649,3.9752,2.0089,0.0945,0.575,3,1,0.029723
21.156,4.0131,2.0315,0.0637,0.261,2,2,0.020010
26.665,4.0131,2.0315,0.0637,0.376,0,4,0.020310
32.172,4.0015,2.0116,0.0639,0.389,1,3,0.017589
43.182,4.0065,2.0122,0.1288,0.494,1,3,0.015613
48.688,4.0064,2.0147,0.1624,0.375,1,3,0.014050
54.198,3.9944,2.0167,0.1835,0.487,1,3,0.012817
59.711,3.9968,2.0111,0.2041,0.267,1,3,0.011825
65.219,3.9983,2.0063,0.2183,0.337,1,3,0.011012
70.728,3.9987,2.0043,0.2242,0.448,1,3,0.010338
76.245,3.9970,2.0027,0.2351,0.346,1,3,0.009771
81.760,3.9966,2.0025,0.2374,0.256,1,3,0.009292
87.276,3.9982,2.0008,0.2425,0.259,1,3,0.008882
92.784,3.9981,2.0005,0.2439,0.440,1,3,0.008529
98.287,3.9979,1.9998,0.2481,0.479,1,3,0.008224
103.795,3.9997,1.9978,0.2515,0.427,1,3,0.007959
109.303,4.0009,1.9980,0.2498,0.275,1,3,0.007727
114.811,4.0002,1.9978,0.2467,0.281,1,3,0.007524
120.314,3.9991,1.9961,0.2547,0.457,1,3,0.007345
125.830,3.9970,1.9948,0.2637,0.306,1,3,0.007187
131.330,3.9966,1.9940,0.2693,0.481,1,3,0.007047
