t_sec,x,y,z,solve_ms,n_passed_gate,n_rejected_gate,trace_P
1.201,4.0099,2.0492,4.7408,0.666,3,1,0.056560
1.301,4.0257,2.0595,4.7852,0.316,3,1,0.023481
1.402,4.0167,2.0528,4.7990,0.341,3,1,0.014914
1.501,4.0141,2.0443,4.8157,0.344,3,1,0.011022
1.601,4.0115,2.0352,4.8245,0.342,3,1,0.008824
1.701,4.0106,2.0356,4.8280,0.338,3,1,0.007430
1.801,4.0134,2.0437,4.8324,0.343,3,1,0.006478
1.901,4.0125,2.0396,4.8324,0.379,3,1,0.005796
2.001,4.0158,2.0391,4.8337,0.436,3,1,0.005290
2.101,4.0137,2.0364,4.8345,0.331,3,1,0.004904
2.202,4.0125,2.0381,4.8388,0.358,3,1,0.004605
2.301,4.0137,2.0355,4.8418,0.586,3,1,0.004369
2.401,4.0105,2.0353,4.8439,0.354,3,1,0.004181
2.501,4.0132,2.0350,4.8464,0.322,3,1,0.004030
2.602,4.0113,2.0363,4.8493,0.528,3,1,0.003907
2.701,4.0114,2.0357,4.8497,0.312,3,1,0.003807
2.802,4.0081,2.0363,4.8514,0.357,3,1,0.003724
2.902,4.0041,2.0347,4.8523,0.580,3,1,0.003656
3.002,4.0001,2.0346,4.8551,0.576,3,1,0.003600
3.101,3.9964,2.0320,4.8542,0.352,3,1,0.003554
3.202,3.9923,2.0304,4.8560,0.347,3,1,0.003515
3.301,3.9915,2.0289,4.8553,0.339,3,1,0.003483
3.401,3.9925,2.0299,4.8568,0.384,3,1,0.003456
3.501,3.9922,2.0321,4.8579,0.475,3,1,0.003434
3.601,3.9908,2.0301,4.8599,0.494,3,1,0.003415
3.702,3.9905,2.0291,4.8594,0.343,3,1,0.003399
3.801,3.9918,2.0294,4.8598,0.420,3,1,0.003386
3.901,3.9926,2.0284,4.8610,0.319,3,1,0.003375
4.002,3.9914,2.0274,4.8643,0.653,3,1,0.003366
4.102,3.9916,2.0248,4.8649,0.594,3,1,0.003358
4.201,3.9887,2.0224,4.8658,0.487,3,1,0.003352
4.302,3.9887,2.0216,4.8655,0.517,3,1,0.003346
4.402,3.9874,2.0202,4.8651,0.386,3,1,0.003342
4.501,3.9911,2.0218,4.8647,0.404,3,1,0.003338
4.601,3.9923,2.0212,4.8637,0.540,3,1,0.003334
4.701,3.9933,2.0212,4.8625,0.471,3,1,0.003332
4.801,3.9928,2.0223,4.8606,0.333,3,1,0.003329
4.902,3.9946,2.0232,4.8618,0.333,3,1,0.003327
5.001,3.9950,2.0270,4.8628,0.342,3,1,0.003326
5.101,3.9971,2.0281,4.8642,0.326,3,1,0.003325
5.202,3.9964,2.0269,4.8629,0.391,3,1,0.003323
5.302,3.9960,2.0268,4.8646,0.524,3,1,0.003322
5.402,3.9976,2.0265,4.8639,0.345,3,1,0.003322
5.502,3.9968,2.0226,4.8638,0.302,3,1,0.003321
5.603,4.0008,2.0268,4.8630,0.640,3,1,0.003320
5.702,4.0010,2.0240,4.8632,0.474,3,1,0.003320
5.802,4.0040,2.0243,4.8634,0.461,3,1,0.003319
5.902,4.0052,2.0221,4.8629,0.656,3,1,0.003319
6.003,4.0031,2.0175,4.8613,1.012,3,1,0.003319
6.101,4.0039,2.0182,4.8595,0.483,3,1,0.003319
6.202,4.0047,2.0173,4.8558,0.726,3,1,0.003318
6.301,4.0049,2.0163,4.8542,0.312,3,1,0.003318
6.402,4.0057,2.0169,4.8510,0.490,3,1,0.003318
6.502,4.0063,2.0159,4.8491,0.725,3,1,0.003318
6.603,4.0040,2.0125,4.8497,0.767,3,1,0.003318
6.701,4.0067,2.0139,4.8505,0.711,3,1,0.003318
6.802,4.0065,2.0128,4.8512,0.389,3,1,0.003318
6.901,4.0069,2.0124,4.8524,0.592,3,1,0.003318
7.002,4.0068,2.0110,4.8502,0.726,3,1,0.003318
7.103,4.0054,2.0102,4.8478,0.741,3,1,0.003318
