t_sec,x,y,z,solve_ms
45.0606,0.001829,0.048569,4.960073,0.000
50.5657,34.506652,-54.098858,377.440722,0.000
56.0767,10.949334,-40.903889,282.504865,0.000
67.1017,-35.929221,-14.789515,94.545402,0.000
89.1384,-129.627075,37.406223,-281.135942,0.000
94.6509,-34.208345,-39.698264,221.145739,0.000
100.1665,-56.606767,-17.313434,93.509876,0.000
105.6700,-78.935002,4.997196,-33.705396,0.000
129.0951,-173.966587,99.953854,-575.148510,0.000
129.1956,-174.372797,100.359745,-577.462899,0.000
129.2957,-174.779038,100.765665,-579.777456,0.000
129.3956,-175.183944,101.170252,-582.084413,0.000
129.4962,-175.588905,101.574894,-584.391682,0.000
129.5954,-175.995047,101.980716,-586.705679,0.000
129.6953,-176.400989,102.386338,-589.018537,0.000
129.7958,-176.806865,102.791894,-591.331019,0.000
129.8951,-177.212004,103.196713,-593.639296,0.000
129.9958,-177.619262,103.603650,-595.959653,0.000
130.0956,-178.024125,104.008193,-598.266361,0.000
130.1962,-178.430586,104.414334,-600.582179,0.000
130.2954,-178.834893,104.818323,-602.885720,0.000
130.3953,-179.240680,105.223790,-605.197696,0.000
130.4950,-179.645667,105.628457,-607.505110,0.000
