t_sec,x,y,z,solve_ms
0.4542,-0.017089,0.031901,-0.013000,0.000
0.5542,-0.017089,0.031901,-0.013000,0.000
0.6542,-0.017089,0.031901,-0.013000,0.000
0.7547,-0.017089,0.031901,-0.013000,0.000
0.8543,-0.017089,0.031901,-0.013000,0.000
0.9405,-0.017089,0.031901,-0.013000,0.000
6.4534,2.854308,1.133482,0.085351,0.000
11.9639,2.190807,0.873961,0.092630,0.000
17.4646,2.323168,0.934711,0.054164,0.000
17.5589,1.445704,0.713041,-1.504639,0.000
17.6585,1.434771,0.778175,-1.629615,0.000
17.7594,1.461237,0.776914,-1.497633,0.000
17.8585,1.510669,0.803592,-1.440462,0.000
17.9595,1.521560,0.823592,-1.369169,0.000
18.0590,1.526849,0.828008,-1.331748,0.000
18.1595,1.550364,0.866505,-1.309657,0.000
18.2591,1.593037,0.848535,-1.292083,0.000
18.3610,1.596286,0.851084,-1.246041,0.000
18.4586,1.590903,0.855423,-1.226378,0.000
18.5595,1.558170,0.835550,-1.215181,0.000
18.6582,1.573601,0.817474,-1.182054,0.000
18.7598,1.565580,0.815546,-1.187518,0.000
18.8582,1.584692,0.839823,-1.168133,0.000
18.9600,1.571268,0.839453,-1.160622,0.000
19.0583,1.589531,0.824708,-1.152263,0.000
19.1593,1.574148,0.845684,-1.149958,0.000
19.2584,1.558994,0.840410,-1.133973,0.000
19.3595,1.549333,0.835123,-1.118528,0.000
19.4585,1.531272,0.821157,-1.110482,0.000
19.5594,1.558484,0.832918,-1.096000,0.000
19.6586,1.544440,0.814327,-1.089696,0.000
19.7597,1.555567,0.820368,-1.093780,0.000
19.8586,1.576342,0.824692,-1.071964,0.000
19.9590,1.586930,0.800536,-1.073721,0.000
20.0583,1.613659,0.810044,-1.050437,0.000
20.1591,1.586587,0.781580,-1.090014,0.000
20.2583,1.606616,0.789118,-1.075127,0.000
20.3587,1.584611,0.792556,-1.066530,0.000
20.4583,1.594156,0.825046,-1.063449,0.000
20.5590,1.584870,0.798507,-1.065828,0.000
20.6583,1.588116,0.808447,-1.074003,0.000
20.7591,1.604247,0.802355,-1.048598,0.000
20.8581,1.585423,0.809659,-1.035861,0.000
20.9591,1.579500,0.807856,-0.991438,0.000
21.0586,1.569610,0.783870,-1.031216,0.000
21.1590,1.552477,0.794046,-1.008130,0.000
21.2588,1.561166,0.782160,-1.048287,0.000
21.3590,1.568393,0.757414,-1.019255,0.000
21.4584,1.544399,0.740631,-1.064082,0.000
21.5590,1.537003,0.735273,-1.069189,0.000
21.6587,1.540547,0.737831,-1.081189,0.000
21.7590,1.536464,0.736456,-1.064664,0.000
21.8583,1.584780,0.743080,-1.094996,0.000
21.9587,1.575128,0.754453,-1.082895,0.000
22.0590,1.578587,0.762093,-1.095809,0.000
22.1594,1.563306,0.732713,-1.090699,0.000
22.2586,1.574969,0.738970,-1.104288,0.000
22.3595,1.548213,0.690917,-1.085595,0.000
22.4587,1.557947,0.696476,-1.089262,0.000
22.5596,1.560880,0.676436,-1.042667,0.000
22.6587,1.595995,0.693602,-1.075081,0.000
22.7589,1.572320,0.673938,-1.102008,0.000
22.8584,1.608567,0.703187,-1.118793,0.000
22.9591,1.616801,0.728582,-1.094639,0.000
23.0583,1.621230,0.723954,-1.103161,0.000
23.1591,1.627145,0.723683,-1.091473,0.000
23.2589,1.642215,0.739433,-1.085304,0.000
23.3593,1.615697,0.755000,-1.120069,0.000
23.4605,1.621663,0.733808,-1.124390,0.000
23.5594,1.618347,0.742413,-1.154995,0.000
23.6585,1.636138,0.742203,-1.138127,0.000
23.7594,1.640038,0.751488,-1.135899,0.000
23.8587,1.655446,0.748955,-1.152562,0.000
23.9596,1.667397,0.770649,-1.144720,0.000
24.0582,1.684776,0.769786,-1.151590,0.000
24.1602,1.697575,0.802032,-1.152109,0.000
