t_sec,x,y,z,solve_ms
21.0089,2.017496,2.018213,5.021762,0.000
26.5253,3.246846,2.782309,4.926713,0.000
32.0407,3.240692,3.436673,4.025620,0.000
37.5502,3.280429,3.288732,5.392875,0.000
43.0497,3.259163,3.271051,4.819926,0.000
48.5621,2.953952,2.699395,4.128125,0.000
54.0737,2.966405,2.307882,4.062242,0.000
59.5855,3.024254,2.381724,4.196972,0.000
65.0903,2.049885,1.881084,5.720032,0.000
76.1055,0.107026,0.883109,8.758464,0.000
81.6163,1.323194,2.845457,4.455425,0.000
87.1164,0.991239,2.361399,8.870709,0.000
103.6328,-0.003420,0.914386,22.095664,0.000
103.6335,-0.003488,0.914287,22.096569,0.000
114.6629,1.412094,3.753494,7.658757,0.000
120.1633,1.502662,2.799471,12.698447,0.000
131.1872,1.412098,3.753458,7.658945,0.000
131.7377,0.487258,3.465673,4.527009,0.000
131.8408,0.864992,3.522339,5.375575,0.000
131.9385,0.988494,3.492931,5.703877,0.000
132.0387,1.002127,3.454135,5.815222,0.000
132.1376,1.004917,3.488118,5.893882,0.000
132.2397,0.975943,3.522049,5.969571,0.000
132.3383,0.955685,3.528958,6.077245,0.000
132.4377,0.948279,3.561400,6.110612,0.000
132.5385,0.894569,3.558605,6.168330,0.000
132.6388,0.861669,3.592063,6.248722,0.000
132.7383,0.821266,3.611870,6.301208,0.000
132.8381,0.777535,3.617981,6.287716,0.000
132.9382,0.745657,3.627879,6.317624,0.000
133.0382,0.691416,3.624316,6.303379,0.000
133.1381,0.666097,3.648554,6.277325,0.000
133.2384,0.649987,3.664706,6.285605,0.000
133.3388,0.637224,3.626122,6.256123,0.000
133.4386,0.636097,3.643365,6.226519,0.000
133.5383,0.569487,3.623883,6.234422,0.000
133.6387,0.569617,3.614676,6.233806,0.000
133.7385,0.567515,3.626927,6.258928,0.000
133.8387,0.540775,3.648022,6.243505,0.000
133.9390,0.481854,3.634906,6.237412,0.000
134.0391,0.448490,3.621418,6.263699,0.000
134.1384,0.400035,3.607858,6.261540,0.000
134.2384,0.343446,3.615422,6.262930,0.000
134.3377,0.289495,3.650772,6.223395,0.000
134.4383,0.278274,3.686955,6.266639,0.000
134.5386,0.285494,3.693912,6.244028,0.000
134.6379,0.263414,3.737153,6.206078,0.000
134.7384,0.241167,3.761362,6.166802,0.000
134.8384,0.287391,3.807526,6.062360,0.000
134.9387,0.402325,3.843389,5.966559,0.000
135.0391,0.533253,3.892947,5.823396,0.000
135.1391,0.668774,3.918542,5.701350,0.000
135.2402,0.836072,3.979275,5.571029,0.000
135.3391,0.949877,4.026317,5.452812,0.000
135.4380,1.082216,4.090839,5.336732,0.000
135.5404,1.188499,4.108962,5.181170,0.000
135.6379,1.295036,4.154894,5.063085,0.000
135.7392,1.360032,4.139549,4.971551,0.000
135.8389,1.470496,4.105462,4.865200,0.000
135.9383,1.530731,4.125357,4.805367,0.000
136.0378,1.622692,4.149890,4.746610,0.000
136.1384,1.662902,4.137411,4.714931,0.000
136.2385,1.750807,4.163854,4.653266,0.000
136.3383,1.823707,4.171293,4.643965,0.000
136.4405,1.863489,4.159532,4.671941,0.000
136.5399,1.908018,4.185200,4.681961,0.000
136.6391,1.944795,4.168300,4.703495,0.000
136.7381,1.978928,4.149363,4.682131,0.000
136.8379,2.005136,4.128700,4.641955,0.000
136.9378,2.027612,4.074660,4.596261,0.000
137.0377,2.044589,4.043692,4.561626,0.000
137.1384,2.066535,4.002522,4.512712,0.000
137.2399,2.086696,3.928176,4.513553,0.000
137.3386,2.075184,3.917794,4.461462,0.000
137.4391,2.094157,3.857495,4.451008,0.000
137.5395,2.086747,3.795672,4.436006,0.000
137.6378,2.097559,3.757632,4.417043,0.000
137.7391,2.070415,3.750562,4.409555,0.000
137.8381,2.083718,3.744348,4.399729,0.000
137.9380,2.093078,3.742229,4.403072,0.000
138.0384,2.049558,3.796636,4.384441,0.000
