t_sec,x,y,z,solve_ms
22.6591,2.016370,0.015696,-0.013000,0.000
22.7594,2.016370,0.015696,-0.013000,0.000
22.8586,2.016370,0.015696,-0.013000,0.000
22.9583,2.016370,0.015696,-0.013000,0.000
23.0586,2.016370,0.015696,-0.013000,0.000
23.1586,2.016370,0.015696,-0.013000,0.000
23.2583,2.016370,0.015696,-0.013000,0.000
23.3593,2.016370,0.015696,-0.013000,0.000
23.4586,2.016370,0.015696,-0.013000,0.000
23.5589,2.016370,0.015696,-0.013000,0.000
23.6588,2.016370,0.015696,-0.013000,0.000
23.7585,2.016370,0.015696,-0.013000,0.000
23.8593,2.016370,0.015696,-0.013000,0.000
23.9587,2.016370,0.015696,-0.013000,0.000
24.0587,2.016370,0.015696,-0.013000,0.000
24.1590,2.016370,0.015696,-0.013000,0.000
24.2588,2.016370,0.015696,-0.013000,0.000
24.3584,2.016370,0.015696,-0.013000,0.000
24.4591,2.016370,0.015696,-0.013000,0.000
24.5587,2.016370,0.015696,-0.013000,0.000
24.6587,2.016370,0.015696,-0.013000,0.000
24.7589,2.016370,0.015696,-0.013000,0.000
24.8585,2.016370,0.015696,-0.013000,0.000
24.9588,2.016370,0.015696,-0.013000,0.000
25.0586,2.016370,0.015696,-0.013000,0.000
25.1589,2.016370,0.015696,-0.013000,0.000
25.2586,2.016370,0.015696,-0.013000,0.000
25.3592,2.016370,0.015696,-0.013000,0.000
25.4588,2.016370,0.015696,-0.013000,0.000
25.5586,2.016370,0.015696,-0.013000,0.000
25.6586,2.016370,0.015696,-0.013000,0.000
25.7589,2.016370,0.015696,-0.013000,0.000
25.8589,2.016370,0.015696,-0.013000,0.000
25.9588,2.016370,0.015696,-0.013000,0.000
26.0586,2.016370,0.015696,-0.013000,0.000
26.1584,2.016370,0.015696,-0.013000,0.000
26.2587,2.016370,0.015696,-0.013000,0.000
26.3586,2.016370,0.015696,-0.013000,0.000
26.4157,2.016370,0.015696,-0.013000,0.000
31.9201,3.211584,0.672448,2.209872,0.000
37.4283,2.207102,0.667889,1.452721,0.000
42.9378,2.552081,-0.449043,0.131258,0.000
48.4541,8.345400,0.681750,-1.227760,0.000
59.4732,-0.770099,-1.062784,2.149407,0.000
64.9902,-0.720093,-0.534831,2.384657,0.000
76.0146,0.109814,-0.024163,5.473677,0.000
81.5229,1.579603,0.532861,3.999167,0.000
87.0357,1.775975,0.460057,3.483654,0.000
103.5538,1.408945,0.467074,9.918839,0.000
109.0744,1.852878,0.569321,4.830307,0.000
109.0749,1.861991,0.564878,4.653697,0.000
114.5770,1.983420,0.481732,2.957896,0.000
120.0811,1.980774,0.535419,3.468595,0.000
