t_sec,x,y,z,solve_ms
9.6796,1.959382,-0.015181,0.717486,0.000
15.1806,0.736286,0.453485,6.104772,0.000
20.6807,1.065452,0.297469,4.807747,0.000
26.1862,-0.593380,0.709583,6.565906,0.000
37.2092,-3.902589,1.531216,10.066956,0.000
42.7132,-5.419181,-0.233326,7.767265,0.000
48.2137,1.330539,-0.647500,8.300365,0.000
53.7278,0.833434,0.065269,6.449280,0.000
59.2442,0.965436,-0.109957,6.899380,0.000
64.7437,0.638463,-0.315679,7.651589,0.000
70.2490,0.742334,-0.259434,7.395017,0.000
75.7636,1.011191,-0.056171,6.371227,0.000
123.2807,3.324924,1.692433,-2.435320,0.000
123.3615,3.328881,1.695423,-2.450378,0.000
123.4614,3.333739,1.699094,-2.468868,0.000
123.5615,3.338618,1.702782,-2.487442,0.000
123.6617,3.343483,1.706459,-2.505958,0.000
123.7616,3.348352,1.710138,-2.524490,0.000
123.8614,3.353221,1.713818,-2.543022,0.000
123.9616,3.358087,1.717496,-2.561544,0.000
124.0620,3.362954,1.721174,-2.580067,0.000
124.1617,3.367828,1.724858,-2.598621,0.000
124.2619,3.372700,1.728539,-2.617163,0.000
124.3618,3.377557,1.732210,-2.635651,0.000
124.4616,3.382431,1.735894,-2.654201,0.000
124.5617,3.387299,1.739573,-2.672730,0.000
124.6616,3.392173,1.743256,-2.691281,0.000
124.7639,3.397034,1.746930,-2.709785,0.000
124.8623,3.401911,1.750616,-2.728347,0.000
124.9624,3.406767,1.754286,-2.746830,0.000
125.0613,3.411635,1.757965,-2.765360,0.000
125.1620,3.416510,1.761649,-2.783914,0.000
125.2616,3.421377,1.765327,-2.802440,0.000
125.3567,3.425975,1.768802,-2.819939,0.000
130.8667,-9.116084,-5.211632,20.753439,0.000
