t_sec,x,y,z,solve_ms
26.0433,2.166891,1.825598,0.300394,0.000
31.5467,1.055705,3.446552,10.327131,0.000
37.0492,0.893603,4.154158,6.976640,0.000
48.0667,0.565311,5.573808,0.328106,0.000
53.5788,6.562976,-0.687026,10.319363,0.000
75.6002,17.084075,-10.494498,21.187297,0.000
81.1049,-8.991523,3.672072,6.148495,0.000
92.1216,-6.305044,4.992305,8.986516,0.000
97.6279,-2.605365,4.865739,8.206552,0.000
103.1437,-3.180909,11.285157,8.426989,0.000
108.6642,-4.686212,8.456699,8.221132,0.000
114.1680,-6.200671,4.789001,8.399863,0.000
119.6757,-5.537791,6.421842,8.262816,0.000
125.1845,-6.721054,4.495334,8.282179,0.000
