t_sec,x,y,z,solve_ms
7.9966,1.997619,2.037623,-0.013000,0.000
8.0967,1.997619,2.037623,-0.013000,0.000
8.1970,1.997619,2.037623,-0.013000,0.000
8.2969,1.997619,2.037623,-0.013000,0.000
8.3979,1.997619,2.037623,-0.013000,0.000
8.4970,1.997619,2.037623,-0.013000,0.000
8.5974,1.997619,2.037623,-0.013000,0.000
8.6969,1.997619,2.037623,-0.013000,0.000
8.7971,1.997619,2.037623,-0.013000,0.000
8.8969,1.997619,2.037623,-0.013000,0.000
8.9970,1.997619,2.037623,-0.013000,0.000
9.0968,1.997619,2.037623,-0.013000,0.000
9.1968,1.997619,2.037623,-0.013000,0.000
9.2966,1.997619,2.037623,-0.013000,0.000
9.3970,1.997619,2.037623,-0.013000,0.000
9.4966,1.997619,2.037623,-0.013000,0.000
9.5969,1.997619,2.037623,-0.013000,0.000
9.6965,1.997619,2.037623,-0.013000,0.000
9.7966,1.997619,2.037623,-0.013000,0.000
9.8980,1.997619,2.037623,-0.013000,0.000
9.9966,1.997619,2.037623,-0.013000,0.000
10.0526,1.997619,2.037623,-0.013000,0.000
15.5619,2.613036,0.472030,-0.002020,0.000
21.0703,3.742899,5.225552,3.183428,0.000
26.5740,2.719705,2.711289,-0.666933,0.000
32.0828,1.102811,-0.546100,1.320811,0.000
37.6017,4.570417,3.088764,-1.811376,0.000
43.1156,1.965162,0.602638,-0.284950,0.000
48.6198,1.210410,2.643421,1.680147,0.000
54.1376,-0.047409,0.436856,-2.088361,0.000
59.6446,2.636407,1.477032,-0.904329,0.000
59.6488,2.250658,1.306054,-1.067847,0.000
65.1528,1.598954,1.227967,-0.277863,0.000
70.6563,1.819310,1.775844,-0.132787,0.000
76.1574,2.670432,1.951595,-0.083911,0.000
81.6720,2.663581,1.403313,-0.111652,0.000
87.1810,2.910570,1.254703,-0.106652,0.000
92.6879,2.791004,1.989879,-0.106880,0.000
