t_sec,x,y,z,solve_ms
1.6129,2.360153,4.793706,11.334670,0.000
1.7124,2.361782,4.806747,11.338287,0.000
1.8122,2.321789,4.755909,11.362396,0.000
1.9122,2.297950,4.774080,11.380858,0.000
2.0116,2.283873,4.750411,11.382618,0.000
2.1121,2.297427,4.756293,11.377699,0.000
2.2121,2.290341,4.761684,11.391217,0.000
2.3121,2.287116,4.756943,11.387353,0.000
2.4117,2.273734,4.805481,11.402540,0.000
2.5120,2.256801,4.765000,11.424605,0.000
2.6117,2.266205,4.747675,11.413183,0.000
2.7114,2.250590,4.772880,11.425787,0.000
2.8119,2.264449,4.778524,11.377789,0.000
2.9118,2.254025,4.802089,11.374867,0.000
3.0118,2.248786,4.778086,11.398983,0.000
3.1120,2.251436,4.799499,11.394444,0.000
3.2116,2.274558,4.789761,11.361742,0.000
3.3115,2.285516,4.786446,11.346051,0.000
3.4117,2.291733,4.810512,11.368344,0.000
3.5118,2.304665,4.780398,11.360480,0.000
3.6118,2.295829,4.764703,11.355208,0.000
3.7121,2.311533,4.741303,11.362217,0.000
3.8118,2.297777,4.775812,11.404827,0.000
3.9113,2.288776,4.737415,11.407530,0.000
4.0125,2.306854,4.752809,11.416201,0.000
4.1122,2.319001,4.764095,11.426004,0.000
4.2131,2.322554,4.765992,11.440930,0.000
4.3116,2.332596,4.768424,11.430674,0.000
4.4118,2.337399,4.779530,11.452321,0.000
4.5119,2.340610,4.769916,11.443464,0.000
4.6120,2.355917,4.768804,11.435707,0.000
4.7120,2.367078,4.762540,11.441748,0.000
4.8118,2.364730,4.752134,11.445098,0.000
4.9117,2.362345,4.720667,11.443179,0.000
5.0116,2.365639,4.718447,11.447966,0.000
5.1118,2.354418,4.706495,11.455294,0.000
5.2114,2.371799,4.727996,11.458125,0.000
5.3114,2.358271,4.753684,11.453453,0.000
5.4117,2.367275,4.768478,11.460966,0.000
5.5118,2.364072,4.764715,11.470793,0.000
5.6117,2.367286,4.801682,11.477124,0.000
5.7122,2.371803,4.818126,11.488278,0.000
5.8122,2.379619,4.774966,11.459355,0.000
5.9124,2.371260,4.777955,11.487742,0.000
6.0120,2.358172,4.780015,11.492140,0.000
6.1120,2.358096,4.786932,11.504085,0.000
6.2116,2.355564,4.826042,11.509564,0.000
6.3123,2.354991,4.796652,11.487425,0.000
6.4124,2.348848,4.768818,11.493038,0.000
6.5119,2.359834,4.799015,11.504288,0.000
6.6117,2.354151,4.785124,11.518308,0.000
6.7117,2.365630,4.785230,11.510298,0.000
6.8119,2.389292,4.799708,11.493172,0.000
6.9119,2.394138,4.821707,11.477546,0.000
7.0118,2.379657,4.804145,11.465795,0.000
7.1119,2.380680,4.789910,11.476941,0.000
7.2117,2.397979,4.812574,11.464702,0.000
7.3119,2.410705,4.800921,11.443812,0.000
7.4117,2.397441,4.821036,11.447283,0.000
7.5119,2.391652,4.796160,11.456060,0.000
7.6123,2.384326,4.807337,11.455331,0.000
7.7113,2.396311,4.845571,11.435836,0.000
7.8126,2.398587,4.892449,11.423886,0.000
7.9117,2.410445,4.903452,11.423693,0.000
8.0121,2.394396,4.887865,11.419284,0.000
8.1120,2.388838,4.878570,11.402444,0.000
8.2117,2.384502,4.874295,11.374514,0.000
8.3124,2.378664,4.876108,11.389268,0.000
8.4120,2.384007,4.894812,11.373696,0.000
8.5125,2.400112,4.893209,11.374985,0.000
8.6120,2.410937,4.905452,11.371956,0.000
8.7121,2.410364,4.893221,11.354661,0.000
8.8119,2.394941,4.891697,11.371288,0.000
8.9121,2.399686,4.876960,11.335175,0.000
9.0120,2.382907,4.906214,11.319411,0.000
9.1117,2.385849,4.944620,11.332260,0.000
9.2116,2.386395,4.905520,11.317549,0.000
9.3115,2.375195,4.881008,11.300167,0.000
9.4116,2.352644,4.952294,11.345115,0.000
9.5117,2.353183,4.950930,11.321776,0.000
9.6115,2.348801,4.939719,11.327378,0.000
9.7117,2.356817,4.952927,11.314655,0.000
9.8114,2.354137,4.935004,11.329165,0.000
9.9120,2.338087,4.928126,11.308303,0.000
10.0115,2.332137,4.956996,11.308961,0.000
10.1131,2.311244,5.014632,11.331852,0.000
10.2114,2.306979,4.980031,11.346431,0.000
10.3117,2.296363,4.976277,11.331370,0.000
10.4123,2.297847,4.997487,11.319854,0.000
10.5124,2.305157,4.982720,11.284307,0.000
10.6119,2.304118,4.989940,11.278382,0.000
10.7121,2.315586,5.017462,11.279943,0.000
10.8120,2.315706,4.965039,11.253666,0.000
10.9120,2.288760,4.960680,11.306055,0.000
11.0118,2.253690,4.978718,11.336285,0.000
11.1120,2.251957,4.964690,11.347643,0.000
11.2119,2.253025,4.978970,11.329244,0.000
11.3118,2.240790,4.963874,11.309678,0.000
11.4117,2.255981,4.986790,11.308548,0.000
11.5121,2.251985,4.961583,11.319034,0.000
11.6118,2.239332,4.998324,11.345764,0.000
11.7140,2.274458,5.006027,11.323927,0.000
11.8119,2.285987,4.998471,11.275055,0.000
11.9122,2.272972,5.010388,11.283656,0.000
12.0118,2.290478,4.964811,11.280500,0.000
12.1123,2.283830,4.974810,11.293821,0.000
12.2117,2.256931,4.977150,11.293126,0.000
12.3118,2.249071,4.999196,11.288276,0.000
12.4115,2.234161,5.034446,11.330322,0.000
12.5116,2.242330,5.039151,11.312487,0.000
12.6116,2.250433,5.026342,11.296644,0.000
12.7119,2.234340,5.031631,11.306613,0.000
12.8116,2.240300,5.056501,11.299219,0.000
