t_sec,x,y,z,solve_ms
9.9561,4.048909,1.981037,3.905272,0.000
15.4701,6.124285,4.929145,0.952807,0.000
26.4741,10.138191,10.630969,-4.757445,0.000
31.9806,-0.948329,-3.280457,12.039570,0.000
37.4840,1.448511,1.668811,3.816904,0.000
81.5400,20.546278,41.148744,-61.797557,0.000
87.0587,-1.300168,-2.412166,14.924584,0.000
92.5601,3.313693,9.922731,-7.189570,0.000
98.0736,2.271043,5.332099,-1.474174,0.000
103.5897,2.714570,7.561503,-2.027365,0.000
109.1016,2.465158,8.184442,-2.300412,0.000
109.1041,2.596698,7.878317,-2.189092,0.000
114.6201,2.726898,7.575293,-2.078888,0.000
125.6275,3.575867,8.334417,-2.215165,0.000
131.1345,1.984577,7.430209,-2.080984,0.000
