t_sec,x,y,z,solve_ms
26.5989,4.714293,4.199527,-0.013001,0.000
32.1130,2.733441,5.104586,-0.367821,0.000
37.6157,-11.133906,-16.649386,0.871334,0.000
59.6466,-17.248342,-17.233416,0.244746,0.000
65.1524,-0.874140,4.696378,-0.727884,0.000
76.1627,31.840043,48.513434,-2.671542,0.000
76.1666,31.846392,48.521938,-2.671920,0.000
81.6728,9.304898,2.458011,-0.718765,0.000
125.7710,-0.867164,-67.779259,2.075231,0.000
125.7714,-0.890664,-67.941528,2.081686,0.000
125.7716,-0.914175,-68.103866,2.088143,0.000
125.7719,-0.937639,-68.265880,2.094588,0.000
125.7723,-0.961189,-68.428495,2.101057,0.000
125.7725,-0.984716,-68.590948,2.107519,0.000
125.7729,-1.008120,-68.752550,2.113948,0.000
125.7731,-1.031713,-68.915455,2.120428,0.000
125.7734,-1.055147,-69.077266,2.126865,0.000
125.7737,-1.056505,-69.086643,2.127238,0.000
131.2780,43.167701,70.099750,0.402695,0.000
136.7835,34.437018,33.232630,5.053542,0.000
