t_sec,x,y,z,solve_ms
7.6677,4.738364,3.327795,4.875404,0.000
7.7439,4.738364,3.327795,4.875404,0.000
7.8436,4.738364,3.327795,4.875404,0.000
7.9443,4.738364,3.327795,4.875404,0.000
8.0438,4.738364,3.327795,4.875404,0.000
8.1429,4.738364,3.327795,4.875404,0.000
8.2429,4.738364,3.327795,4.875404,0.000
8.3432,4.738364,3.327795,4.875404,0.000
8.4428,4.738364,3.327795,4.875404,0.000
8.5438,4.738364,3.327795,4.875404,0.000
8.6427,4.738364,3.327795,4.875404,0.000
8.7428,4.738364,3.327795,4.875404,0.000
8.8429,4.738364,3.327795,4.875404,0.000
8.9429,4.738364,3.327795,4.875404,0.000
9.0435,4.738364,3.327795,4.875404,0.000
9.1427,4.738364,3.327795,4.875404,0.000
9.2436,4.738364,3.327795,4.875404,0.000
9.3433,4.738364,3.327795,4.875404,0.000
9.4434,4.738364,3.327795,4.875404,0.000
9.5441,4.738364,3.327795,4.875404,0.000
9.6429,4.738364,3.327795,4.875404,0.000
9.6863,4.738364,3.327795,4.875404,0.000
15.2022,0.294395,1.103113,6.705440,0.000
20.7161,5.721028,1.192196,10.389038,0.000
26.2299,6.884138,0.834257,11.467778,0.000
31.7353,1.866608,2.022018,11.245832,0.000
37.2380,2.046094,1.254686,9.523919,0.000
48.2567,2.370699,-0.268504,6.086567,0.000
53.7612,3.925927,7.336775,7.756486,0.000
59.2690,4.905589,3.523313,15.708948,0.000
64.7732,12.542032,-4.134516,56.050729,0.000
86.8159,43.035995,-34.751675,217.181221,0.000
92.3300,15.394088,-4.831596,95.913008,0.000
97.8390,16.968999,-8.741658,126.539806,0.000
103.3501,11.355299,-1.188726,119.096079,0.000
108.8663,7.504775,4.390464,121.030723,0.000
114.3699,4.952696,3.447457,121.368541,0.000
119.8741,3.902363,3.884634,116.567300,0.000
125.3771,2.989564,5.462687,116.808868,0.000
130.8996,6.041412,6.301909,115.466956,0.000
