t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
9.388,3.0736,1.0620,1.0318,6.782,0,4
14.903,2.0279,0.4569,1.5731,10.256,0,4
20.418,2.5576,0.9606,0.7263,10.269,1,4
25.924,2.0234,0.5109,1.5314,8.213,3,4
31.435,2.0608,0.4473,1.5642,11.211,3,4
42.452,2.0775,0.5266,1.5830,7.959,4,4
47.953,2.0876,0.5142,1.5420,9.452,4,4
53.462,2.0445,0.5114,1.5882,14.245,4,4
64.478,2.0505,0.5257,1.5636,14.334,4,4
69.977,4.0103,0.6134,-3.2115,9.222,2,4
75.498,4.8888,2.2422,-2.9268,10.301,0,4
81.006,2.4867,1.3726,-4.3739,11.766,0,4
86.524,3.8957,2.7907,-6.5226,15.406,0,4
92.040,-2.7708,0.4368,-4.8335,13.730,0,4
97.553,-1.1706,1.1064,-4.4643,15.160,0,4
103.064,3.6455,1.6299,-0.5643,15.067,0,4
108.573,4.9448,-0.6949,-5.5302,10.949,0,4
114.076,5.2925,0.9871,-5.5307,8.257,0,4
119.587,0.9905,1.5967,-5.7974,9.664,0,4
125.087,4.3882,1.2582,-5.9745,7.084,0,4
130.610,3.7727,1.1786,-5.9512,19.053,0,4
136.111,4.4839,1.3015,-5.9506,9.132,2,4
