t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
1.221,1.9999,-0.0075,-0.0284,17.639,3,4
1.313,2.0300,-0.0127,-0.0485,11.964,3,4
1.409,1.9746,-0.0198,-0.0588,8.781,3,4
1.513,1.9558,-0.0334,-0.0570,10.969,3,4
1.612,1.9609,-0.0317,-0.0489,10.386,3,4
1.714,2.0101,-0.0266,-0.0364,11.928,3,4
1.814,1.9853,-0.0173,-0.0548,11.459,3,4
1.909,2.0313,-0.0046,-0.0929,8.663,3,4
2.010,1.9986,-0.0362,-0.0874,9.060,3,4
2.113,1.9632,-0.0261,-0.0747,12.132,3,4
2.208,1.9821,-0.0317,-0.0731,7.135,3,4
2.310,1.9891,-0.0111,-0.0670,8.000,3,4
2.407,1.9686,-0.0346,-0.0826,6.609,4,4
2.509,1.9348,-0.0079,-0.0778,7.812,4,4
2.609,1.9542,-0.0148,-0.0724,6.953,4,4
2.715,1.9410,-0.0427,-0.1023,13.722,4,4
2.809,1.9721,-0.0450,-0.0795,8.237,4,4
2.908,1.9504,-0.0338,-0.0785,7.492,4,4
3.008,1.9580,-0.0760,-0.0653,7.484,4,4
3.107,1.9638,-0.1159,-0.0755,6.475,4,4
3.210,1.9939,-0.0880,-0.0833,8.794,4,4
3.308,1.9721,-0.0988,-0.0823,6.842,4,4
3.407,1.9327,-0.1019,-0.0505,6.288,4,4
3.508,1.9536,-0.0681,-0.0543,6.628,4,4
3.610,1.9038,-0.1260,-0.0560,8.957,4,4
3.710,1.9217,-0.0930,-0.0607,7.475,4,4
3.808,1.9385,-0.0986,-0.0426,6.950,4,4
3.909,1.9551,-0.1235,-0.0392,8.472,4,4
4.009,1.9310,-0.1069,-0.0361,8.404,4,4
4.108,1.9731,-0.0788,-0.0135,7.012,4,4
4.206,1.9348,-0.1154,-0.0435,5.413,4,4
4.309,1.9517,-0.1029,-0.0256,8.379,4,4
4.406,1.9939,-0.0817,-0.0710,5.573,4,4
4.506,1.9573,-0.0900,0.0099,5.411,4,4
4.607,2.0067,-0.1068,-0.0379,6.287,4,4
4.708,1.9900,-0.1326,-0.0329,7.267,4,4
