t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
15.167,2.0162,0.0556,0.0411,9.697,3,4
20.686,2.1596,-0.0304,-0.1017,8.589,3,4
26.193,2.0215,-0.0280,0.0132,6.858,3,4
37.222,1.6374,0.0308,-0.0668,12.565,3,4
42.721,2.2268,-0.0089,-0.0895,8.699,4,4
48.230,1.4564,0.0365,-0.1591,10.021,4,4
53.747,1.5589,-0.4984,0.0696,14.046,3,4
64.749,3.3861,0.7630,-0.3146,8.667,0,4
70.253,1.4166,0.5448,0.1840,10.283,0,4
75.756,2.1047,0.6996,2.7875,8.100,0,4
81.268,1.9180,0.6121,0.7237,6.653,2,4
86.770,1.9669,0.6067,1.6971,9.160,2,4
92.278,1.8684,0.6035,1.5829,5.782,2,4
97.796,1.8228,0.6466,1.7999,7.691,2,4
103.300,1.7135,0.5826,1.5771,7.243,3,4
114.310,4.6849,0.8900,-3.0891,10.061,0,4
119.816,3.2505,1.1269,-2.9094,9.911,0,4
130.835,4.7244,0.6051,-3.3881,13.678,1,4
