t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
9.363,1.9750,0.0340,0.0092,11.677,3,4
14.864,1.9720,0.0238,0.0015,8.668,4,4
20.369,0.0806,-0.0215,1.1380,7.555,2,4
25.881,1.5138,0.5284,2.6151,9.046,0,4
31.393,0.1044,-0.0169,1.2434,8.023,2,4
36.905,0.1026,-0.0644,1.2249,9.414,2,4
42.409,1.1233,0.4306,0.9775,9.756,2,4
47.917,0.0594,0.0522,1.2165,8.891,2,4
53.423,0.0661,0.0530,1.2213,10.577,4,4
58.927,0.0596,0.0212,1.2036,11.580,4,4
64.437,0.1322,0.0194,1.2320,7.554,4,4
69.942,0.0799,0.0147,1.2287,9.603,4,4
75.447,1.8670,0.1251,-3.5118,10.301,2,4
80.955,2.1595,-0.0776,-2.0310,10.864,2,4
86.460,2.7270,0.7906,-1.9175,7.473,0,4
91.964,-0.1777,-0.1142,-0.9448,8.957,0,4
97.478,3.1896,0.0715,-1.0639,11.446,0,4
102.976,2.8039,0.0769,-1.0895,9.659,1,4
108.491,2.8328,0.1723,-1.0079,10.322,3,4
114.007,2.6821,0.4116,-0.5922,9.199,3,4
119.514,0.8965,0.2253,0.2034,10.856,3,4
125.022,0.7548,0.3101,3.5001,10.100,2,4
130.529,1.0674,0.4114,0.7301,6.586,2,4
