t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
9.657,0.9276,1.1017,2.4140,8.014,0,4
15.172,2.9466,1.0616,-0.0327,8.392,1,4
20.680,2.9723,1.0567,-0.0298,7.748,2,4
26.188,4.8097,0.9428,-4.5971,7.950,3,4
31.708,4.2965,1.5786,-0.6171,7.316,0,4
37.216,5.7087,1.1633,-6.8480,8.115,0,4
42.724,5.9651,0.8692,-3.1011,8.092,0,4
48.238,4.7139,1.0709,-3.1571,9.951,0,4
53.745,3.5588,-0.3666,-2.0648,8.864,0,4
59.249,1.4195,0.0629,0.7156,8.948,2,4
64.767,1.4689,0.2227,-0.4445,11.182,2,4
70.266,1.4398,0.2022,-0.3725,9.270,2,4
75.771,1.7010,0.2930,-0.2392,8.315,2,4
81.274,1.8236,0.2016,-0.2034,8.846,2,4
86.788,2.0188,0.2064,-0.1356,10.843,4,4
92.296,4.4749,-0.0215,-3.9485,8.452,3,4
97.800,4.1042,0.0936,-4.9412,8.069,3,4
103.303,4.2727,0.0348,-4.9736,7.754,3,4
108.817,4.2084,-0.0159,-5.0372,9.116,3,4
114.330,2.1304,0.2996,-3.1328,13.700,3,4
119.832,4.2739,0.0324,-5.1195,9.207,2,4
125.337,3.3771,-0.8505,-4.0264,9.956,0,4
130.857,3.2240,0.1630,-2.5748,13.224,3,4
