t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
9.254,1.1461,0.8476,-0.0154,11.965,1,4
14.751,2.9855,0.8899,1.4444,9.253,2,4
20.267,3.0176,0.8645,2.3772,10.699,2,4
25.785,2.9948,0.8691,1.4758,13.351,2,4
31.298,3.0732,0.8623,2.2976,15.634,3,4
36.803,3.0022,0.9189,2.3485,12.665,2,4
42.320,3.0068,0.9065,2.3873,11.506,3,4
47.822,3.0223,0.9105,2.3172,8.876,4,4
53.338,3.0167,0.9150,2.3395,12.101,4,4
58.848,3.0226,0.9261,2.3749,11.941,4,4
64.350,4.7763,1.0018,-2.2415,8.665,4,4
69.854,3.0400,0.8978,-1.9391,8.563,3,4
75.356,3.0093,0.8765,1.8904,7.871,3,4
80.868,2.9576,0.8634,2.2227,10.532,3,4
86.382,2.9765,0.9037,2.2061,9.751,4,4
91.891,2.9949,0.8676,2.1894,8.991,4,4
97.393,2.9826,0.9216,2.1696,7.725,2,4
102.909,6.2240,0.4422,-1.7860,13.154,2,4
108.413,3.6820,1.1690,-0.5186,10.915,2,4
113.915,0.9542,0.1769,0.4933,13.538,0,4
119.417,6.3427,2.3644,-2.8945,11.369,1,4
124.923,4.6884,2.4855,-2.1413,11.064,2,4
130.428,6.5515,2.5306,-2.8442,9.642,2,4
