t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
1.610,-0.0189,-0.0127,4.8212,8.252,4,4
1.708,0.0137,0.0108,4.8060,7.634,4,4
1.807,-0.0399,-0.0083,4.8450,6.037,4,4
1.910,-0.0200,-0.0350,4.8129,9.407,4,4
2.009,-0.0232,0.0270,4.8385,8.702,4,4
2.108,-0.0189,-0.0306,4.7940,7.501,4,4
2.208,0.0004,-0.0329,4.8025,7.683,4,4
2.313,-0.0046,-0.0227,4.7927,11.581,4,4
2.409,-0.0038,-0.0506,4.8138,7.828,4,4
2.510,0.0040,-0.0439,4.8018,8.625,4,4
2.607,0.0283,-0.0211,4.8026,5.856,4,4
2.708,0.0600,-0.0265,4.8046,7.425,4,4
2.809,0.0591,-0.0113,4.8285,8.182,4,4
2.910,0.0683,0.0009,4.8300,8.774,4,4
3.009,0.0726,0.0224,4.8359,8.012,4,4
3.110,0.0920,-0.0225,4.8197,9.269,4,4
3.209,0.0603,-0.0031,4.8278,8.224,4,4
3.308,0.1229,-0.0044,4.7518,7.223,4,4
3.408,0.0984,0.0403,4.7718,6.873,4,4
3.508,0.1058,0.0114,4.7382,7.628,4,4
3.608,0.0979,-0.0027,4.7763,6.842,4,4
3.706,0.0950,0.0189,4.7516,5.580,4,4
3.807,0.1026,0.0033,4.7826,5.804,4,4
3.908,0.1341,0.0068,4.7608,7.129,4,4
4.007,0.1281,0.0083,4.7836,6.166,4,4
4.108,0.1255,0.0381,4.7744,6.859,4,4
4.208,0.1027,0.0276,4.8151,7.238,4,4
4.308,0.1148,0.0526,4.8203,7.262,4,4
4.407,0.0965,0.0439,4.8326,5.808,4,4
4.509,0.1183,0.0440,4.7726,7.935,4,4
4.609,0.1166,0.0044,4.7647,8.071,4,4
4.708,0.1075,-0.0078,4.7876,7.717,4,4
4.808,0.1271,0.0266,4.7758,7.184,4,4
4.906,0.1350,-0.0112,4.7588,5.757,4,4
5.010,0.1126,-0.0427,4.8262,9.219,4,4
5.108,0.1302,-0.0756,4.7765,7.724,4,4
5.209,0.1443,0.0140,4.7562,8.324,4,4
5.310,0.1161,0.0150,4.7865,8.589,4,4
5.407,0.1247,0.0353,4.8176,6.459,4,4
5.508,0.1053,0.0435,4.8389,7.208,4,4
5.607,0.0851,0.0764,4.8392,5.924,4,4
5.707,0.0989,0.0556,4.8520,6.258,4,4
5.808,0.0874,0.0307,4.8866,7.072,4,4
5.908,0.1230,0.0369,4.8133,7.152,4,4
6.008,0.0995,0.0271,4.8517,7.244,4,4
6.107,0.0916,-0.0017,4.8508,5.980,4,4
6.208,0.1057,-0.0027,4.8492,7.368,4,4
6.308,0.1089,-0.0265,4.8035,6.819,4,4
6.408,0.1258,-0.0099,4.8555,7.784,4,4
6.511,0.1105,0.0138,4.8930,9.125,4,4
6.607,0.1297,0.0177,4.8749,5.974,4,4
6.708,0.1548,0.0555,4.8766,7.450,4,4
6.807,0.1636,0.0622,4.8616,6.117,4,4
6.908,0.1675,0.0568,4.8441,7.526,4,4
7.007,0.1681,0.0842,4.8356,5.720,4,4
7.108,0.2085,0.0473,4.8399,6.999,4,4
7.208,0.2348,0.0856,4.8074,6.739,4,4
7.308,0.2150,0.0283,4.8497,7.434,4,4
7.407,0.2342,0.0707,4.8710,5.722,4,4
7.508,0.2596,0.0222,4.8512,6.938,4,4
7.608,0.2356,-0.0074,4.8513,7.198,4,4
7.708,0.2195,0.0878,4.9218,6.920,4,4
7.807,0.2568,0.0686,4.9134,6.535,4,4
7.908,0.2308,0.0757,4.9535,7.166,4,4
8.007,0.2405,0.1072,4.9737,5.989,4,4
8.107,0.2531,0.0842,4.9482,6.692,4,4
8.208,0.2681,0.0609,4.8906,7.693,4,4
8.307,0.2435,0.0986,4.9651,6.842,4,4
8.407,0.2760,0.1064,4.9457,6.553,4,4
8.508,0.2725,0.0598,4.9194,7.460,4,4
8.607,0.2700,0.0812,4.9480,6.202,4,4
8.707,0.2502,0.1099,4.9362,5.832,4,4
8.807,0.2446,0.0656,4.9696,6.719,4,4
8.908,0.2480,0.0764,4.9669,7.281,4,4
9.008,0.2714,0.0638,4.9274,6.912,4,4
9.107,0.2629,0.0678,4.9159,6.634,4,4
9.208,0.2479,0.1516,4.9346,7.665,4,4
9.308,0.2607,0.1061,4.8794,7.676,4,4
9.408,0.2606,0.1354,4.8892,7.345,4,4
9.507,0.2762,0.1109,4.9001,5.902,4,4
9.607,0.3003,0.1588,4.8994,6.611,4,4
9.706,0.2710,0.0945,4.9843,5.481,4,4
9.808,0.2697,0.0985,4.9876,7.109,4,4
9.908,0.3017,0.0923,4.9547,6.709,4,4
10.008,0.3120,0.0968,4.9474,7.014,4,4
10.107,0.3284,0.1407,4.9608,6.852,4,4
10.207,0.3295,0.1442,4.9852,6.350,4,4
10.306,0.3188,0.0867,4.9720,5.692,4,4
10.407,0.2980,0.1298,4.9883,6.256,4,4
10.508,0.3306,0.1678,4.9756,7.040,4,4
10.606,0.3000,0.0995,4.9720,5.425,4,4
10.709,0.2960,0.1616,4.9965,8.160,4,4
10.808,0.3166,0.1371,4.9645,7.116,4,4
10.908,0.3505,0.1502,4.9604,6.817,4,4
11.008,0.3339,0.0878,4.9318,6.787,4,4
11.107,0.3251,0.1081,4.9016,5.673,4,4
11.209,0.3564,0.1477,4.9076,8.084,4,4
11.310,0.3463,0.1327,4.8912,8.906,4,4
11.407,0.3540,0.1274,4.8962,5.665,4,4
11.509,0.3301,0.1979,4.9330,7.937,4,4
11.608,0.3378,0.1524,4.8978,6.951,4,4
11.708,0.3401,0.1644,4.8886,7.120,4,4
11.808,0.3430,0.1180,4.9053,6.984,4,4
11.907,0.3770,0.1238,4.8643,6.124,4,4
12.007,0.3707,0.1349,4.9307,6.031,4,4
12.107,0.3612,0.1481,4.9440,6.726,4,4
