t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
1.208,-0.0228,-0.0008,4.9592,7.421,4,4
1.308,-0.0247,0.0228,4.9463,7.027,4,4
1.407,-0.0109,0.0222,4.8824,6.553,4,4
1.508,-0.0113,0.0354,4.8973,7.058,4,4
1.611,-0.0281,-0.0096,4.9259,8.690,4,4
1.707,0.0033,-0.0607,4.9349,5.968,4,4
1.809,-0.0250,-0.0082,4.9622,8.405,4,4
1.908,-0.0129,-0.0345,4.9563,7.510,4,4
2.007,-0.0153,-0.0238,4.9615,6.067,4,4
2.107,-0.0258,-0.0093,4.9314,6.740,4,4
2.207,-0.0306,-0.0058,4.9465,6.084,4,4
2.308,-0.0375,-0.0499,4.9660,7.363,4,4
2.408,-0.0685,-0.0586,5.0085,7.100,4,4
2.508,-0.0392,-0.0136,4.9596,7.799,4,4
2.608,-0.0538,-0.0086,5.0240,6.499,4,4
2.707,-0.0431,-0.0085,4.9886,6.456,4,4
2.808,-0.0571,-0.0065,4.9928,7.345,4,4
2.908,-0.0521,0.0157,4.9835,7.518,4,4
3.008,-0.0487,-0.0058,5.0087,7.015,4,4
3.108,-0.0344,0.0162,4.9949,6.822,4,4
3.207,-0.0326,-0.0030,4.9841,6.155,4,4
3.309,-0.0165,0.0446,4.9669,7.875,4,4
3.407,-0.0446,-0.0071,4.9434,6.118,4,4
3.506,-0.0535,0.0369,5.0012,5.405,4,4
3.606,-0.0272,-0.0080,4.9439,5.627,4,4
3.708,-0.0357,0.0080,4.9360,7.822,4,4
3.806,-0.0771,-0.0011,5.0069,5.450,4,4
3.906,-0.0875,-0.0123,5.0473,5.309,4,4
4.007,-0.0580,-0.0481,5.0105,5.720,4,4
4.108,-0.0912,0.0136,5.0457,6.873,4,4
4.207,-0.0704,-0.0084,5.0070,5.847,4,4
4.306,-0.1100,0.0288,5.0611,5.125,4,4
4.408,-0.0682,0.0493,5.0116,7.437,4,4
4.509,-0.0605,0.0668,5.0039,8.408,4,4
4.606,-0.0431,0.1142,4.9636,5.505,4,4
4.709,-0.0787,0.0970,5.0235,7.751,4,4
4.808,-0.0820,0.0527,4.9883,7.348,4,4
4.906,-0.0991,0.0926,5.0412,5.678,4,4
5.007,-0.0943,0.0576,5.0341,5.906,4,4
5.107,-0.0456,0.0752,5.0366,6.025,4,4
5.208,-0.0787,0.0836,5.0632,6.769,4,4
5.307,-0.0750,0.0669,5.0352,5.983,4,4
5.408,-0.0854,0.1157,5.0273,7.145,4,4
5.508,-0.1138,0.0962,5.0109,6.089,4,4
5.608,-0.0899,0.1383,5.0249,6.801,4,4
5.709,-0.1137,0.0882,5.0054,8.298,4,4
5.806,-0.0661,0.1324,5.0052,5.411,4,4
5.908,-0.1010,0.1426,5.0179,7.621,4,4
6.006,-0.1007,0.1026,5.0224,5.463,4,4
6.108,-0.0978,0.1200,4.9989,7.698,4,4
6.207,-0.0850,0.1209,5.0206,6.310,4,4
6.307,-0.0830,0.0988,5.0501,5.890,4,4
6.406,-0.0824,0.1501,5.1148,5.639,4,4
6.507,-0.0760,0.1224,5.0923,6.413,4,4
6.606,-0.0655,0.1399,5.0747,5.766,4,4
6.707,-0.0658,0.1159,5.1110,6.480,4,4
6.806,-0.0423,0.0918,5.0915,5.484,4,4
6.908,-0.0468,0.0914,5.0790,6.788,4,4
7.007,-0.0661,0.0624,5.1290,5.798,4,4
7.108,-0.0166,0.0721,5.0926,7.507,4,4
7.207,-0.0305,0.0883,5.1592,6.092,4,4
7.307,-0.0670,0.0663,5.1786,6.621,4,4
7.408,-0.0530,0.0535,5.1520,7.180,4,4
7.507,-0.0977,0.1084,5.1800,5.796,4,4
7.606,-0.1089,0.0365,5.1720,5.326,4,4
7.707,-0.1204,0.0526,5.1715,5.805,4,4
7.807,-0.1221,0.0814,5.1602,6.651,4,4
7.907,-0.1278,0.0820,5.2162,6.105,4,4
8.008,-0.1224,0.1007,5.2052,7.631,4,4
8.108,-0.1193,0.0625,5.2215,6.457,4,4
8.209,-0.0908,0.1033,5.2030,8.464,4,4
8.308,-0.0963,0.0614,5.2434,7.122,4,4
8.407,-0.1066,0.1237,5.2369,6.631,4,4
8.508,-0.0754,0.1010,5.2233,7.687,4,4
8.606,-0.0826,0.0913,5.2059,5.415,4,4
8.707,-0.1033,0.0238,5.2202,6.200,4,4
8.807,-0.1084,0.0797,5.2144,6.474,4,4
8.909,-0.0976,0.0149,5.2017,7.944,4,4
9.007,-0.0869,0.0454,5.2194,6.580,4,4
9.108,-0.0822,0.0827,5.2282,7.225,4,4
9.207,-0.0428,0.1085,5.1957,5.655,4,4
9.308,-0.0583,0.1271,5.1975,7.297,4,4
9.409,-0.0579,0.0930,5.1766,8.007,4,4
9.508,-0.0698,0.0929,5.1848,6.947,4,4
9.608,-0.0874,0.1234,5.1570,7.087,4,4
9.709,-0.0865,0.1075,5.1659,8.342,4,4
9.806,-0.1108,0.1323,5.1793,5.481,4,4
9.908,-0.1413,0.1575,5.1858,7.392,4,4
10.008,-0.1444,0.1135,5.1657,7.288,4,4
10.109,-0.0964,0.1012,5.1284,8.139,4,4
10.208,-0.0658,0.1968,5.1456,6.531,4,4
10.309,-0.1086,0.1323,5.1429,7.831,4,4
10.408,-0.0902,0.1697,5.1215,6.625,4,4
10.508,-0.0661,0.1558,5.0863,7.665,4,4
10.608,-0.0503,0.1592,5.0726,7.019,4,4
10.708,-0.0502,0.0843,5.0834,7.410,4,4
10.809,-0.0758,0.1132,5.0827,7.692,4,4
10.908,-0.0734,0.1308,5.0888,7.128,4,4
11.006,-0.0795,0.1341,5.0563,5.518,4,4
11.110,-0.0969,0.1541,5.0790,9.547,4,4
11.211,-0.0664,0.1613,5.0893,9.695,4,4
11.307,-0.0792,0.1813,5.0669,6.351,4,4
11.408,-0.0783,0.2020,5.0667,7.054,4,4
11.508,-0.0907,0.2316,5.0876,7.067,4,4
11.606,-0.0943,0.2083,5.1261,5.596,4,4
11.709,-0.1009,0.2409,5.1291,8.295,4,4
11.808,-0.1178,0.2728,5.1353,6.773,4,4
11.908,-0.1102,0.2263,5.1152,7.589,4,4
12.010,-0.1309,0.2331,5.1161,8.673,4,4
12.109,-0.1142,0.2812,5.0947,8.288,4,4
12.208,-0.1429,0.2365,5.1269,6.763,4,4
12.308,-0.1264,0.2221,5.1279,7.670,4,4
12.408,-0.1270,0.2450,5.1574,6.785,4,4
12.508,-0.1235,0.1927,5.1278,7.155,4,4
12.609,-0.1125,0.2088,5.1112,8.054,4,4
12.709,-0.1371,0.1653,5.1466,8.314,4,4
12.808,-0.1414,0.1836,5.1759,6.690,4,4
12.907,-0.1349,0.2184,5.1890,5.795,4,4
13.008,-0.0953,0.1903,5.1423,6.835,4,4
13.109,-0.0855,0.2285,5.1592,8.022,4,4
13.209,-0.1187,0.1872,5.1234,7.902,4,4
13.308,-0.1354,0.2200,5.1882,7.285,4,4
13.408,-0.1457,0.2395,5.1760,7.443,4,4
13.508,-0.1553,0.1466,5.1472,7.279,4,4
13.610,-0.1558,0.2141,5.1546,9.476,4,4
13.708,-0.1391,0.1811,5.1309,7.723,4,4
13.807,-0.1373,0.1894,5.1332,5.953,4,4
13.907,-0.1502,0.1657,5.1129,5.655,4,4
14.007,-0.1536,0.1768,5.1227,5.890,4,4
14.107,-0.1310,0.1203,5.0593,6.637,4,4
14.208,-0.1443,0.1257,5.0992,6.877,4,4
14.307,-0.1549,0.1432,5.1228,5.924,4,4
14.408,-0.1424,0.1365,5.1151,6.736,4,4
14.508,-0.1008,0.1498,5.1304,6.947,4,4
14.607,-0.1388,0.1812,5.1450,5.475,4,4
14.707,-0.1234,0.1377,5.0897,6.295,4,4
14.808,-0.1319,0.1436,5.0914,6.878,4,4
14.909,-0.1483,0.1446,5.0667,8.375,4,4
15.006,-0.1272,0.1447,5.0702,5.389,4,4
15.112,-0.1292,0.1542,5.0763,10.482,4,4
15.207,-0.1174,0.1900,5.1174,5.747,4,4
15.308,-0.0988,0.2453,5.0983,6.961,4,4
15.409,-0.1075,0.2387,5.1079,7.913,4,4
15.507,-0.1202,0.2172,5.1480,6.656,4,4
15.607,-0.1039,0.2534,5.1470,5.512,4,4
15.712,-0.1284,0.2329,5.1277,11.266,4,4
15.806,-0.1467,0.2811,5.2172,5.344,4,4
15.907,-0.1617,0.2724,5.2311,6.804,4,4
16.008,-0.1610,0.2549,5.2068,7.163,4,4
16.106,-0.1672,0.2890,5.2461,5.585,4,4
16.207,-0.1782,0.2665,5.2563,6.046,4,4
16.306,-0.2034,0.3031,5.2660,5.399,4,4
16.408,-0.1569,0.2864,5.1797,7.178,4,4
16.508,-0.1545,0.3154,5.2139,7.329,4,4
16.606,-0.1670,0.3039,5.2230,5.465,4,4
16.709,-0.1640,0.2863,5.2241,8.357,4,4
16.808,-0.1563,0.2829,5.2129,7.250,4,4
16.914,-0.1799,0.2621,5.1949,13.263,4,4
17.007,-0.1891,0.2477,5.1944,5.576,4,4
17.108,-0.2252,0.3034,5.2283,7.264,4,4
17.207,-0.2113,0.2886,5.1685,6.193,4,4
17.308,-0.1864,0.3232,5.1811,7.180,4,4
17.407,-0.2061,0.3020,5.1883,5.860,4,4
17.508,-0.2206,0.2597,5.1793,7.489,4,4
17.609,-0.2001,0.2706,5.2038,8.049,4,4
17.708,-0.1786,0.3116,5.2150,7.232,4,4
17.809,-0.1730,0.2596,5.1707,8.071,4,4
17.908,-0.1726,0.2583,5.1803,6.675,4,4
18.008,-0.1742,0.2438,5.2180,6.960,4,4
18.108,-0.1682,0.2444,5.2124,7.112,4,4
18.209,-0.1835,0.2738,5.2283,8.363,4,4
18.310,-0.1630,0.2666,5.1752,8.506,4,4
18.408,-0.1779,0.2547,5.2003,6.972,4,4
18.508,-0.1784,0.2370,5.1958,7.512,4,4
18.608,-0.1676,0.2449,5.1849,6.961,4,4
18.711,-0.1718,0.2692,5.2299,10.434,4,4
18.808,-0.1736,0.2906,5.1989,6.940,4,4
18.908,-0.1555,0.2994,5.1847,7.038,4,4
19.007,-0.1911,0.2679,5.2068,5.827,4,4
19.108,-0.1754,0.2389,5.1845,6.915,4,4
19.208,-0.1758,0.2683,5.2079,6.907,4,4
19.309,-0.1884,0.2731,5.2127,8.159,4,4
19.409,-0.1793,0.2611,5.1734,8.176,4,4
19.508,-0.1624,0.2967,5.1948,7.033,4,4
19.607,-0.1695,0.3361,5.1904,5.734,4,4
19.708,-0.1724,0.2778,5.2122,7.330,4,4
19.807,-0.1624,0.3786,5.1991,5.937,4,4
19.908,-0.1788,0.3258,5.2116,7.327,4,4
20.007,-0.1884,0.2786,5.2009,6.153,4,4
20.107,-0.2118,0.2858,5.1992,5.818,4,4
20.206,-0.1798,0.3328,5.1596,5.190,4,4
20.308,-0.2028,0.3472,5.2153,7.735,4,4
20.408,-0.1995,0.3327,5.1715,7.727,4,4
20.508,-0.1992,0.3601,5.2251,7.640,4,4
20.606,-0.1854,0.3113,5.2176,5.423,4,4
20.708,-0.2120,0.2704,5.2239,7.513,4,4
20.807,-0.2043,0.3211,5.2334,5.773,4,4
20.909,-0.2133,0.3096,5.2343,7.949,4,4
21.007,-0.1808,0.3281,5.2343,5.752,4,4
21.109,-0.1634,0.3522,5.2420,8.368,4,4
21.208,-0.1887,0.3165,5.2975,7.106,4,4
21.309,-0.1847,0.3161,5.2595,7.818,4,4
21.407,-0.1959,0.2974,5.2808,5.537,4,4
21.509,-0.1876,0.2728,5.2863,8.300,4,4
21.608,-0.2099,0.2580,5.2954,7.204,4,4
21.706,-0.1977,0.2403,5.2650,5.542,4,4
21.807,-0.2315,0.2225,5.2606,6.727,4,4
21.908,-0.2288,0.1724,5.2630,7.813,4,4
22.008,-0.2177,0.1610,5.2269,7.174,4,4
22.109,-0.1796,0.2119,5.1938,8.542,4,4
22.206,-0.1823,0.2021,5.2050,5.257,4,4
22.308,-0.2033,0.1643,5.2177,7.147,4,4
22.407,-0.1793,0.2326,5.1776,6.824,4,4
22.509,-0.1650,0.1973,5.2133,8.224,4,4
22.606,-0.1398,0.1718,5.1669,5.394,4,4
22.707,-0.1055,0.2761,5.2038,6.705,4,4
22.806,-0.1116,0.1853,5.1966,5.393,4,4
22.908,-0.1141,0.1710,5.1568,7.088,4,4
23.007,-0.1267,0.1619,5.2113,6.247,4,4
23.108,-0.1348,0.1882,5.1722,7.286,4,4
23.208,-0.1417,0.1719,5.1764,6.894,4,4
23.309,-0.1267,0.1808,5.1767,8.243,4,4
23.406,-0.1408,0.1856,5.1882,5.402,4,4
23.508,-0.1408,0.1737,5.1369,7.008,4,4
23.607,-0.1198,0.1890,5.1271,6.054,4,4
23.707,-0.1079,0.1901,5.1511,6.561,4,4
23.808,-0.1258,0.1440,5.1166,7.029,4,4
23.906,-0.1305,0.1695,5.1311,5.622,4,4
24.007,-0.1579,0.1998,5.1036,6.358,4,4
24.109,-0.1483,0.1821,5.0876,8.610,4,4
24.207,-0.1772,0.1614,5.1015,5.903,4,4
24.307,-0.1610,0.1208,5.0546,6.743,4,4
24.408,-0.1689,0.1792,5.0720,7.422,4,4
24.508,-0.1447,0.1554,5.0215,7.656,4,4
24.607,-0.1443,0.1484,5.0787,6.035,4,4
24.708,-0.1864,0.1381,5.0890,6.834,4,4
24.809,-0.1891,0.1503,5.0743,8.588,4,4
24.908,-0.2149,0.1268,5.0778,7.740,4,4
25.006,-0.1953,0.1457,5.0200,5.317,4,4
25.108,-0.2187,0.1343,5.0644,7.191,4,4
25.208,-0.2440,0.1584,5.0661,6.857,4,4
25.309,-0.2468,0.1544,5.0829,8.307,4,4
25.408,-0.2680,0.1506,5.0897,6.758,4,4
25.510,-0.2421,0.1859,5.0632,9.539,4,4
25.608,-0.2591,0.1855,5.0915,7.570,4,4
25.710,-0.2552,0.1824,5.0831,8.763,4,4
25.808,-0.2503,0.2048,5.0838,7.350,4,4
25.911,-0.2001,0.2112,5.0570,9.786,4,4
26.007,-0.2457,0.1839,5.0643,6.087,4,4
26.108,-0.2701,0.1302,5.1057,7.040,4,4
26.210,-0.2506,0.2119,5.0737,8.812,4,4
26.308,-0.2542,0.1693,5.0746,6.814,4,4
26.407,-0.2119,0.1860,5.0453,6.536,4,4
26.507,-0.2016,0.2141,5.0626,6.610,4,4
26.608,-0.2125,0.1642,5.0778,6.804,4,4
26.708,-0.1808,0.1731,5.0605,7.197,4,4
26.809,-0.1760,0.1991,5.0544,8.260,4,4
26.908,-0.1915,0.1825,5.0910,7.293,4,4
27.007,-0.1897,0.1374,5.0662,5.983,4,4
27.108,-0.1884,0.1587,5.1008,7.513,4,4
27.207,-0.1944,0.2117,5.1055,6.696,4,4
27.308,-0.2000,0.1615,5.1265,7.108,4,4
27.408,-0.1997,0.1923,5.1316,7.049,4,4
27.508,-0.2264,0.1613,5.1376,7.638,4,4
27.609,-0.2203,0.1777,5.1656,8.225,4,4
27.708,-0.2246,0.1232,5.1707,7.634,4,4
27.808,-0.2488,0.1601,5.1890,6.966,4,4
27.908,-0.2586,0.1855,5.1919,6.776,4,4
28.008,-0.2660,0.1266,5.1809,6.843,4,4
28.108,-0.2831,0.1731,5.2177,7.261,4,4
28.207,-0.2684,0.1547,5.1864,5.805,4,4
28.308,-0.2875,0.1457,5.1864,7.782,4,4
28.407,-0.2874,0.1107,5.1738,5.853,4,4
28.507,-0.2870,0.1600,5.1594,5.847,4,4
28.608,-0.3016,0.1005,5.1342,6.706,4,4
28.708,-0.2900,0.1658,5.1261,7.246,4,4
28.807,-0.3113,0.1544,5.1488,5.661,4,4
28.908,-0.2698,0.2116,5.1103,7.631,4,4
29.007,-0.2655,0.1706,5.0872,5.893,4,4
29.107,-0.2492,0.2067,5.0649,6.520,4,4
