t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
0.810,-0.0392,-0.0182,4.8300,8.098,4,4
0.912,0.0096,-0.0228,4.7302,10.575,4,4
1.011,0.0005,-0.0468,4.7229,9.998,4,4
1.109,0.0068,-0.0251,4.7166,8.713,4,4
1.215,0.0436,-0.0468,4.6664,13.151,4,4
1.310,-0.0028,-0.0251,4.6881,9.422,4,4
1.409,0.0046,-0.0115,4.7057,7.764,4,4
1.510,0.0317,0.0274,4.6853,8.724,4,4
1.609,0.0307,-0.0254,4.6637,8.380,4,4
1.711,0.0308,0.0056,4.6066,10.514,4,4
1.810,0.0138,-0.0377,4.6180,9.490,4,4
1.910,0.0231,-0.0704,4.5718,9.441,4,4
2.007,0.0176,-0.0007,4.6335,6.241,4,4
2.111,0.0256,-0.0069,4.6244,9.618,4,4
2.208,0.0030,-0.0279,4.5845,7.465,4,4
2.311,-0.0001,-0.0155,4.6289,10.367,4,4
2.411,-0.0056,-0.0378,4.6495,9.138,4,4
2.509,0.0080,-0.0313,4.6508,8.717,4,4
2.607,0.0069,-0.0347,4.6412,6.492,4,4
2.709,0.0045,-0.0357,4.6340,8.685,4,4
2.809,-0.0068,-0.0356,4.6349,8.820,4,4
2.910,0.0283,-0.0879,4.6461,9.044,4,4
3.007,0.0358,-0.0128,4.6488,6.350,4,4
3.108,0.0719,-0.0792,4.6524,7.072,4,4
3.209,0.0493,-0.0174,4.6633,8.515,4,4
3.307,0.0374,-0.0304,4.6552,6.559,4,4
3.409,0.0657,-0.0185,4.6319,7.073,4,4
3.512,0.0466,-0.0396,4.6413,11.128,4,4
3.611,0.0186,0.0354,4.6915,10.458,4,4
3.708,0.0661,-0.0407,4.6489,7.008,4,4
3.809,0.0473,0.0044,4.7044,8.438,4,4
3.909,0.0253,0.0216,4.7608,8.230,4,4
4.008,0.0183,-0.0240,4.7714,7.223,4,4
4.109,-0.0079,-0.0387,4.7440,7.992,4,4
4.209,-0.0085,-0.0591,4.7507,8.037,4,4
4.311,-0.0080,-0.0427,4.7607,10.244,4,4
4.416,-0.0145,-0.0330,4.7677,14.580,4,4
4.511,0.0251,0.0195,4.7735,9.636,4,4
4.609,0.0187,0.0582,4.7791,8.510,4,4
4.709,0.0258,0.0975,4.7884,7.841,4,4
4.808,0.0436,0.0121,4.7598,7.633,4,4
4.910,0.0336,0.0719,4.7595,9.320,4,4
5.011,0.0919,0.0483,4.7645,9.628,4,4
5.110,0.0669,0.0503,4.7958,8.438,4,4
5.212,0.0639,0.0703,4.8012,11.177,4,4
5.310,0.0943,0.0004,4.7612,9.228,4,4
5.411,0.0571,0.0522,4.8269,10.168,4,4
5.509,0.1147,0.0913,4.7488,8.367,4,4
5.610,0.0631,0.0447,4.8072,9.699,4,4
5.707,0.0718,0.0549,4.8038,6.346,4,4
5.809,0.0789,-0.0149,4.7758,7.796,4,4
5.907,0.0806,0.0433,4.7765,6.487,4,4
6.008,0.0824,-0.0087,4.7478,6.780,4,4
6.108,0.0751,0.0016,4.7715,6.742,4,4
6.209,0.0965,0.0116,4.8325,7.404,4,4
6.307,0.0795,-0.0168,4.7820,6.055,4,4
6.408,0.0701,0.0081,4.8423,7.158,4,4
6.510,0.0918,0.0402,4.7675,9.337,4,4
6.609,0.0631,-0.0134,4.8197,8.228,4,4
6.708,0.0794,-0.0043,4.7838,7.122,4,4
6.810,0.0708,0.0125,4.7965,9.255,4,4
6.907,0.0777,0.0303,4.7876,5.758,4,4
7.006,0.0596,-0.0283,4.7626,5.686,4,4
7.109,0.0906,0.0104,4.7809,8.498,4,4
7.207,0.0493,-0.0157,4.7951,6.512,4,4
7.309,0.0795,0.0142,4.8009,8.090,4,4
7.409,0.0525,-0.0154,4.7895,8.017,4,4
7.508,0.0824,0.0009,4.7592,6.712,4,4
7.608,0.0699,-0.0464,4.7534,6.563,4,4
7.708,0.0891,0.0099,4.7820,6.885,4,4
7.810,0.0858,-0.0190,4.7412,9.131,4,4
7.907,0.1138,0.0387,4.7401,5.795,4,4
8.009,0.0880,-0.0615,4.7697,7.798,4,4
8.108,0.1047,0.0042,4.7508,7.356,4,4
8.207,0.1163,0.0339,4.7727,6.026,4,4
8.307,0.0882,0.0276,4.7940,6.297,4,4
8.409,0.1115,0.0002,4.8086,8.252,4,4
8.508,0.0696,0.0490,4.8438,6.804,4,4
8.608,0.0998,-0.0011,4.7790,7.397,4,4
8.707,0.0715,0.0294,4.8078,5.765,4,4
8.808,0.0602,-0.0064,4.7778,7.176,4,4
8.907,0.0636,-0.0324,4.7845,6.365,4,4
9.009,0.0328,-0.0053,4.8351,8.001,4,4
9.108,0.0586,0.0250,4.7911,7.607,4,4
9.207,0.0431,0.0219,4.8006,6.457,4,4
9.310,0.0535,-0.0202,4.7994,8.969,4,4
9.409,0.0515,-0.0106,4.8411,8.174,4,4
9.508,0.0351,-0.0983,4.8017,7.111,4,4
9.608,0.0149,-0.0386,4.7851,7.602,4,4
9.709,0.0116,-0.0588,4.7852,8.275,4,4
9.807,0.0196,-0.0621,4.7809,6.103,4,4
9.907,0.0223,-0.0311,4.7703,6.144,4,4
10.009,0.0283,-0.0981,4.7756,8.383,4,4
10.107,0.0397,-0.0481,4.7529,6.632,4,4
10.207,0.0297,-0.0378,4.7851,6.089,4,4
10.309,0.0395,-0.0320,4.7870,8.734,4,4
