t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
9.472,2.0298,0.1748,0.1265,7.162,1,4
14.989,1.2178,1.0963,0.2473,9.159,2,4
20.506,2.1452,0.4425,0.1235,8.214,2,4
26.011,2.2248,0.4741,0.1774,8.498,2,4
31.515,2.1858,0.4777,0.1196,9.122,2,4
37.037,2.2035,0.4422,0.1887,13.259,4,4
48.039,2.2347,0.5157,0.2637,9.300,4,4
59.055,1.9668,1.4714,1.2070,12.426,0,4
64.564,4.6137,2.0693,-2.4358,10.192,0,4
70.084,-0.1873,3.2639,0.4978,10.156,0,4
75.603,3.4731,0.7451,-0.4434,15.422,0,4
81.105,3.2759,0.3877,-0.5664,10.154,0,4
86.623,3.3896,0.9187,-1.0197,12.360,2,4
92.128,3.3359,0.6589,-0.6001,9.506,3,4
97.641,2.9954,1.3326,-0.8328,14.099,2,4
103.153,0.9521,2.4449,-3.2650,11.506,0,4
108.654,0.6772,2.3934,-3.2182,8.546,0,4
114.159,2.3528,0.6421,-3.1485,10.165,0,4
119.670,2.1871,5.6398,-2.0054,11.925,0,4
125.182,0.7095,1.2562,-4.9329,14.245,2,4
