t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
1.308,3.9463,2.0151,-0.0287,8.009,4,4
1.408,3.9595,1.9859,-0.0131,7.974,4,4
1.510,3.9680,1.9662,-0.0429,9.165,4,4
1.608,3.9763,1.9970,0.0188,8.014,4,4
1.708,4.0099,2.0178,-0.0006,6.791,4,4
1.812,3.9702,2.0252,0.0596,10.984,4,4
1.909,4.0083,2.0138,0.0209,8.321,4,4
2.010,3.9974,2.0794,0.0297,9.407,4,4
2.109,3.9965,2.0151,0.0566,7.427,4,4
2.211,4.0119,2.0469,0.0501,10.041,4,4
2.308,4.0176,2.0424,0.0401,7.205,4,4
2.408,4.0362,2.0846,0.0368,7.820,4,4
2.509,3.9989,2.0743,0.0591,8.301,4,4
2.608,3.9904,2.0750,0.0438,6.679,4,4
2.709,3.9684,2.0253,0.0476,8.402,4,4
2.807,3.9791,2.0825,0.0522,6.365,4,4
2.910,3.9193,2.0647,0.0601,9.648,4,4
3.008,3.9308,2.0802,0.0510,7.548,4,4
3.108,3.9634,2.1419,0.0432,7.449,4,4
3.208,3.9282,2.1299,0.0643,7.013,4,4
3.309,3.9186,2.0693,0.0339,7.756,4,4
3.408,3.9351,2.1094,0.0744,7.359,4,4
3.509,3.9368,2.0977,0.0271,8.110,4,4
3.608,3.9073,2.1015,0.0630,7.882,4,4
3.708,3.8915,2.0375,0.0868,7.160,4,4
3.808,3.9236,2.1119,0.0632,6.954,4,4
3.909,3.8900,2.0759,0.0436,8.193,4,4
4.009,3.9167,2.1034,0.0665,7.912,4,4
4.110,3.9294,2.0890,0.0879,8.095,4,4
4.208,3.9174,2.0658,0.0860,7.069,4,4
4.309,3.8906,2.0533,0.1076,8.321,4,4
4.408,3.8786,2.0301,0.1026,7.931,4,4
4.508,3.9046,2.0490,0.0913,7.529,4,4
4.609,3.8913,2.0448,0.0944,8.351,4,4
4.708,3.8705,2.0519,0.1178,7.786,4,4
4.808,3.8595,2.0239,0.1073,6.879,4,4
4.909,3.8243,2.0233,0.0953,7.891,4,4
5.007,3.8295,2.0530,0.1401,6.719,4,4
5.109,3.8804,2.0436,0.0930,7.953,4,4
5.208,3.8664,2.0692,0.0894,7.327,4,4
5.309,3.8637,2.0142,0.1332,8.063,4,4
5.408,3.8512,1.9859,0.1219,7.158,4,4
5.508,3.8685,2.0208,0.2216,7.415,4,4
5.609,3.8885,1.9692,0.1979,7.996,4,4
5.708,3.8804,2.0042,0.1779,7.953,4,4
5.808,3.8978,2.0099,0.1729,7.313,4,4
5.909,3.8912,2.0005,0.1578,8.520,4,4
6.009,3.8842,2.0251,0.1678,8.551,4,4
6.109,3.8975,2.0554,0.1348,8.130,4,4
6.207,3.9252,2.0555,0.1658,5.870,4,4
6.308,3.9293,2.0793,0.1579,7.374,4,4
6.408,3.9790,2.0584,0.1058,7.573,4,4
6.510,3.9715,2.0737,0.1096,9.534,4,4
6.610,3.9465,2.0501,0.1079,9.246,4,4
6.708,3.9659,2.0419,0.1046,7.029,4,4
6.808,3.9521,2.0466,0.0890,7.231,4,4
6.910,3.9516,2.0960,0.1246,9.088,4,4
7.009,3.9579,2.0685,0.1100,8.473,4,4
7.108,3.9312,2.0804,0.0930,7.768,4,4
7.211,3.9809,2.0992,0.0678,9.699,4,4
7.309,3.9698,2.0864,0.0935,7.658,4,4
7.408,3.9517,2.0778,0.0947,7.355,4,4
7.509,3.9659,2.1127,0.0965,8.088,4,4
7.609,3.9646,2.1598,0.1013,8.024,4,4
7.708,3.9610,2.1656,0.0902,7.708,4,4
7.809,3.9899,2.1402,0.0496,8.511,4,4
7.910,3.9861,2.1978,0.0525,8.620,4,4
8.007,3.9497,2.1646,0.0410,6.763,4,4
