t_sec,x,y,z,solve_ms
9.502,0.1688,0.1794,-0.1671,2.435
15.010,0.1946,0.1915,-0.2133,1.365
20.518,0.1678,0.1851,-0.2344,1.351
26.022,0.1852,0.1770,-0.2578,1.020
31.529,0.1998,0.1461,-0.2576,0.970
37.032,0.1620,0.1546,-0.2369,3.400
42.535,0.1630,0.1937,-0.2969,1.187
48.038,0.2310,0.1691,-0.2754,1.423
53.550,0.1192,0.1311,-0.2627,1.260
59.049,0.1810,0.1536,-0.2837,1.293
70.073,0.1710,0.1563,-0.2751,1.317
75.589,0.2036,0.1671,-0.2730,1.138
81.094,0.1466,0.1331,-0.2885,1.838
86.610,0.1424,0.1518,-0.2692,1.522
92.114,0.2162,0.1515,-0.3087,1.091
97.629,0.1168,0.1497,-0.2317,1.521
103.142,0.1757,0.1702,-0.2510,1.704
108.649,0.1376,0.1522,-0.2803,0.894
114.153,0.1433,0.1431,-0.2485,1.129
119.665,0.1464,0.1820,-0.2773,1.327
119.674,0.1608,0.1589,-0.2435,3.641
125.173,0.1535,0.1524,-0.2215,1.092
130.676,0.1325,0.1336,-0.2389,1.096
