t_sec,x,y,z,solve_ms
9.377,0.1950,0.1505,-0.2172,2.263
20.388,0.1361,0.1336,-0.1350,1.194
25.892,0.0945,0.1522,-0.1858,1.624
31.408,0.0912,0.1071,-0.1672,1.554
36.916,0.0923,0.1077,-0.1240,1.486
42.428,0.0773,0.1046,-0.1556,1.230
47.940,0.0635,0.1069,-0.1726,1.053
53.440,0.1000,0.1058,-0.1716,1.041
58.948,0.0473,0.0770,-0.1382,1.148
58.954,0.1099,0.1337,-0.1431,1.185
64.461,0.1099,0.1337,-0.1431,0.567
69.972,0.0886,0.1113,-0.1583,1.607
75.476,0.0954,0.1560,-0.1677,1.188
80.988,0.0420,0.0910,-0.1258,1.046
86.497,0.0213,0.1936,-0.1903,1.127
92.000,0.0977,0.1075,-0.1060,0.988
97.513,0.0429,0.1942,-0.1468,1.077
103.029,0.0595,0.1365,-0.1470,1.536
108.536,0.0479,0.1049,-0.1700,1.324
114.039,0.0414,0.1457,-0.1763,0.974
119.556,0.0869,0.1247,-0.1124,1.152
125.062,0.0444,0.1273,-0.1747,1.278
125.065,0.0591,0.1242,-0.1810,1.238
130.564,0.0717,0.1024,-0.1140,1.503
130.567,0.0568,0.0996,-0.1037,1.777
136.069,0.0525,0.1039,-0.1366,1.248
